coverage,dataset,exact_cell,oracle_utility_vs_pop,role,selected_preservation_rate,selected_windows,unit_id,window_count
0.8,klados,19ch_native_linked_mastoid_256hz,0.29133302913375786,hindsight_oracle_query_outcome_diagnostic_only,1.0,10,sim49,12
1.0,klados,19ch_native_linked_mastoid_256hz,0.256323488626445,hindsight_oracle_query_outcome_diagnostic_only,1.0,12,sim49,12
0.5,klados,19ch_native_linked_mastoid_256hz,0.2731003820462182,hindsight_oracle_query_outcome_diagnostic_only,1.0,5,sim50,10
0.8,klados,19ch_native_linked_mastoid_256hz,0.29736308539663114,hindsight_oracle_query_outcome_diagnostic_only,1.0,8,sim50,10
1.0,klados,19ch_native_linked_mastoid_256hz,0.23906727482854748,hindsight_oracle_query_outcome_diagnostic_only,1.0,10,sim50,10
0.5,klados,19ch_native_linked_mastoid_256hz,0.11744829204062661,hindsight_oracle_query_outcome_diagnostic_only,1.0,5,sim51,10
0.8,klados,19ch_native_linked_mastoid_256hz,0.11874261581000045,hindsight_oracle_query_outcome_diagnostic_only,1.0,8,sim51,10
1.0,klados,19ch_native_linked_mastoid_256hz,0.06670807358620971,hindsight_oracle_query_outcome_diagnostic_only,1.0,10,sim51,10
0.5,klados,19ch_native_linked_mastoid_256hz,0.11245519034541815,hindsight_oracle_query_outcome_diagnostic_only,1.0,5,sim52,10
0.8,klados,19ch_native_linked_mastoid_256hz,0.10236691690715824,hindsight_oracle_query_outcome_diagnostic_only,1.0,8,sim52,10
1.0,klados,19ch_native_linked_mastoid_256hz,0.07495871613336573,hindsight_oracle_query_outcome_diagnostic_only,1.0,10,sim52,10
0.5,klados,19ch_native_linked_mastoid_256hz,0.07379945821145761,hindsight_oracle_query_outcome_diagnostic_only,1.0,4,sim53,9
0.8,klados,19ch_native_linked_mastoid_256hz,0.07431849928498947,hindsight_oracle_query_outcome_diagnostic_only,1.0,7,sim53,9
1.0,klados,19ch_native_linked_mastoid_256hz,0.05670273845607449,hindsight_oracle_query_outcome_diagnostic_only,1.0,9,sim53,9
0.5,klados,19ch_native_linked_mastoid_256hz,0.037844606139607884,hindsight_oracle_query_outcome_diagnostic_only,1.0,5,sim54,10
0.8,klados,19ch_native_linked_mastoid_256hz,0.006718963915201726,hindsight_oracle_query_outcome_diagnostic_only,1.0,8,sim54,10
1.0,klados,19ch_native_linked_mastoid_256hz,-0.33463331160916987,hindsight_oracle_query_outcome_diagnostic_only,1.0,10,sim54,10
0.5,sgeyesub,study01|layout_01|200,0.005435790711172659,hindsight_oracle_query_outcome_diagnostic_only,0.8148148148148148,54,study01/study01_p01,108
0.8,sgeyesub,study01|layout_01|200,-0.005147524980796288,hindsight_oracle_query_outcome_diagnostic_only,0.8255813953488372,86,study01/study01_p01,108
1.0,sgeyesub,study01|layout_01|200,-0.02379095346079709,hindsight_oracle_query_outcome_diagnostic_only,0.7870370370370371,108,study01/study01_p01,108
0.5,sgeyesub,study01|layout_01|200,0.03726121792308209,hindsight_oracle_query_outcome_diagnostic_only,1.0,50,study01/study01_p02,100
0.8,sgeyesub,study01|layout_01|200,0.03496585257053843,hindsight_oracle_query_outcome_diagnostic_only,1.0,80,study01/study01_p02,100
1.0,sgeyesub,study01|layout_01|200,0.02783813545633581,hindsight_oracle_query_outcome_diagnostic_only,1.0,100,study01/study01_p02,100
0.5,sgeyesub,study01|layout_01|200,0.023490574423477018,hindsight_oracle_query_outcome_diagnostic_only,0.8653846153846154,52,study01/study01_p03,104
0.8,sgeyesub,study01|layout_01|200,0.0066858266240269705,hindsight_oracle_query_outcome_diagnostic_only,0.8192771084337349,83,study01/study01_p03,104
1.0,sgeyesub,study01|layout_01|200,-0.019623888489954413,hindsight_oracle_query_outcome_diagnostic_only,0.8076923076923077,104,study01/study01_p03,104
0.5,sgeyesub,study01|layout_01|200,-0.0006194318268993147,hindsight_oracle_query_outcome_diagnostic_only,0.391304347826087,46,study01/study01_p04,92
0.8,sgeyesub,study01|layout_01|200,-0.010148637388251794,hindsight_oracle_query_outcome_diagnostic_only,0.5405405405405406,74,study01/study01_p04,92
1.0,sgeyesub,study01|layout_01|200,-0.03382910621320316,hindsight_oracle_query_outcome_diagnostic_only,0.6086956521739131,92,study01/study01_p04,92
0.5,sgeyesub,study01|layout_01|200,0.011599282668006491,hindsight_oracle_query_outcome_diagnostic_only,0.9423076923076923,52,study01/study01_p05,104
0.8,sgeyesub,study01|layout_01|200,0.0037422964079131347,hindsight_oracle_query_outcome_diagnostic_only,0.9397590361445783,83,study01/study01_p05,104
1.0,sgeyesub,study01|layout_01|200,-0.013517505703688103,hindsight_oracle_query_outcome_diagnostic_only,0.9519230769230769,104,study01/study01_p05,104
0.5,sgeyesub,study03|layout_03|200,0.04793976960743178,hindsight_oracle_query_outcome_diagnostic_only,0.9,40,study03/study03_p03,80
0.8,sgeyesub,study03|layout_03|200,0.033087222658366236,hindsight_oracle_query_outcome_diagnostic_only,0.84375,64,study03/study03_p03,80
1.0,sgeyesub,study03|layout_03|200,0.006873169771030625,hindsight_oracle_query_outcome_diagnostic_only,0.875,80,study03/study03_p03,80
0.5,sgeyesub,study03|layout_03|200,0.0022178125230680242,hindsight_oracle_query_outcome_diagnostic_only,0.6730769230769231,52,study03/study03_p19,104
0.8,sgeyesub,study03|layout_03|200,-0.019340990639224877,hindsight_oracle_query_outcome_diagnostic_only,0.7590361445783133,83,study03/study03_p19,104
1.0,sgeyesub,study03|layout_03|200,-0.048880937642831704,hindsight_oracle_query_outcome_diagnostic_only,0.8076923076923077,104,study03/study03_p19,104
0.5,sgeyesub,study03|layout_03|200,0.020493608080535703,hindsight_oracle_query_outcome_diagnostic_only,0.4583333333333333,48,study03/study03_p20,96
