dataset,estimand,metric,screen_seed,unit_id,utility_effect_positive_is_better
klados,subject_calibration,clean_waveform_RRMSE,20260811,sim37,-0.03193063939904117
klados,diffusion_increment,clean_waveform_RRMSE,20260811,sim37,-0.01226902189577539
klados,subject_specificity,clean_waveform_RRMSE,20260811,sim37,0.008773134055395648
klados,subject_calibration,clean_waveform_RRMSE,20260811,sim38,-0.2306756352473051
klados,diffusion_increment,clean_waveform_RRMSE,20260811,sim38,-0.0248730936805015
klados,subject_specificity,clean_waveform_RRMSE,20260811,sim38,0.1261429772484085
klados,subject_calibration,clean_waveform_RRMSE,20260811,sim39,-0.0776694874493391
klados,diffusion_increment,clean_waveform_RRMSE,20260811,sim39,-0.0037743170934907977
klados,subject_specificity,clean_waveform_RRMSE,20260811,sim39,0.047786685994002986
klados,subject_calibration,clean_waveform_RRMSE,20260811,sim40,-0.023275317041469235
klados,diffusion_increment,clean_waveform_RRMSE,20260811,sim40,0.0008331604934210812
klados,subject_specificity,clean_waveform_RRMSE,20260811,sim40,0.08182151066876153
klados,subject_calibration,clean_waveform_RRMSE,20260811,sim41,-0.001314354248124483
klados,diffusion_increment,clean_waveform_RRMSE,20260811,sim41,0.003578971178230639
klados,subject_specificity,clean_waveform_RRMSE,20260811,sim41,-0.0018835379191468604
klados,subject_calibration,clean_waveform_RRMSE,20260811,sim42,-0.003494547064855247
klados,diffusion_increment,clean_waveform_RRMSE,20260811,sim42,0.006461140205135052
klados,subject_specificity,clean_waveform_RRMSE,20260811,sim42,-0.0015820100958974237
klados,subject_calibration,clean_waveform_RRMSE,20260811,sim43,-0.060411324707900005
klados,diffusion_increment,clean_waveform_RRMSE,20260811,sim43,0.014876031546473767
klados,subject_specificity,clean_waveform_RRMSE,20260811,sim43,0.02680491418495906
klados,subject_calibration,clean_waveform_RRMSE,20260811,sim46,-0.04908946514697865
klados,diffusion_increment,clean_waveform_RRMSE,20260811,sim46,-0.01526971692946727
klados,subject_specificity,clean_waveform_RRMSE,20260811,sim46,-0.03461066024949111
klados,subject_calibration,clean_waveform_RRMSE,20260811,sim47,-0.0007218852901786921
klados,diffusion_increment,clean_waveform_RRMSE,20260811,sim47,0.009367289809164348
klados,subject_specificity,clean_waveform_RRMSE,20260811,sim47,-0.0030491524946971715
klados,subject_calibration,clean_waveform_RRMSE,20260811,sim48,-0.09615841775893008
klados,diffusion_increment,clean_waveform_RRMSE,20260811,sim48,0.013902849579109589
klados,subject_specificity,clean_waveform_RRMSE,20260811,sim48,0.03788156314136992
klados,subject_calibration,clean_waveform_RRMSE,20260811,sim49,-0.14072226283931744
klados,diffusion_increment,clean_waveform_RRMSE,20260811,sim49,-0.004628199992564808
klados,subject_specificity,clean_waveform_RRMSE,20260811,sim49,0.05734556671524793
klados,subject_calibration,clean_waveform_RRMSE,20260811,sim50,-0.06673587294196276
klados,diffusion_increment,clean_waveform_RRMSE,20260811,sim50,-0.017641840638445982
klados,subject_specificity,clean_waveform_RRMSE,20260811,sim50,-0.015296480695531023
klados,subject_calibration,clean_waveform_RRMSE,20260811,sim51,-0.10327689691448544
klados,diffusion_increment,clean_waveform_RRMSE,20260811,sim51,-0.02273957439302776
klados,subject_specificity,clean_waveform_RRMSE,20260811,sim51,0.042065044203163704
klados,subject_calibration,clean_waveform_RRMSE,20260811,sim52,-0.1500015144699921
klados,diffusion_increment,clean_waveform_RRMSE,20260811,sim52,-0.07567426054329274
klados,subject_specificity,clean_waveform_RRMSE,20260811,sim52,-0.005158639590373104
klados,subject_calibration,clean_waveform_RRMSE,20260811,sim53,-0.03540448382801786
klados,diffusion_increment,clean_waveform_RRMSE,20260811,sim53,-0.0033204580628690694
klados,subject_specificity,clean_waveform_RRMSE,20260811,sim53,-0.03585312324211609
klados,subject_calibration,clean_waveform_RRMSE,20260811,sim54,-0.029566910331364493
klados,diffusion_increment,clean_waveform_RRMSE,20260811,sim54,0.03041101041839167
klados,subject_specificity,clean_waveform_RRMSE,20260811,sim54,0.08908780597079358
sgeyesub,subject_calibration,eog_coherence_reduction,20260811,study01/study01_p01,-0.08285477878953115
sgeyesub,diffusion_increment,eog_coherence_reduction,20260811,study01/study01_p01,0.015551671317862614
sgeyesub,subject_specificity,eog_coherence_reduction,20260811,study01/study01_p01,-0.026634261857290537
sgeyesub,subject_calibration,eog_coherence_reduction,20260811,study01/study01_p02,-0.0061668472805102015
sgeyesub,diffusion_increment,eog_coherence_reduction,20260811,study01/study01_p02,-0.08603734393284593
sgeyesub,subject_specificity,eog_coherence_reduction,20260811,study01/study01_p02,0.01268390198589231
sgeyesub,subject_calibration,eog_coherence_reduction,20260811,study01/study01_p03,-0.06621604745457216
sgeyesub,diffusion_increment,eog_coherence_reduction,20260811,study01/study01_p03,-0.028542657786195635
sgeyesub,subject_specificity,eog_coherence_reduction,20260811,study01/study01_p03,-0.0458367127127369
sgeyesub,subject_calibration,eog_coherence_reduction,20260811,study01/study01_p04,-0.0035177999169611063
sgeyesub,diffusion_increment,eog_coherence_reduction,20260811,study01/study01_p04,0.007344898640473052
sgeyesub,subject_specificity,eog_coherence_reduction,20260811,study01/study01_p04,0.0004041128813130901
sgeyesub,subject_calibration,eog_coherence_reduction,20260811,study01/study01_p05,1.2345936232449617e-05
sgeyesub,diffusion_increment,eog_coherence_reduction,20260811,study01/study01_p05,-5.341954455412301e-05
sgeyesub,subject_specificity,eog_coherence_reduction,20260811,study01/study01_p05,4.950477587181701e-05
sgeyesub,subject_calibration,eog_coherence_reduction,20260811,study02/study02_p02,-0.003133326652968782
sgeyesub,diffusion_increment,eog_coherence_reduction,20260811,study02/study02_p02,0.06387823928948622
sgeyesub,subject_specificity,eog_coherence_reduction,20260811,study02/study02_p02,0.00933812981787574
sgeyesub,subject_calibration,eog_coherence_reduction,20260811,study02/study02_p03,0.010737248595635157
sgeyesub,diffusion_increment,eog_coherence_reduction,20260811,study02/study02_p03,-0.04344416587451949
sgeyesub,subject_specificity,eog_coherence_reduction,20260811,study02/study02_p03,0.010448798848996077
sgeyesub,subject_calibration,eog_coherence_reduction,20260811,study02/study02_p06,0.018007813712555554
sgeyesub,diffusion_increment,eog_coherence_reduction,20260811,study02/study02_p06,-0.008840243145790017
sgeyesub,subject_specificity,eog_coherence_reduction,20260811,study02/study02_p06,0.014411004793213
sgeyesub,subject_calibration,eog_coherence_reduction,20260811,study02/study02_p07,0.001907699761023951
sgeyesub,diffusion_increment,eog_coherence_reduction,20260811,study02/study02_p07,0.016039886307857576
sgeyesub,subject_specificity,eog_coherence_reduction,20260811,study02/study02_p07,0.0025463471396022785
sgeyesub,subject_calibration,eog_coherence_reduction,20260811,study02/study02_p08,-0.004284844506684871
sgeyesub,diffusion_increment,eog_coherence_reduction,20260811,study02/study02_p08,0.02573268639243259
sgeyesub,subject_specificity,eog_coherence_reduction,20260811,study02/study02_p08,-0.004370911879015171
sgeyesub,subject_calibration,eog_coherence_reduction,20260811,study02/study02_p09,-0.012769264468561026
sgeyesub,diffusion_increment,eog_coherence_reduction,20260811,study02/study02_p09,0.002971172314675141
sgeyesub,subject_specificity,eog_coherence_reduction,20260811,study02/study02_p09,-0.01683253651988592
sgeyesub,subject_calibration,eog_coherence_reduction,20260811,study02/study02_p10,-0.00045937529678691247
sgeyesub,diffusion_increment,eog_coherence_reduction,20260811,study02/study02_p10,0.009484261578088182
sgeyesub,subject_specificity,eog_coherence_reduction,20260811,study02/study02_p10,0.002947581305643432
sgeyesub,subject_calibration,eog_coherence_reduction,20260811,study02/study02_p11,0.0030664643533902525
sgeyesub,diffusion_increment,eog_coherence_reduction,20260811,study02/study02_p11,-0.006781226376833149
sgeyesub,subject_specificity,eog_coherence_reduction,20260811,study02/study02_p11,0.007150174562441158
sgeyesub,subject_calibration,eog_coherence_reduction,20260811,study02/study02_p12,0.003564471959607518
sgeyesub,diffusion_increment,eog_coherence_reduction,20260811,study02/study02_p12,0.012783281587142703
sgeyesub,subject_specificity,eog_coherence_reduction,20260811,study02/study02_p12,0.0049513706562210325
sgeyesub,subject_calibration,eog_coherence_reduction,20260811,study02/study02_p13,-0.022130200166613267
sgeyesub,diffusion_increment,eog_coherence_reduction,20260811,study02/study02_p13,-0.013676817455083257
sgeyesub,subject_specificity,eog_coherence_reduction,20260811,study02/study02_p13,0.009277485235593685
sgeyesub,subject_calibration,eog_coherence_reduction,20260811,study02/study02_p14,-0.011878179864545035
sgeyesub,diffusion_increment,eog_coherence_reduction,20260811,study02/study02_p14,0.03803372158327739
sgeyesub,subject_specificity,eog_coherence_reduction,20260811,study02/study02_p14,-0.01562598594266662
sgeyesub,subject_calibration,eog_coherence_reduction,20260811,study02/study02_p15,-0.04591961774657338
sgeyesub,diffusion_increment,eog_coherence_reduction,20260811,study02/study02_p15,0.02435493218737733
sgeyesub,subject_specificity,eog_coherence_reduction,20260811,study02/study02_p15,0.0014233377626499677
sgeyesub,subject_calibration,eog_coherence_reduction,20260811,study02/study02_p16,-0.03474185380122971
sgeyesub,diffusion_increment,eog_coherence_reduction,20260811,study02/study02_p16,0.05810953254819615
sgeyesub,subject_specificity,eog_coherence_reduction,20260811,study02/study02_p16,0.023863569649235666
sgeyesub,subject_calibration,eog_coherence_reduction,20260811,study02/study02_p17,-0.10182447163257063
sgeyesub,diffusion_increment,eog_coherence_reduction,20260811,study02/study02_p17,0.04914216887874667
sgeyesub,subject_specificity,eog_coherence_reduction,20260811,study02/study02_p17,0.007603470994192368
sgeyesub,subject_calibration,eog_coherence_reduction,20260811,study02/study02_p18,-0.03390279582698741
