dataset,estimand,oracle_query_EOG_diagnostic_only,unit_id,utility_effect_positive_is_better
klados,oracle_subject_calibration,True,sim37,-0.011540909097758068
klados,oracle_subject_specificity,True,sim37,0.014310910430437307
klados,oracle_subject_calibration,True,sim38,-0.004740341414146365
klados,oracle_subject_specificity,True,sim38,0.20068293005349847
klados,oracle_subject_calibration,True,sim39,-0.025664374500188103
klados,oracle_subject_specificity,True,sim39,0.030259983097564613
klados,oracle_subject_calibration,True,sim40,0.01569244609133208
klados,oracle_subject_specificity,True,sim40,0.07732537602994688
klados,oracle_subject_calibration,True,sim41,-0.0164239077646125
klados,oracle_subject_specificity,True,sim41,-0.012549471433547399
klados,oracle_subject_calibration,True,sim42,-0.010903890802263505
klados,oracle_subject_specificity,True,sim42,-0.008534837057490474
klados,oracle_subject_calibration,True,sim43,-0.010534463548840689
klados,oracle_subject_specificity,True,sim43,0.03606100000699225
klados,oracle_subject_calibration,True,sim46,-0.0005236429465609316
klados,oracle_subject_specificity,True,sim46,0.004944482193318556
klados,oracle_subject_calibration,True,sim47,-0.009710135019294963
klados,oracle_subject_specificity,True,sim47,-0.0029370481995221187
klados,oracle_subject_calibration,True,sim48,-0.03250611836493994
klados,oracle_subject_specificity,True,sim48,0.04256571938256004
klados,oracle_subject_calibration,True,sim49,-0.05045133578810446
klados,oracle_subject_specificity,True,sim49,0.05956989330332174
klados,oracle_subject_calibration,True,sim50,0.0007667467573718167
klados,oracle_subject_specificity,True,sim50,0.0092181442547139
klados,oracle_subject_calibration,True,sim51,0.001102931798947715
klados,oracle_subject_specificity,True,sim51,0.09988542610211593
klados,oracle_subject_calibration,True,sim52,-0.0025715462340651918
klados,oracle_subject_specificity,True,sim52,0.04381762124912536
klados,oracle_subject_calibration,True,sim53,-0.11419781246966243
klados,oracle_subject_specificity,True,sim53,-0.10180503999979273
klados,oracle_subject_calibration,True,sim54,-0.010285986579063267
klados,oracle_subject_specificity,True,sim54,0.09510241890044052
sgeyesub,oracle_subject_calibration,True,study01/study01_p01,-0.12165256254364121
sgeyesub,oracle_subject_specificity,True,study01/study01_p01,-0.03460640713060273
sgeyesub,oracle_subject_calibration,True,study01/study01_p02,-0.005180777008476689
sgeyesub,oracle_subject_specificity,True,study01/study01_p02,-0.002260996869283327
sgeyesub,oracle_subject_calibration,True,study01/study01_p03,-0.08828973598041934
