fold_id,recording_key,K,paired_rrmse,artifact_rrmse,artifact_correlation,posterior_variance_mean,network_calls
study01_layout_01_heldout_00,study01/study01_p01,1,2.2815630435943604,3.9346790313720703,0.05579995447263912,0.0,25
study01_layout_01_heldout_00,study01/study01_p01,8,1.037933588027954,1.7899727821350098,0.1291900165606529,2.16884446144104,200
study01_layout_01_heldout_00,study01/study01_p01,32,0.7978203296661377,1.3758844137191772,0.1853631187828728,2.398879289627075,800
study01_layout_01_heldout_00,study01/study01_p02,1,2.412491798400879,5.687358856201172,0.017391400017081962,0.0,25
study01_layout_01_heldout_00,study01/study01_p02,8,1.0297070741653442,2.4274957180023193,0.05824012791723973,2.136385202407837,200
study01_layout_01_heldout_00,study01/study01_p02,32,0.7384131550788879,1.7407811880111694,0.08504435444581689,2.3808798789978027,800
study01_layout_01_heldout_00,study01/study01_p03,1,2.90873384475708,3.8120884895324707,0.051490123090090385,0.0,25
study01_layout_01_heldout_00,study01/study01_p03,8,1.3100244998931885,1.7168740034103394,0.11586290427976105,2.16674542427063,200
study01_layout_01_heldout_00,study01/study01_p03,32,0.9959073662757874,1.305202603340149,0.16579630621730962,2.3911991119384766,800
study01_layout_01_heldout_01,study01/study01_p04,1,0.8301591277122498,1.5234336853027344,0.018137905113837217,0.0,25
study01_layout_01_heldout_01,study01/study01_p04,8,0.6063587069511414,1.1127352714538574,0.04200955121022341,0.1829833686351776,200
study01_layout_01_heldout_01,study01/study01_p04,32,0.5749523043632507,1.0551010370254517,0.06451536612446063,0.2039089947938919,800
study01_layout_01_heldout_01,study01/study01_p05,1,2.5086417198181152,1.029569149017334,0.0817530395009897,0.0,25
study01_layout_01_heldout_01,study01/study01_p05,8,2.412767171859741,0.9902213215827942,0.14498211852028137,0.18717096745967865,200
study01_layout_01_heldout_01,study01/study01_p05,32,2.402494192123413,0.9860051870346069,0.16785677825482181,0.2080383598804474,800
study02_layout_02_heldout_00,study02/study02_p02,1,1.0694239139556885,2.3758974075317383,0.22724016849933198,0.0,25
study02_layout_02_heldout_00,study02/study02_p02,8,0.48319923877716064,1.07350492477417,0.4824022422960548,0.3939327299594879,200
study02_layout_02_heldout_00,study02/study02_p02,32,0.3658318817615509,0.8127544522285461,0.6306408342765637,0.4348297119140625,800
study02_layout_02_heldout_00,study02/study02_p03,1,1.054343581199646,2.1226272583007812,0.24096523259959746,0.0,25
study02_layout_02_heldout_00,study02/study02_p03,8,0.49113786220550537,0.9887693524360657,0.5085754591699,0.3923960030078888,200
study02_layout_02_heldout_00,study02/study02_p03,32,0.39199942350387573,0.7891817092895508,0.6332802917803507,0.43516165018081665,800
study02_layout_02_heldout_00,study02/study02_p06,1,1.064529538154602,2.513624668121338,0.23308389257001128,0.0,25
study02_layout_02_heldout_00,study02/study02_p06,8,0.4611176550388336,1.0888158082962036,0.4989665828551459,0.3932013511657715,200
study02_layout_02_heldout_00,study02/study02_p06,32,0.3366353213787079,0.7948814630508423,0.6520294630935007,0.4348454177379608,800
study02_layout_02_heldout_01,study02/study02_p07,1,0.7146216630935669,1.767008662223816,0.27428330470356005,0.0,25
