fold_id,split,timestep,predicted_v_mse,x0_rrmse,artifact_correlation,artifact_rms_ratio
study01_layout_01_heldout_00,training,999,0.1050400584936142,1.144689679145813,0.670615358891598,1.450331211090088
study01_layout_01_heldout_00,training,950,0.05291270092129707,0.8100703358650208,0.7931132929194491,1.2044265270233154
study01_layout_01_heldout_00,training,750,0.041232310235500336,0.663856565952301,0.8418447365008154,1.0700147151947021
study01_layout_01_heldout_00,training,500,0.11617324501276016,0.8577747941017151,0.7724689283377458,1.2502659559249878
study01_layout_01_heldout_00,training,250,0.2085014432668686,0.6331157088279724,0.860024128251958,1.1578909158706665
study01_layout_01_heldout_00,training,0,1.0343120098114014,0.023085689172148705,0.999766186291322,0.9982982873916626
study01_layout_01_heldout_00,heldout,999,0.11765888333320618,2.2428596019744873,0.07547499470416093,2.1005637645721436
study01_layout_01_heldout_00,heldout,950,0.06546234339475632,1.6680841445922852,0.10752445827628869,1.4758819341659546
study01_layout_01_heldout_00,heldout,750,0.05284891650080681,1.3914029598236084,0.18639332119732407,1.240687370300293
study01_layout_01_heldout_00,heldout,500,0.1315716803073883,1.6899774074554443,0.2458065656655081,1.7380154132843018
study01_layout_01_heldout_00,heldout,250,0.2535593807697296,1.2925513982772827,0.42273756612738417,1.5393413305282593
study01_layout_01_heldout_00,heldout,0,1.3731096982955933,0.049243517220020294,0.9979349086156496,0.9986472129821777
study01_layout_01_heldout_01,training,999,0.1282990425825119,1.043594241142273,0.6911286214243472,1.2546710968017578
study01_layout_01_heldout_01,training,950,0.07323218137025833,0.786146342754364,0.799833795964091,1.0496346950531006
study01_layout_01_heldout_01,training,750,0.06070927157998085,0.6644963622093201,0.844639797497496,0.960425615310669
study01_layout_01_heldout_01,training,500,0.12740230560302734,0.7410005331039429,0.8078429113925292,1.1169543266296387
study01_layout_01_heldout_01,training,250,0.21280412375926971,0.5276285409927368,0.8940943499593882,1.090422511100769
study01_layout_01_heldout_01,training,0,1.0850201845169067,0.019504982978105545,0.999836307036215,0.999924898147583
study01_layout_01_heldout_01,heldout,999,0.5116493105888367,1.11897611618042,0.01425916275509637,0.5128048062324524
study01_layout_01_heldout_01,heldout,950,0.45142799615859985,1.0479999780654907,0.038196695402521484,0.3501873314380646
study01_layout_01_heldout_01,heldout,750,0.3816748261451721,0.8945949673652649,0.35213375737185465,0.33271732926368713
study01_layout_01_heldout_01,heldout,500,0.33231842517852783,0.6425719261169434,0.626562393624544,0.6402884721755981
study01_layout_01_heldout_01,heldout,250,0.35731104016304016,0.36709296703338623,0.8449203003950816,0.8978647589683533
study01_layout_01_heldout_01,heldout,0,1.5877761840820312,0.012668817304074764,0.9997929919658818,0.9991352558135986
study02_layout_02_heldout_00,training,999,0.11842265725135803,1.1234325170516968,0.44828949160927767,1.0434740781784058
study02_layout_02_heldout_00,training,950,0.07719885557889938,0.9044144153594971,0.5911309518626389,0.8624863624572754
study02_layout_02_heldout_00,training,750,0.08030577749013901,0.8563436269760132,0.651504486702653,0.9421351552009583
study02_layout_02_heldout_00,training,500,0.17005936801433563,0.9592676758766174,0.6469047556511329,1.215477466583252
study02_layout_02_heldout_00,training,250,0.2808487117290497,0.6791787147521973,0.7977488053043921,1.1529666185379028
study02_layout_02_heldout_00,training,0,1.0789246559143066,0.02179374359548092,0.9997241189858844,1.0002202987670898
study02_layout_02_heldout_00,heldout,999,0.10450264066457748,1.3707828521728516,0.34813633629444624,1.2935247421264648
study02_layout_02_heldout_00,heldout,950,0.06360834836959839,1.0663373470306396,0.4829349554954141,1.0119913816452026
study02_layout_02_heldout_00,heldout,750,0.06864195317029953,1.0283595323562622,0.5551516697989232,1.0933310985565186
study02_layout_02_heldout_00,heldout,500,0.16296333074569702,1.2197192907333374,0.557104731935463,1.4308217763900757
