fold_id,recording_key,wrong_donors,paired_windows,Q_roles,generator_trial_ids,clean_trial_ids,artifact_trial_ids,generator_time_ranges_samples,clean_time_ranges_samples,artifact_time_ranges_samples,role_overlap_verified,legacy_overlap_field_invalid
study01_layout_01_heldout_00,study01/study01_p01,study01/study01_p02;study01/study01_p03,4,label_eligible_trial_maximization_generator_clean_artifact,1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20;21;22;23;24;25;26,15,0,"[[1600, 3200], [3200, 4800], [4800, 6400], [6400, 8000], [8000, 9600], [9600, 11200], [11200, 12800], [12800, 14400], [14400, 16000], [16000, 17600], [17600, 19200], [19200, 20800], [20800, 22400], [22400, 24000], [25600, 27200], [27200, 28800], [28800, 30400], [30400, 32000], [32000, 33600], [33600, 35200], [35200, 36800], [36800, 38400], [38400, 40000], [40000, 41600], [41600, 43200]]","[[24000, 25600]]","[[0, 1600]]",True,True
study01_layout_01_heldout_00,study01/study01_p02,study01/study01_p01;study01/study01_p03,4,label_eligible_trial_maximization_generator_clean_artifact,0;1;3;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,4,2,"[[0, 1600], [1600, 3200], [4800, 6400], [8000, 9600], [9600, 11200], [11200, 12800], [12800, 14400], [14400, 16000], [16000, 17600], [17600, 19200], [19200, 20800], [20800, 22400], [22400, 24000], [24000, 25600], [25600, 27200], [27200, 28800], [28800, 30400], [30400, 32000], [32000, 33600], [33600, 35200], [35200, 36800], [36800, 38400], [38400, 40000]]","[[6400, 8000]]","[[3200, 4800]]",True,True
study01_layout_01_heldout_00,study01/study01_p03,study01/study01_p01;study01/study01_p02,4,label_eligible_trial_maximization_generator_clean_artifact,1;2;3;4;5;6;7;8;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,9,0,"[[1600, 3200], [3200, 4800], [4800, 6400], [6400, 8000], [8000, 9600], [9600, 11200], [11200, 12800], [12800, 14400], [16000, 17600], [17600, 19200], [19200, 20800], [20800, 22400], [22400, 24000], [24000, 25600], [25600, 27200], [27200, 28800], [28800, 30400], [30400, 32000], [32000, 33600], [33600, 35200], [35200, 36800], [36800, 38400], [38400, 40000], [40000, 41600]]","[[14400, 16000]]","[[0, 1600]]",True,True
study01_layout_01_heldout_01,study01/study01_p04,study01/study01_p05,4,label_eligible_trial_maximization_generator_clean_artifact,1;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22,2,0,"[[1600, 3200], [4800, 6400], [6400, 8000], [8000, 9600], [9600, 11200], [11200, 12800], [12800, 14400], [14400, 16000], [16000, 17600], [17600, 19200], [19200, 20800], [20800, 22400], [22400, 24000], [24000, 25600], [25600, 27200], [27200, 28800], [28800, 30400], [30400, 32000], [32000, 33600], [33600, 35200], [35200, 36800]]","[[3200, 4800]]","[[0, 1600]]",True,True
study01_layout_01_heldout_01,study01/study01_p05,study01/study01_p04,4,label_eligible_trial_maximization_generator_clean_artifact,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0,1,"[[3200, 4800], [4800, 6400], [6400, 8000], [8000, 9600], [9600, 11200], [11200, 12800], [12800, 14400], [14400, 16000], [16000, 17600], [17600, 19200], [19200, 20800], [20800, 22400], [22400, 24000], [24000, 25600], [25600, 27200], [27200, 28800], [28800, 30400], [30400, 32000], [32000, 33600], [33600, 35200], [35200, 36800], [36800, 38400], [38400, 40000], [40000, 41600]]","[[0, 1600]]","[[1600, 3200]]",True,True
study02_layout_02_heldout_00,study02/study02_p02,study02/study02_p03;study02/study02_p06,4,label_eligible_trial_maximization_generator_clean_artifact,1;2;3;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,4,0,"[[1600, 3200], [3200, 4800], [4800, 6400], [8000, 9600], [9600, 11200], [11200, 12800], [12800, 14400], [14400, 16000], [16000, 17600], [17600, 19200], [19200, 20800], [20800, 22400], [22400, 24000], [24000, 25600], [25600, 27200], [27200, 28800], [28800, 30400], [30400, 32000], [32000, 33600], [33600, 35200], [35200, 36800], [36800, 38400], [38400, 40000], [40000, 41600]]","[[6400, 8000]]","[[0, 1600]]",True,True
study02_layout_02_heldout_00,study02/study02_p03,study02/study02_p02;study02/study02_p06,4,label_eligible_trial_maximization_generator_clean_artifact,1;2;3;4;5;6;7;8;10;11;12;13;14;15;16;17;18;19;20;21;22;23,9,0,"[[1600, 3200], [3200, 4800], [4800, 6400], [6400, 8000], [8000, 9600], [9600, 11200], [11200, 12800], [12800, 14400], [16000, 17600], [17600, 19200], [19200, 20800], [20800, 22400], [22400, 24000], [24000, 25600], [25600, 27200], [27200, 28800], [28800, 30400], [30400, 32000], [32000, 33600], [33600, 35200], [35200, 36800], [36800, 38400]]","[[14400, 16000]]","[[0, 1600]]",True,True
study02_layout_02_heldout_00,study02/study02_p06,study02/study02_p02;study02/study02_p03,4,label_eligible_trial_maximization_generator_clean_artifact,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,0,1,"[[3200, 4800], [4800, 6400], [6400, 8000], [8000, 9600], [9600, 11200], [11200, 12800], [12800, 14400], [14400, 16000], [16000, 17600], [17600, 19200], [19200, 20800], [20800, 22400], [22400, 24000], [24000, 25600], [25600, 27200], [27200, 28800], [28800, 30400], [30400, 32000], [32000, 33600], [33600, 35200], [35200, 36800], [36800, 38400]]","[[0, 1600]]","[[1600, 3200]]",True,True
study02_layout_02_heldout_01,study02/study02_p07,study02/study02_p08,4,label_eligible_trial_maximization_generator_clean_artifact,0;1;2;3;5;6;7;8;9;10;11;12;14;15;16;17;18;19;20;21,13,4,"[[0, 1600], [1600, 3200], [3200, 4800], [4800, 6400], [8000, 9600], [9600, 11200], [11200, 12800], [12800, 14400], [14400, 16000], [16000, 17600], [17600, 19200], [19200, 20800], [22400, 24000], [24000, 25600], [25600, 27200], [27200, 28800], [28800, 30400], [30400, 32000], [32000, 33600], [33600, 35200]]","[[20800, 22400]]","[[6400, 8000]]",True,True
study02_layout_02_heldout_01,study02/study02_p08,study02/study02_p07,4,label_eligible_trial_maximization_generator_clean_artifact,1;2;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,5,0,"[[1600, 3200], [3200, 4800], [4800, 6400], [6400, 8000], [9600, 11200], [11200, 12800], [12800, 14400], [14400, 16000], [16000, 17600], [17600, 19200], [19200, 20800], [20800, 22400], [22400, 24000], [24000, 25600], [25600, 27200], [27200, 28800], [28800, 30400], [30400, 32000], [32000, 33600], [33600, 35200], [35200, 36800], [36800, 38400], [38400, 40000], [40000, 41600]]","[[8000, 9600]]","[[0, 1600]]",True,True
study02_layout_02_heldout_02,study02/study02_p09,study02/study02_p10,4,label_eligible_trial_maximization_generator_clean_artifact,0;1;2;3;5;6;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,7,4,"[[0, 1600], [1600, 3200], [3200, 4800], [4800, 6400], [8000, 9600], [9600, 11200], [12800, 14400], [14400, 16000], [16000, 17600], [17600, 19200], [19200, 20800], [20800, 22400], [22400, 24000], [24000, 25600], [25600, 27200], [27200, 28800], [28800, 30400], [30400, 32000], [32000, 33600], [33600, 35200], [35200, 36800], [36800, 38400], [38400, 40000], [40000, 41600]]","[[11200, 12800]]","[[6400, 8000]]",True,True
