fold_id,recording_key,arm,deployed_reliability,population_split_reliability,normalized_fir_distance,frequency_magnitude_distance,frequency_phase_distance,principal_angle_degrees,common_eog_response_distance
study01_layout_01_heldout_00,study01/study01_p01,MATCH,0.3259790539741516,0.39645254611968994,0.8596470998361353,0.4713507725608091,1.0372376208099239,86.45752997061852,0.8235672660053192
study01_layout_01_heldout_00,study01/study01_p01,POP,0.39645254611968994,0.39645254611968994,0.890596874541765,0.5226729196112058,0.7798075450963163,84.18384523690631,1.7696543199177488
study01_layout_01_heldout_00,study01/study01_p01,WRONG0,0.3579985797405243,0.39645254611968994,1.1163390627459775,0.7516132685188102,0.9716530693714343,47.622783562256544,1.8794182211868729
study01_layout_01_heldout_00,study01/study01_p01,WRONG1,0.48966652154922485,0.39645254611968994,0.6886837998735357,0.4257892272889098,0.8361714628707027,61.32000568331643,0.6490108363460108
study01_layout_01_heldout_00,study01/study01_p02,MATCH,0.3579985797405243,0.39645254611968994,0.7621627476983315,0.3646410579370058,0.8588675883640373,32.15692764249217,0.7060122293313156
study01_layout_01_heldout_00,study01/study01_p02,POP,0.39645254611968994,0.39645254611968994,0.9433897062611355,0.6185871035972627,0.7772931229870009,66.07143004142758,0.8498689474877125
study01_layout_01_heldout_00,study01/study01_p02,WRONG0,0.3259790539741516,0.39645254611968994,1.0555750870058394,0.6422707945512282,1.0982095008121782,78.44438850169435,0.8879376460776642
study01_layout_01_heldout_00,study01/study01_p02,WRONG1,0.48966652154922485,0.39645254611968994,1.1739760836092215,0.7711139050715273,0.7295380771129288,48.331850336940064,0.9421846913545017
study01_layout_01_heldout_00,study01/study01_p03,MATCH,0.48966652154922485,0.39645254611968994,0.6130621165270042,0.39356446425231756,0.6031836211219691,55.50171795397751,0.6108223999697928
study01_layout_01_heldout_00,study01/study01_p03,POP,0.39645254611968994,0.39645254611968994,0.9749576329241256,0.6925811230488264,0.7196354700340322,77.63748341743482,2.250114458265216
study01_layout_01_heldout_00,study01/study01_p03,WRONG0,0.3259790539741516,0.39645254611968994,1.0278152633809499,0.6585543975233911,0.9886761643984585,80.22580374879419,1.0735357606345552
study01_layout_01_heldout_00,study01/study01_p03,WRONG1,0.3579985797405243,0.39645254611968994,1.2753359530183987,0.9942796642568673,0.9052857029076716,76.27145115905444,2.3856737992805104
study01_layout_01_heldout_01,study01/study01_p04,MATCH,0.515887975692749,0.3866622845331828,0.6325818533624268,0.38636873847626874,0.594179253725482,79.02827290490414,1.254052255634265
study01_layout_01_heldout_01,study01/study01_p04,POP,0.3866622845331828,0.3866622845331828,0.7862275692543235,0.3920509601919962,0.7736426351521759,75.89421127398835,0.8571350564495925
study01_layout_01_heldout_01,study01/study01_p04,WRONG0,0.27216607332229614,0.3866622845331828,0.9833733927112802,0.47599022996312507,0.8266691738027794,87.09616601242146,4.052509057648422
study01_layout_01_heldout_01,study01/study01_p05,MATCH,0.27216607332229614,0.3866622845331828,1.0673675338843245,0.5732750774179125,0.924745519005251,71.68033156227774,1.627979940527914
study01_layout_01_heldout_01,study01/study01_p05,POP,0.3866622845331828,0.3866622845331828,0.7106094180868381,0.34581765612152504,0.7049630040804602,35.84736904475972,0.7298473451617254
study01_layout_01_heldout_01,study01/study01_p05,WRONG0,0.515887975692749,0.3866622845331828,0.5697685627892481,0.314939164788366,0.6022402536978327,57.511757298712055,0.5607448120657409
study02_layout_02_heldout_00,study02/study02_p02,MATCH,0.3087455928325653,0.4164310470223427,0.7964726153929333,0.25990099839653347,0.7572170340344663,72.56782555299458,0.7510176735702463
study02_layout_02_heldout_00,study02/study02_p02,POP,0.4164310470223427,0.4164310470223427,0.6153643105130884,0.3483723143776594,0.350425183455692,89.17687837830873,0.7114782906586078
study02_layout_02_heldout_00,study02/study02_p02,WRONG0,0.29771777987480164,0.4164310470223427,0.8172971583119634,0.3333265663572069,0.7263393977494819,81.70178928129154,0.7767706175623955
