fold_id,study,train_pair_count,train_participant_count,channels,sampling_rate_hz,checkpoint_seed,initialization_reproducible_from_checkpoint,target_artifact_rms,target_artifact_mean,target_artifact_std,target_artifact_channel_scale_min,target_artifact_channel_scale_max,recording_key,historical_match_correction_rms,historical_match_correction_mean,historical_match_correction_std,historical_match_correction_channel_scale_min,historical_match_correction_channel_scale_max,historical_match_target_correlation,historical_match_artifact_rrmse,historical_match_restored_rrmse,raw_rrmse,match_pop_correction_difference_rms,match_wrong_correction_difference_rms
study01_layout_01_heldout_00,study01,8,2,58,200.0,20260806,False,1.095693588256836,-0.0043653990142047405,1.0956848859786987,0.24434882402420044,2.1266095638275146,,,,,,,,,,,,
study01_layout_01_heldout_00,study01,8,2,58,200.0,20260806,False,,,,,,study01/study01_p01,0.6773828864097595,-0.07690117508172989,0.6730034947395325,0.1794409453868866,1.310998558998108,0.12819969667239955,1.7750577926635742,1.029284954071045,0.5798599720001221,0.4434763491153717,0.31938499212265015
study01_layout_01_heldout_00,study01,8,2,58,200.0,20260806,False,,,,,,study01/study01_p02,0.6472436785697937,-0.005165610928088427,0.6472229957580566,0.1826629638671875,1.197787880897522,0.051042413475256614,2.445589065551758,1.0373820066452026,0.4241849184036255,0.3861099183559418,0.3055393099784851
study01_layout_01_heldout_00,study01,8,2,58,200.0,20260806,False,,,,,,study01/study01_p03,0.6552141308784485,-0.03658633679151535,0.6541918516159058,0.17561593651771545,1.2418659925460815,0.11665586556709913,1.7139317989349365,1.3077795505523682,0.7630289196968079,0.4075787663459778,0.2654761075973511
study01_layout_01_heldout_01,study01,12,3,58,200.0,20260806,False,0.4124945104122162,0.010467262007296085,0.4123617112636566,0.08945579081773758,1.0511653423309326,,,,,,,,,,,,
study01_layout_01_heldout_01,study01,12,3,58,200.0,20260806,False,,,,,,study01/study01_p04,0.21751615405082703,0.015869343653321266,0.21693649888038635,0.052466168999671936,0.5386528968811035,0.05088745092152567,1.1070640087127686,0.6032683253288269,0.5449263453483582,0.0883411169052124,0.12261924892663956
study01_layout_01_heldout_01,study01,12,3,58,200.0,20260806,False,,,,,,study01/study01_p05,0.27678900957107544,0.020534446462988853,0.27602624893188477,0.06771146506071091,0.7532897591590881,0.14302306749452387,0.990671694278717,2.4138643741607666,2.436594009399414,0.14826050400733948,0.18746936321258545
study02_layout_02_heldout_00,study02,48,12,64,200.0,20260806,False,0.3830718994140625,0.009666281752288342,0.38294994831085205,0.173607736825943,0.7736006379127502,,,,,,,,,,,,
study02_layout_02_heldout_00,study02,48,12,64,200.0,20260806,False,,,,,,study02/study02_p02,0.3195892572402954,-0.011093692854046822,0.31939661502838135,0.12427309155464172,0.6880694031715393,0.4789418417945147,1.0702623128890991,0.48173969984054565,0.4501136541366577,0.0897461324930191,0.08136764168739319
study02_layout_02_heldout_00,study02,48,12,64,200.0,20260806,False,,,,,,study02/study02_p03,0.3312236964702606,-0.012589557096362114,0.33098435401916504,0.1387781798839569,0.6086030602455139,0.49676559577501594,1.0002217292785645,0.4968264400959015,0.49671632051467896,0.10804489254951477,0.09937754273414612
study02_layout_02_heldout_00,study02,48,12,64,200.0,20260806,False,,,,,,study02/study02_p06,0.3178698420524597,-0.013079773634672165,0.3176006078720093,0.13663248717784882,0.5399232506752014,0.49274086838853776,1.0956707000732422,0.4640207290649414,0.4235037863254547,0.09277552366256714,0.0870913565158844
study02_layout_02_heldout_01,study02,52,13,64,200.0,20260806,False,0.3698185086250305,0.011709505692124367,0.3696330487728119,0.16442683339118958,0.7746871113777161,,,,,,,,,,,,
