fold,mtime_ns,path,role,sha256,size,v25_seed,v26_seed
2,1786499285014699728,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_2/seed_20260826/best_joint.pt,setcalib_det,bc765549ac7e34867ade794997a9cab9a1ed4a32926ecc442689204f96e93722,9174533,20260826,20260829
2,1786490021535868386,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_2/seed_20260824/best_joint.pt,population_anchor,dfbcea37c0958c841197812b0b474e621466ed3c67d3e7b6b5f85afefa8ff192,2645929,20260827,20260830
2,1786499861276490682,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_2/seed_20260827/best_joint.pt,setcalib_det,6a9ea87444761fc1b742a5dfe0f5b43ae348f0e853daabd7581b414969835e61,9174533,20260827,20260830
3,1786491267173459882,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_3/seed_20260825/best_joint.pt,population_anchor,717a8d3a1fe8a05d5f95afaee8edc61dabf171454a4545b7cb1376a2327df336,2645929,20260825,20260828
3,1786500065788416472,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_3/seed_20260825/best_joint.pt,setcalib_det,41bba29262e9cb4b365b5c007249d5a9db9e7ea1f3745c003d4c05c60b79f4d9,9174533,20260825,20260828
3,1786491346321431967,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_3/seed_20260826/best_joint.pt,population_anchor,da4e222deef3c5923db8ad06b4c2ac03e2478d38528249dcd70a82de5c578df1,2645929,20260826,20260829
3,1786499866172488905,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_3/seed_20260826/best_joint.pt,setcalib_det,3124cca9dc51d48faa17e541edb8d8e748d8c5a307ae076142391c63b97240ea,9174533,20260826,20260829
3,1786490051620856997,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_3/seed_20260824/best_joint.pt,population_anchor,b831fa017c577070cd8b7e3070c4f61236117fe8747435f3613f59d6b3b8560c,2645929,20260827,20260830
3,1786499452377638867,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_3/seed_20260827/best_joint.pt,setcalib_det,3a95835e1fe5db42537058d7996f3ca511f0cd653dba28f4207fe392a4eeee37,9174533,20260827,20260830
4,1786491451341396780,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_4/seed_20260825/best_joint.pt,population_anchor,d692f57c36a0e1b7cbd7d8f5f48ac9bbaf81e734880db03d05602d0e031e2041,2645929,20260825,20260828
4,1786499557122600897,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_4/seed_20260825/best_joint.pt,setcalib_det,ec2ea7d6d21eed26560545e5faf92c6f82c3f1ddfcb8e979957d883e99522a98,9174533,20260825,20260828
4,1786491654771335927,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_4/seed_20260826/best_joint.pt,population_anchor,09cb805988db4004e18640a34547689661a5d439b9ce70d1e2f010e4bd68b999,2645929,20260826,20260829
4,1786499599896585394,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_4/seed_20260826/best_joint.pt,setcalib_det,283c284486ec9b43a423a2d7261bc1dc91899698f26d852d66ee177ad8e0e8df,9174533,20260826,20260829
4,1786490169325816122,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_4/seed_20260824/best_joint.pt,population_anchor,9428010a3c657eaed12f3730d211fc1a4b89a5616eba2d54e03ded8776110b23,2645929,20260827,20260830
4,1786500135069390903,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_4/seed_20260827/best_joint.pt,setcalib_det,f72e7be7a16f4c88a4c787798c744d99fe9d452e433246cd2ca2d751ecfe771e,9174533,20260827,20260830
