bundle,fold,seconds,seconds_per_window,seed,windows
V26 frozen candidates plus final-only energy,0,11.8566312789917,0.0617532879114151,20260828,192
V26 frozen candidates plus final-only energy,0,11.91247296333313,0.062044130017360054,20260829,192
V26 frozen candidates plus final-only energy,0,11.985431909561157,0.06242412452896436,20260830,192
V26 frozen candidates plus final-only energy,1,11.867157220840454,0.0618081105252107,20260828,192
V26 frozen candidates plus final-only energy,1,12.025181531906128,0.06263115381201108,20260829,192
V26 frozen candidates plus final-only energy,1,11.781461477279663,0.061361778527498245,20260830,192
V26 frozen candidates plus final-only energy,2,9.12187647819519,0.04750977332393328,20260828,192
V26 frozen candidates plus final-only energy,2,11.875499725341797,0.061851561069488525,20260829,192
V26 frozen candidates plus final-only energy,2,11.74283742904663,0.06116061160961787,20260830,192
V26 frozen candidates plus final-only energy,3,11.935676097869873,0.062164979676405586,20260828,192
V26 frozen candidates plus final-only energy,3,9.250825881958008,0.048181384801864624,20260829,192
V26 frozen candidates plus final-only energy,3,11.901312351226807,0.06198600182930628,20260830,192
V26 frozen candidates plus final-only energy,4,11.881611824035645,0.06188339491685232,20260828,192
V26 frozen candidates plus final-only energy,4,12.303279638290405,0.0640795814494292,20260829,192
V26 frozen candidates plus final-only energy,4,9.16055703163147,0.04771123453974724,20260830,192
