dataset,fold_index,route,seed,task_index
klados,0,P_A_RAW_SUPPORT_TOKENS,20260811,0
sgeyesub,0,P_A_RAW_SUPPORT_TOKENS,20260811,1
sgeyesub,1,P_A_RAW_SUPPORT_TOKENS,20260811,2
sgeyesub,2,P_A_RAW_SUPPORT_TOKENS,20260811,3
sgeyesub,3,P_A_RAW_SUPPORT_TOKENS,20260811,4
sgeyesub,4,P_A_RAW_SUPPORT_TOKENS,20260811,5
sgeyesub,5,P_A_RAW_SUPPORT_TOKENS,20260811,6
sgeyesub,6,P_A_RAW_SUPPORT_TOKENS,20260811,7
sgeyesub,7,P_A_RAW_SUPPORT_TOKENS,20260811,8
sgeyesub,8,P_A_RAW_SUPPORT_TOKENS,20260811,9
sgeyesub,9,P_A_RAW_SUPPORT_TOKENS,20260811,10
sgeyesub,10,P_A_RAW_SUPPORT_TOKENS,20260811,11
sgeyesub,11,P_A_RAW_SUPPORT_TOKENS,20260811,12
sgeyesub,12,P_A_RAW_SUPPORT_TOKENS,20260811,13
sgeyesub,13,P_A_RAW_SUPPORT_TOKENS,20260811,14
sgeyesub,14,P_A_RAW_SUPPORT_TOKENS,20260811,15
sgeyesub,15,P_A_RAW_SUPPORT_TOKENS,20260811,16
sgeyesub,16,P_A_RAW_SUPPORT_TOKENS,20260811,17
sgeyesub,17,P_A_RAW_SUPPORT_TOKENS,20260811,18
sgeyesub,18,P_A_RAW_SUPPORT_TOKENS,20260811,19
sgeyesub,19,P_A_RAW_SUPPORT_TOKENS,20260811,20
sgeyesub,20,P_A_RAW_SUPPORT_TOKENS,20260811,21
sgeyesub,21,P_A_RAW_SUPPORT_TOKENS,20260811,22
sgeyesub,22,P_A_RAW_SUPPORT_TOKENS,20260811,23
sgeyesub,23,P_A_RAW_SUPPORT_TOKENS,20260811,24
sgeyesub,24,P_A_RAW_SUPPORT_TOKENS,20260811,25
klados,0,P_B_DIRECT_SUPPORT_ADAPTER,20260811,26
sgeyesub,0,P_B_DIRECT_SUPPORT_ADAPTER,20260811,27
sgeyesub,1,P_B_DIRECT_SUPPORT_ADAPTER,20260811,28
sgeyesub,2,P_B_DIRECT_SUPPORT_ADAPTER,20260811,29
sgeyesub,3,P_B_DIRECT_SUPPORT_ADAPTER,20260811,30
sgeyesub,4,P_B_DIRECT_SUPPORT_ADAPTER,20260811,31
sgeyesub,5,P_B_DIRECT_SUPPORT_ADAPTER,20260811,32
sgeyesub,6,P_B_DIRECT_SUPPORT_ADAPTER,20260811,33
sgeyesub,7,P_B_DIRECT_SUPPORT_ADAPTER,20260811,34
sgeyesub,8,P_B_DIRECT_SUPPORT_ADAPTER,20260811,35
sgeyesub,9,P_B_DIRECT_SUPPORT_ADAPTER,20260811,36
sgeyesub,10,P_B_DIRECT_SUPPORT_ADAPTER,20260811,37
sgeyesub,11,P_B_DIRECT_SUPPORT_ADAPTER,20260811,38
sgeyesub,12,P_B_DIRECT_SUPPORT_ADAPTER,20260811,39
sgeyesub,13,P_B_DIRECT_SUPPORT_ADAPTER,20260811,40
sgeyesub,14,P_B_DIRECT_SUPPORT_ADAPTER,20260811,41
sgeyesub,15,P_B_DIRECT_SUPPORT_ADAPTER,20260811,42
sgeyesub,16,P_B_DIRECT_SUPPORT_ADAPTER,20260811,43
sgeyesub,17,P_B_DIRECT_SUPPORT_ADAPTER,20260811,44
sgeyesub,18,P_B_DIRECT_SUPPORT_ADAPTER,20260811,45
sgeyesub,19,P_B_DIRECT_SUPPORT_ADAPTER,20260811,46
sgeyesub,20,P_B_DIRECT_SUPPORT_ADAPTER,20260811,47
sgeyesub,21,P_B_DIRECT_SUPPORT_ADAPTER,20260811,48
sgeyesub,22,P_B_DIRECT_SUPPORT_ADAPTER,20260811,49
sgeyesub,23,P_B_DIRECT_SUPPORT_ADAPTER,20260811,50
sgeyesub,24,P_B_DIRECT_SUPPORT_ADAPTER,20260811,51
klados,0,P_D_SUPPORT_STAT_CONTROL,20260811,52
sgeyesub,0,P_D_SUPPORT_STAT_CONTROL,20260811,53
sgeyesub,1,P_D_SUPPORT_STAT_CONTROL,20260811,54
sgeyesub,2,P_D_SUPPORT_STAT_CONTROL,20260811,55
sgeyesub,3,P_D_SUPPORT_STAT_CONTROL,20260811,56
sgeyesub,4,P_D_SUPPORT_STAT_CONTROL,20260811,57
sgeyesub,5,P_D_SUPPORT_STAT_CONTROL,20260811,58
sgeyesub,6,P_D_SUPPORT_STAT_CONTROL,20260811,59
sgeyesub,7,P_D_SUPPORT_STAT_CONTROL,20260811,60
sgeyesub,8,P_D_SUPPORT_STAT_CONTROL,20260811,61
sgeyesub,9,P_D_SUPPORT_STAT_CONTROL,20260811,62
sgeyesub,10,P_D_SUPPORT_STAT_CONTROL,20260811,63
sgeyesub,11,P_D_SUPPORT_STAT_CONTROL,20260811,64
sgeyesub,12,P_D_SUPPORT_STAT_CONTROL,20260811,65
sgeyesub,13,P_D_SUPPORT_STAT_CONTROL,20260811,66
sgeyesub,14,P_D_SUPPORT_STAT_CONTROL,20260811,67
sgeyesub,15,P_D_SUPPORT_STAT_CONTROL,20260811,68
sgeyesub,16,P_D_SUPPORT_STAT_CONTROL,20260811,69
sgeyesub,17,P_D_SUPPORT_STAT_CONTROL,20260811,70
sgeyesub,18,P_D_SUPPORT_STAT_CONTROL,20260811,71
sgeyesub,19,P_D_SUPPORT_STAT_CONTROL,20260811,72
sgeyesub,20,P_D_SUPPORT_STAT_CONTROL,20260811,73
sgeyesub,21,P_D_SUPPORT_STAT_CONTROL,20260811,74
sgeyesub,22,P_D_SUPPORT_STAT_CONTROL,20260811,75
sgeyesub,23,P_D_SUPPORT_STAT_CONTROL,20260811,76
sgeyesub,24,P_D_SUPPORT_STAT_CONTROL,20260811,77
