recipient,fold,protocol,primary_wrong_donor,same_layout,same_session,sampling_rate,wrong_in_population_training,recipient_in_population_training,primary_wrong_unseen
1,0,same_01,2,1,1,250.0,0,0,1
1,0,same_02,2,1,1,250.0,0,0,1
1,0,same_03,2,1,1,250.0,0,0,1
2,1,same_01,3,1,1,250.0,0,0,1
2,1,same_02,3,1,1,250.0,0,0,1
2,1,same_03,3,1,1,250.0,0,0,1
3,2,same_01,4,1,1,250.0,0,0,1
3,2,same_02,4,1,1,250.0,0,0,1
3,2,same_03,4,1,1,250.0,0,0,1
4,3,same_01,5,1,1,250.0,0,0,1
4,3,same_02,5,1,1,250.0,0,0,1
4,3,same_03,5,1,1,250.0,0,0,1
5,4,same_01,6,1,1,250.0,0,0,1
5,4,same_02,6,1,1,250.0,0,0,1
5,4,same_03,6,1,1,250.0,0,0,1
6,5,same_01,7,1,1,250.0,0,0,1
6,5,same_02,7,1,1,250.0,0,0,1
6,5,same_03,7,1,1,250.0,0,0,1
7,6,same_01,8,1,1,250.0,0,0,1
7,6,same_02,8,1,1,250.0,0,0,1
7,6,same_03,8,1,1,250.0,0,0,1
8,7,same_01,9,1,1,250.0,0,0,1
8,7,same_02,9,1,1,250.0,0,0,1
8,7,same_03,9,1,1,250.0,0,0,1
9,8,same_01,1,1,1,250.0,0,0,1
9,8,same_02,1,1,1,250.0,0,0,1
9,8,same_03,1,1,1,250.0,0,0,1
