path,participant,seed,fold,method,panel,shape,role,donor_status
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_01/inference_outputs.npz,1,20260808,0,RAW,paired,40x3x512,frozen_original,not_applicable
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_01/inference_outputs.npz,1,20260808,0,LINEAR-POP,paired,40x3x512,frozen_original,not_applicable
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_01/inference_outputs.npz,1,20260808,0,DET-POP,paired,40x3x512,frozen_original,not_applicable
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_01/inference_outputs.npz,1,20260808,0,DIFF-POP,paired,40x3x512,frozen_original,not_applicable
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_01/inference_outputs.npz,1,20260808,0,LINEAR-MATCH,paired,40x3x512,frozen_original,not_applicable
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_01/inference_outputs.npz,1,20260808,0,DET-MATCH,paired,40x3x512,frozen_original,not_applicable
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_01/inference_outputs.npz,1,20260808,0,DIFF-MATCH,paired,40x3x512,frozen_original,not_applicable
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_01/inference_outputs.npz,1,20260808,0,LINEAR-WRONG,paired,40x3x512,frozen_original,cyclic_unseen
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_01/inference_outputs.npz,1,20260808,0,DET-WRONG,paired,40x3x512,frozen_original,cyclic_unseen
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_01/inference_outputs.npz,1,20260808,0,DIFF-WRONG,paired,40x3x512,frozen_original,cyclic_unseen
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_01/inference_outputs.npz,1,20260808,0,DIFF-TEMPORAL-SHUFFLED,paired,40x3x512,frozen_original,not_applicable
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_01/inference_outputs.npz,1,20260808,0,RAW,natural,120x3x512,frozen_original,not_applicable
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_01/inference_outputs.npz,1,20260808,0,LINEAR-POP,natural,120x3x512,frozen_original,not_applicable
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_01/inference_outputs.npz,1,20260808,0,DET-POP,natural,120x3x512,frozen_original,not_applicable
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_01/inference_outputs.npz,1,20260808,0,DIFF-POP,natural,120x3x512,frozen_original,not_applicable
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_01/inference_outputs.npz,1,20260808,0,LINEAR-MATCH,natural,120x3x512,frozen_original,not_applicable
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_01/inference_outputs.npz,1,20260808,0,DET-MATCH,natural,120x3x512,frozen_original,not_applicable
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_01/inference_outputs.npz,1,20260808,0,DIFF-MATCH,natural,120x3x512,frozen_original,not_applicable
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_01/inference_outputs.npz,1,20260808,0,LINEAR-WRONG,natural,120x3x512,frozen_original,cyclic_unseen
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_01/inference_outputs.npz,1,20260808,0,DET-WRONG,natural,120x3x512,frozen_original,cyclic_unseen
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_01/inference_outputs.npz,1,20260808,0,DIFF-WRONG,natural,120x3x512,frozen_original,cyclic_unseen
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_01/inference_outputs.npz,1,20260808,0,DIFF-TEMPORAL-SHUFFLED,natural,120x3x512,frozen_original,not_applicable
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_02/inference_outputs.npz,1,20260808,0,RAW,paired,40x3x512,frozen_original,not_applicable
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_02/inference_outputs.npz,1,20260808,0,LINEAR-POP,paired,40x3x512,frozen_original,not_applicable
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_02/inference_outputs.npz,1,20260808,0,DET-POP,paired,40x3x512,frozen_original,not_applicable
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_02/inference_outputs.npz,1,20260808,0,DIFF-POP,paired,40x3x512,frozen_original,not_applicable
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_02/inference_outputs.npz,1,20260808,0,LINEAR-MATCH,paired,40x3x512,frozen_original,not_applicable
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_02/inference_outputs.npz,1,20260808,0,DET-MATCH,paired,40x3x512,frozen_original,not_applicable
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_02/inference_outputs.npz,1,20260808,0,DIFF-MATCH,paired,40x3x512,frozen_original,not_applicable
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_02/inference_outputs.npz,1,20260808,0,LINEAR-WRONG,paired,40x3x512,frozen_original,cyclic_unseen
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_02/inference_outputs.npz,1,20260808,0,DET-WRONG,paired,40x3x512,frozen_original,cyclic_unseen
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_02/inference_outputs.npz,1,20260808,0,DIFF-WRONG,paired,40x3x512,frozen_original,cyclic_unseen
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_02/inference_outputs.npz,1,20260808,0,DIFF-TEMPORAL-SHUFFLED,paired,40x3x512,frozen_original,not_applicable
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_02/inference_outputs.npz,1,20260808,0,RAW,natural,120x3x512,frozen_original,not_applicable
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_02/inference_outputs.npz,1,20260808,0,LINEAR-POP,natural,120x3x512,frozen_original,not_applicable
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_02/inference_outputs.npz,1,20260808,0,DET-POP,natural,120x3x512,frozen_original,not_applicable
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_02/inference_outputs.npz,1,20260808,0,DIFF-POP,natural,120x3x512,frozen_original,not_applicable
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_02/inference_outputs.npz,1,20260808,0,LINEAR-MATCH,natural,120x3x512,frozen_original,not_applicable
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_02/inference_outputs.npz,1,20260808,0,DET-MATCH,natural,120x3x512,frozen_original,not_applicable
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_02/inference_outputs.npz,1,20260808,0,DIFF-MATCH,natural,120x3x512,frozen_original,not_applicable
/home/infres/yinwang/denoiseNet_subject_diffusion_replication/results/cgdr/bci2b_subject_diffusion_replication/seeds/20260808/folds/fold_00/outputs/k8/same_02/inference_outputs.npz,1,20260808,0,LINEAR-WRONG,natural,120x3x512,frozen_original,cyclic_unseen
