contrast,mean,median,participants,positive_count,seed
DET_MATCH_minus_POP,-0.03304275404490274,-0.010908590678516128,15,2,20260824
DET_MATCH_minus_WRONG,0.010829523726025574,0.02737703372014466,15,11,20260824
SCAD_MATCH_minus_POP,-0.18559066655489737,-0.15597205530806368,15,0,20260824
SCAD_MATCH_minus_WRONG,0.04274721946039908,0.07262240404198905,15,11,20260824
SCAD_minus_DET,-0.15254791250999458,-0.12937780341913774,15,0,20260824
DET_MATCH_minus_POP,-0.05004876179806863,-0.011725000537661512,15,2,20260825
DET_MATCH_minus_WRONG,-0.0035480948127911065,0.028516735977803687,15,10,20260825
SCAD_MATCH_minus_POP,-0.21571346518070242,-0.1634176044319522,15,0,20260825
SCAD_MATCH_minus_WRONG,0.015165801364703394,0.09032470080686883,15,11,20260825
SCAD_minus_DET,-0.1656647033826338,-0.151456628458762,15,0,20260825
DET_MATCH_minus_POP,-0.04262611800388187,-0.009533429313828612,15,4,20260826
DET_MATCH_minus_WRONG,0.003154589441496373,0.028768112837382565,15,10,20260826
SCAD_MATCH_minus_POP,-0.20560339042178638,-0.12408741613880042,15,0,20260826
SCAD_MATCH_minus_WRONG,0.007787150347710706,0.08017815735803302,15,10,20260826
SCAD_minus_DET,-0.16297727241790455,-0.11329044295613322,15,0,20260826
