checkpoint,device,fold,model,parameters,seed,training_seconds,updates
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_0/seed_20260824/best_joint.pt,NVIDIA A100-SXM4-40GB,0,anchor,324206,20260824,210.51277446746826,12500
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_0/seed_20260825/best_joint.pt,NVIDIA A100-SXM4-40GB,0,anchor,324206,20260825,283.65910148620605,16750
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_0/seed_20260826/best_joint.pt,NVIDIA A100-PCIE-40GB,0,anchor,324206,20260826,129.89864683151245,6000
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_1/seed_20260824/best_joint.pt,NVIDIA A100-PCIE-40GB,1,anchor,324206,20260824,145.82605910301208,6750
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_1/seed_20260825/best_joint.pt,NVIDIA A100-PCIE-40GB,1,anchor,324206,20260825,263.39563608169556,12000
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_1/seed_20260826/best_joint.pt,NVIDIA A100-PCIE-40GB,1,anchor,324206,20260826,183.99633073806763,8500
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_2/seed_20260824/best_joint.pt,NVIDIA A100-PCIE-40GB,2,anchor,324206,20260824,229.3941490650177,10500
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_2/seed_20260825/best_joint.pt,NVIDIA A100-PCIE-40GB,2,anchor,324206,20260825,128.91648030281067,5750
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_2/seed_20260826/best_joint.pt,NVIDIA L40S,2,anchor,324206,20260826,508.4140045642853,27250
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_3/seed_20260824/best_joint.pt,NVIDIA L40S,3,anchor,324206,20260824,239.98766779899597,12750
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_3/seed_20260825/best_joint.pt,NVIDIA A100-PCIE-40GB,3,anchor,324206,20260825,173.76188969612122,8000
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_3/seed_20260826/best_joint.pt,NVIDIA A100-PCIE-40GB,3,anchor,324206,20260826,253.3585169315338,11500
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_4/seed_20260824/best_joint.pt,NVIDIA L40S,4,anchor,324206,20260824,340.8404860496521,27500
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_4/seed_20260825/best_joint.pt,NVIDIA A100-PCIE-40GB,4,anchor,324206,20260825,302.88012862205505,14000
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_4/seed_20260826/best_joint.pt,NVIDIA A100-PCIE-40GB,4,anchor,324206,20260826,427.6607298851013,19500
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/temporal/fold_0/seed_20260824/best_joint.pt,NVIDIA A100-SXM4-40GB,0,temporal,1304196,20260824,119.65161490440369,5500
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/temporal/fold_0/seed_20260825/best_joint.pt,NVIDIA A100-SXM4-40GB,0,temporal,1304196,20260825,125.194819688797,5250
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/temporal/fold_0/seed_20260826/best_joint.pt,NVIDIA A100-PCIE-40GB,0,temporal,1304196,20260826,219.98438572883606,7250
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/temporal/fold_1/seed_20260824/best_joint.pt,NVIDIA A100-PCIE-40GB,1,temporal,1304196,20260824,150.86321473121643,5000
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/temporal/fold_1/seed_20260825/best_joint.pt,NVIDIA A100-PCIE-40GB,1,temporal,1304196,20260825,153.24984645843506,5000
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/temporal/fold_1/seed_20260826/best_joint.pt,NVIDIA A100-PCIE-40GB,1,temporal,1304196,20260826,173.06777358055115,5750
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/temporal/fold_2/seed_20260824/best_joint.pt,NVIDIA A100-PCIE-40GB,2,temporal,1304196,20260824,266.52701020240784,8750
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/temporal/fold_2/seed_20260825/best_joint.pt,NVIDIA A100-PCIE-40GB,2,temporal,1304196,20260825,701.0963275432587,23000
