contrast,effect_positive_is_better,metric,panel,participant
DET_MATCH_minus_WRONG,-0.02396219330174576,heldout_eog_remaining_ratio,natural,sub-02
DET_MATCH_minus_WRONG,0.1382053164359467,heldout_eog_remaining_ratio,natural,sub-03
DET_MATCH_minus_WRONG,0.17101346203033496,heldout_eog_remaining_ratio,natural,sub-05
DET_MATCH_minus_WRONG,0.10913553143734545,heldout_eog_remaining_ratio,natural,sub-06
DET_MATCH_minus_WRONG,0.15055464422035691,heldout_eog_remaining_ratio,natural,sub-07
DET_MATCH_minus_WRONG,-0.0021395133742201367,heldout_eog_remaining_ratio,natural,sub-09
DET_MATCH_minus_WRONG,0.08669983333832487,heldout_eog_remaining_ratio,natural,sub-11
DET_MATCH_minus_WRONG,0.07175257407276825,heldout_eog_remaining_ratio,natural,sub-12
DET_MATCH_minus_WRONG,0.13460638275122605,heldout_eog_remaining_ratio,natural,sub-14
DET_MATCH_minus_WRONG,-0.003217551647088257,heldout_eog_remaining_ratio,natural,sub-15
DET_MATCH_minus_WRONG,0.07261306714158211,heldout_eog_remaining_ratio,natural,sub-17
DET_MATCH_minus_WRONG,0.0493166392145592,heldout_eog_remaining_ratio,natural,sub-18
DET_MATCH_minus_WRONG,-0.012134196718780466,heldout_eog_remaining_ratio,natural,sub-19
DET_MATCH_minus_WRONG,0.07785264603351338,heldout_eog_remaining_ratio,natural,sub-21
DET_MATCH_minus_WRONG,0.1168784034252166,heldout_eog_remaining_ratio,natural,sub-23
SCAD_MATCH_minus_POP,-0.3319663569911735,heldout_eog_remaining_ratio,natural,sub-02
SCAD_MATCH_minus_POP,-0.17319711534369975,heldout_eog_remaining_ratio,natural,sub-03
SCAD_MATCH_minus_POP,-0.0877332455143498,heldout_eog_remaining_ratio,natural,sub-05
SCAD_MATCH_minus_POP,-0.004346346184288752,heldout_eog_remaining_ratio,natural,sub-06
SCAD_MATCH_minus_POP,-0.30528494737444123,heldout_eog_remaining_ratio,natural,sub-07
SCAD_MATCH_minus_POP,-0.39898826086774775,heldout_eog_remaining_ratio,natural,sub-09
SCAD_MATCH_minus_POP,-1.0839871795059326,heldout_eog_remaining_ratio,natural,sub-11
SCAD_MATCH_minus_POP,-0.7492734979648991,heldout_eog_remaining_ratio,natural,sub-12
SCAD_MATCH_minus_POP,-0.36900845319406117,heldout_eog_remaining_ratio,natural,sub-14
SCAD_MATCH_minus_POP,-0.21133302557162748,heldout_eog_remaining_ratio,natural,sub-15
SCAD_MATCH_minus_POP,-0.2150876602070445,heldout_eog_remaining_ratio,natural,sub-17
SCAD_MATCH_minus_POP,-0.18124143496837486,heldout_eog_remaining_ratio,natural,sub-18
SCAD_MATCH_minus_POP,-0.10053629374158568,heldout_eog_remaining_ratio,natural,sub-19
SCAD_MATCH_minus_POP,0.003370314020000098,heldout_eog_remaining_ratio,natural,sub-21
SCAD_MATCH_minus_POP,-1.399656818230947,heldout_eog_remaining_ratio,natural,sub-23
SCAD_MATCH_minus_WRONG,-0.05739338360565571,heldout_eog_remaining_ratio,natural,sub-02
SCAD_MATCH_minus_WRONG,0.4826364269250335,heldout_eog_remaining_ratio,natural,sub-03
SCAD_MATCH_minus_WRONG,0.4392530105629765,heldout_eog_remaining_ratio,natural,sub-05
SCAD_MATCH_minus_WRONG,0.20381171562712952,heldout_eog_remaining_ratio,natural,sub-06
SCAD_MATCH_minus_WRONG,0.4852536851472229,heldout_eog_remaining_ratio,natural,sub-07
