best_criterion,config,fold,model,path,seed,sha256,training_job
best_joint.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/population_anchor.yaml,0,anchor,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_0/seed_20260824/best_joint.pt,20260824,304bb27a4a336df20511376a1fba2614aaec907f1e9dbfbe7541671654b55342,see reports/slurm/v24_job_ids.txt
best_joint.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/population_anchor.yaml,0,anchor,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_0/seed_20260825/best_joint.pt,20260825,45ee49596608b22e9bd390261555cb5a3d103a04e14b233a9773612b865f1f68,see reports/slurm/v24_job_ids.txt
best_joint.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/population_anchor.yaml,0,anchor,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_0/seed_20260826/best_joint.pt,20260826,2f1b75528314edc5784482f19982e8f6a47c14e8c866cb1810891e783251dfcb,see reports/slurm/v24_job_ids.txt
best_joint.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/population_anchor.yaml,1,anchor,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_1/seed_20260824/best_joint.pt,20260824,6c6290267d0ab718c3ac907c4835a48a24926590d6ac74ed5761f67aa9c5bfbc,see reports/slurm/v24_job_ids.txt
best_joint.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/population_anchor.yaml,1,anchor,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_1/seed_20260825/best_joint.pt,20260825,da97bb1e5a45cc878737df9e569ed0b744d4b7dc8043d406ca19df65709f0250,see reports/slurm/v24_job_ids.txt
best_joint.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/population_anchor.yaml,1,anchor,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_1/seed_20260826/best_joint.pt,20260826,6296e1355df0b811f4d6d430dc3d811b4cd7fe34befd8ae6022824232d75494a,see reports/slurm/v24_job_ids.txt
best_joint.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/population_anchor.yaml,2,anchor,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_2/seed_20260824/best_joint.pt,20260824,dfbcea37c0958c841197812b0b474e621466ed3c67d3e7b6b5f85afefa8ff192,see reports/slurm/v24_job_ids.txt
best_joint.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/population_anchor.yaml,2,anchor,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_2/seed_20260825/best_joint.pt,20260825,6fa972ca8f2f013ff283a1d6a4979f46a791dc9edd03438adde0b825d5aed40d,see reports/slurm/v24_job_ids.txt
best_joint.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/population_anchor.yaml,2,anchor,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_2/seed_20260826/best_joint.pt,20260826,4672e13b1d6e1fbf8100606c758f72bb9ea46a5421f9e1e5e55dfe900907b9ea,see reports/slurm/v24_job_ids.txt
best_joint.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/population_anchor.yaml,3,anchor,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_3/seed_20260824/best_joint.pt,20260824,b831fa017c577070cd8b7e3070c4f61236117fe8747435f3613f59d6b3b8560c,see reports/slurm/v24_job_ids.txt
best_joint.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/population_anchor.yaml,3,anchor,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_3/seed_20260825/best_joint.pt,20260825,717a8d3a1fe8a05d5f95afaee8edc61dabf171454a4545b7cb1376a2327df336,see reports/slurm/v24_job_ids.txt
best_joint.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/population_anchor.yaml,3,anchor,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_3/seed_20260826/best_joint.pt,20260826,da4e222deef3c5923db8ad06b4c2ac03e2478d38528249dcd70a82de5c578df1,see reports/slurm/v24_job_ids.txt
