frequency_hz,mean_power,method
0.0,0.4855113923549652,TRUE_EOG
0.78125,2.7336652278900146,TRUE_EOG
1.5625,2.3701138496398926,TRUE_EOG
2.34375,1.7167205810546875,TRUE_EOG
3.125,0.4894827604293823,TRUE_EOG
3.90625,0.2116890400648117,TRUE_EOG
4.6875,0.12782913446426392,TRUE_EOG
5.46875,0.10251542925834656,TRUE_EOG
6.25,0.09294680505990982,TRUE_EOG
7.03125,0.05125267058610916,TRUE_EOG
7.8125,0.042868755757808685,TRUE_EOG
8.59375,0.04684830829501152,TRUE_EOG
9.375,0.052220433950424194,TRUE_EOG
10.15625,0.04250847175717354,TRUE_EOG
10.9375,0.02295805886387825,TRUE_EOG
11.71875,0.015374468639492989,TRUE_EOG
12.5,0.011748423799872398,TRUE_EOG
13.28125,0.008519627153873444,TRUE_EOG
14.0625,0.006882215850055218,TRUE_EOG
14.84375,0.004528535529971123,TRUE_EOG
15.625,0.0024538589641451836,TRUE_EOG
16.40625,0.0017934708157554269,TRUE_EOG
17.1875,0.0009647389524616301,TRUE_EOG
17.96875,0.0004909306881017983,TRUE_EOG
18.75,0.0002057959936792031,TRUE_EOG
19.53125,8.099762635538355e-05,TRUE_EOG
20.3125,4.99680609209463e-05,TRUE_EOG
21.09375,3.959603782277554e-05,TRUE_EOG
21.875,1.7909382222569548e-05,TRUE_EOG
22.65625,1.1571736649784725e-05,TRUE_EOG
23.4375,5.337563379725907e-06,TRUE_EOG
24.21875,2.3518482521467377e-06,TRUE_EOG
25.0,1.1904699022124987e-06,TRUE_EOG
25.78125,7.865743896218191e-07,TRUE_EOG
26.5625,3.7942697872495046e-07,TRUE_EOG
27.34375,2.5232583311662893e-07,TRUE_EOG
28.125,1.1960781876041437e-07,TRUE_EOG
28.90625,6.94545292390103e-08,TRUE_EOG
29.6875,4.701012557006834e-08,TRUE_EOG
30.46875,3.849396890132084e-08,TRUE_EOG
31.25,2.2051477088780302e-08,TRUE_EOG
32.03125,1.284771045106936e-08,TRUE_EOG
32.8125,9.559544267290221e-09,TRUE_EOG
33.59375,6.286785314557619e-09,TRUE_EOG
34.375,3.749360821814207e-09,TRUE_EOG
35.15625,2.5114712531859595e-09,TRUE_EOG
35.9375,1.5952433818355871e-09,TRUE_EOG
36.71875,1.4622159039134885e-09,TRUE_EOG
37.5,7.410998481560682e-10,TRUE_EOG
38.28125,5.042045669867434e-10,TRUE_EOG
39.0625,3.753807265027831e-10,TRUE_EOG
39.84375,2.941736576556053e-10,TRUE_EOG
40.625,2.1322073273655207e-10,TRUE_EOG
41.40625,1.6511270128916067e-10,TRUE_EOG
42.1875,9.853667881642991e-11,TRUE_EOG
42.96875,6.4209165762108e-11,TRUE_EOG
43.75,6.847293565481749e-11,TRUE_EOG
44.53125,5.073988798565132e-11,TRUE_EOG
45.3125,2.89804447800579e-11,TRUE_EOG
46.09375,2.1898170776690762e-11,TRUE_EOG
46.875,1.576087350907418e-11,TRUE_EOG
47.65625,1.1809506497706401e-11,TRUE_EOG
48.4375,8.642531135194531e-12,TRUE_EOG
49.21875,7.0171928163997865e-12,TRUE_EOG
50.0,3.770537701508481e-12,TRUE_EOG
0.0,0.04172626510262489,DET_EOG
0.78125,0.20873455703258514,DET_EOG
1.5625,0.1277528703212738,DET_EOG
2.34375,0.05481266602873802,DET_EOG
3.125,0.02152177505195141,DET_EOG
3.90625,0.009354817681014538,DET_EOG
4.6875,0.007064301986247301,DET_EOG
5.46875,0.004894861485809088,DET_EOG
6.25,0.003290321910753846,DET_EOG
7.03125,0.0034335001837462187,DET_EOG
7.8125,0.0027968361973762512,DET_EOG
8.59375,0.0020870110020041466,DET_EOG
9.375,0.001729622483253479,DET_EOG
10.15625,0.0014042705297470093,DET_EOG
10.9375,0.0012013086816295981,DET_EOG
11.71875,0.0009168612887151539,DET_EOG
12.5,0.0005340479547157884,DET_EOG
13.28125,0.00037261395482346416,DET_EOG
14.0625,0.00035289538209326565,DET_EOG
14.84375,0.0002618535654619336,DET_EOG
15.625,0.00015801416884642094,DET_EOG
16.40625,6.783789285691455e-05,DET_EOG
17.1875,4.3926080252276734e-05,DET_EOG
17.96875,3.780025144806132e-05,DET_EOG
18.75,2.866912655008491e-05,DET_EOG
19.53125,2.0723558918689378e-05,DET_EOG
20.3125,1.5027832887426484e-05,DET_EOG
21.09375,1.275790600629989e-05,DET_EOG
21.875,9.468686585023534e-06,DET_EOG
22.65625,8.737624739296734e-06,DET_EOG
23.4375,6.238058631424792e-06,DET_EOG
24.21875,4.187804734101519e-06,DET_EOG
25.0,3.1780675726622576e-06,DET_EOG
25.78125,2.7502162538439734e-06,DET_EOG
26.5625,2.7134656193084083e-06,DET_EOG
27.34375,2.801177970468416e-06,DET_EOG
28.125,2.900657136706286e-06,DET_EOG
28.90625,3.535354153427761e-06,DET_EOG
29.6875,5.691964815923711e-06,DET_EOG
30.46875,6.974957159400219e-06,DET_EOG
31.25,7.190984433691483e-06,DET_EOG
32.03125,8.676274774188641e-06,DET_EOG
32.8125,9.151282938546501e-06,DET_EOG
33.59375,1.1767850992328022e-05,DET_EOG
34.375,2.5382154490216635e-05,DET_EOG
35.15625,3.758947059395723e-05,DET_EOG
35.9375,3.512199691613205e-05,DET_EOG
36.71875,2.7668802431435324e-05,DET_EOG
37.5,3.777532765525393e-05,DET_EOG
38.28125,5.273926944937557e-05,DET_EOG
39.0625,4.4819971662946045e-05,DET_EOG
39.84375,3.054482294828631e-05,DET_EOG
40.625,3.209460555808619e-05,DET_EOG
41.40625,4.01967263314873e-05,DET_EOG
42.1875,5.365048491512425e-05,DET_EOG
42.96875,3.880716394633055e-05,DET_EOG
43.75,3.0114786568447016e-05,DET_EOG
44.53125,4.754945257445797e-05,DET_EOG
45.3125,5.434108607005328e-05,DET_EOG
46.09375,4.476948015508242e-05,DET_EOG
46.875,6.700098310830072e-05,DET_EOG
47.65625,0.00019134873582515866,DET_EOG
48.4375,0.0003292997134849429,DET_EOG
49.21875,0.00043350167106837034,DET_EOG
50.0,0.0001814934948924929,DET_EOG
0.0,0.25652024149894714,SCAD_EOG
0.78125,1.3416742086410522,SCAD_EOG
1.5625,0.9701185822486877,SCAD_EOG
2.34375,0.4740694463253021,SCAD_EOG
