fold,method,participant,relative_artifact_error,sample,session,task
0,POP_EOG,sub-02,0.6108627389802402,0,ses-04,ERP
0,MATCH_EOG,sub-02,0.4939325931795682,0,ses-04,ERP
0,WRONG_EOG,sub-02,1.0904322167815557,0,ses-04,ERP
0,QUERY_EOG,sub-02,6.991421389243266e-08,0,ses-04,ERP
0,POP_EOG,sub-05,0.6664486748673637,1,ses-03,SSVEP
0,MATCH_EOG,sub-05,0.31307273451218254,1,ses-03,SSVEP
0,WRONG_EOG,sub-05,31.169925200205046,1,ses-03,SSVEP
0,QUERY_EOG,sub-05,4.233082416250791e-08,1,ses-03,SSVEP
0,POP_EOG,sub-03,0.6733277624968433,2,ses-03,ERP
0,MATCH_EOG,sub-03,0.21042614343421062,2,ses-03,ERP
0,WRONG_EOG,sub-03,0.7701943527374672,2,ses-03,ERP
0,QUERY_EOG,sub-03,4.297445118299495e-08,2,ses-03,ERP
0,POP_EOG,sub-03,0.5395352466823599,3,ses-03,ERP
0,MATCH_EOG,sub-03,0.19684343830750642,3,ses-03,ERP
0,WRONG_EOG,sub-03,1.2709803901769825,3,ses-03,ERP
0,QUERY_EOG,sub-03,4.2101643787699484e-08,3,ses-03,ERP
0,POP_EOG,sub-03,0.5226484347993734,4,ses-02,SSVEP
0,MATCH_EOG,sub-03,0.11691004575704686,4,ses-02,SSVEP
0,WRONG_EOG,sub-03,0.8883857341777709,4,ses-02,SSVEP
0,QUERY_EOG,sub-03,4.3936784249831675e-08,4,ses-02,SSVEP
0,POP_EOG,sub-02,0.8984657132878664,5,ses-04,ERP
0,MATCH_EOG,sub-02,0.3313752587957476,5,ses-04,ERP
0,WRONG_EOG,sub-02,0.9649715956763902,5,ses-04,ERP
0,QUERY_EOG,sub-02,4.765886507726185e-08,5,ses-04,ERP
0,POP_EOG,sub-03,0.6706808790122109,6,ses-03,SSVEP
0,MATCH_EOG,sub-03,0.28296085634119106,6,ses-03,SSVEP
0,WRONG_EOG,sub-03,1.5825021207403345,6,ses-03,SSVEP
