bootstrap_replicates,ci95_high,ci95_low,dataset,estimand,mean,median,n,positive_count,route,screening_scope
20000,0.16171421946599757,0.08224982749114855,klados,DET_subject_DET_MATCH_minus_DET_POP,0.12145350273451916,0.1395055579220466,16,15,P_A_RAW_SUPPORT_TOKENS,descriptive_one_seed_development
20000,-0.021627497088627035,-0.06831313296863008,klados,H_D_DIFF_MATCH_minus_DET_MATCH,-0.04407940048752318,-0.03867903629555178,16,4,P_A_RAW_SUPPORT_TOKENS,descriptive_one_seed_development
20000,0.14046875784122823,0.08474352968599946,klados,H_S1_DIFF_MATCH_minus_DIFF_POP,0.11407395061615119,0.1297086317579123,16,15,P_A_RAW_SUPPORT_TOKENS,descriptive_one_seed_development
20000,0.059423440265777006,0.020930543266094944,klados,H_S2_DIFF_MATCH_minus_mean_WRONG,0.038816671379032316,0.03668662585163979,16,14,P_A_RAW_SUPPORT_TOKENS,descriptive_one_seed_development
20000,0.02209857410198671,-0.038417856141961026,klados,INTERACTION_subject_diffusion_minus_deterministic,-0.007379552118367957,0.011852733047295061,16,9,P_A_RAW_SUPPORT_TOKENS,descriptive_one_seed_development
20000,0.0081384243082201,-0.004037610841579419,sgeyesub,DET_subject_DET_MATCH_minus_DET_POP,0.0021930974399307114,-8.73981799938417e-05,58,29,P_A_RAW_SUPPORT_TOKENS,descriptive_one_seed_development
20000,-0.01426745904182083,-0.05168891969258201,sgeyesub,H_D_DIFF_MATCH_minus_DET_MATCH,-0.031847708151079145,-0.013660547874823487,58,16,P_A_RAW_SUPPORT_TOKENS,descriptive_one_seed_development
20000,0.005367476247999603,-0.008000790585285175,sgeyesub,H_S1_DIFF_MATCH_minus_DIFF_POP,-0.0013312849974275703,0.00031709021919326674,58,30,P_A_RAW_SUPPORT_TOKENS,descriptive_one_seed_development
20000,0.004467149719506998,-0.005079801185063633,sgeyesub,H_S2_DIFF_MATCH_minus_mean_WRONG,-0.00013853795462869087,0.0009189841617533584,58,32,P_A_RAW_SUPPORT_TOKENS,descriptive_one_seed_development
20000,0.005300589308378944,-0.012572671131689183,sgeyesub,INTERACTION_subject_diffusion_minus_deterministic,-0.0035243824373582815,-0.0019236602630080535,58,28,P_A_RAW_SUPPORT_TOKENS,descriptive_one_seed_development
20000,0.003701039858406951,-0.008667133686478085,klados,DET_subject_DET_MATCH_minus_DET_POP,-0.0026782322972619885,-0.0018261412398623555,16,6,P_B_DIRECT_SUPPORT_ADAPTER,descriptive_one_seed_development
20000,0.008622156761741533,-0.0463038407895313,klados,H_D_DIFF_MATCH_minus_DET_MATCH,-0.017914787137645743,-0.004009737254723381,16,8,P_B_DIRECT_SUPPORT_ADAPTER,descriptive_one_seed_development
20000,0.008064478302975568,-0.003606457695253602,klados,H_S1_DIFF_MATCH_minus_DIFF_POP,0.002209161734957988,0.00021585880719265926,16,8,P_B_DIRECT_SUPPORT_ADAPTER,descriptive_one_seed_development
20000,0.004830792624050116,-0.0028237593798970152,klados,H_S2_DIFF_MATCH_minus_mean_WRONG,0.0007988611737189052,-0.0014430370361125933,16,6,P_B_DIRECT_SUPPORT_ADAPTER,descriptive_one_seed_development
20000,0.012947077953643627,-0.0031911025558819094,klados,INTERACTION_subject_diffusion_minus_deterministic,0.0048873940322199765,0.007361189328988049,16,9,P_B_DIRECT_SUPPORT_ADAPTER,descriptive_one_seed_development
20000,0.00789720212149435,0.0016577445921590176,sgeyesub,DET_subject_DET_MATCH_minus_DET_POP,0.004748045375497789,0.0,58,28,P_B_DIRECT_SUPPORT_ADAPTER,descriptive_one_seed_development
20000,-0.016193567230257996,-0.05259963180679798,sgeyesub,H_D_DIFF_MATCH_minus_DET_MATCH,-0.03383523238238664,-0.02070215705883474,58,19,P_B_DIRECT_SUPPORT_ADAPTER,descriptive_one_seed_development
20000,0.001978935868304071,-0.001962935884573304,sgeyesub,H_S1_DIFF_MATCH_minus_DIFF_POP,-0.00010710404952455602,0.0,58,21,P_B_DIRECT_SUPPORT_ADAPTER,descriptive_one_seed_development
20000,0.0012482389649179793,-0.0025694951674432157,sgeyesub,H_S2_DIFF_MATCH_minus_mean_WRONG,-0.0007743326375933018,-0.0014337356306818039,58,20,P_B_DIRECT_SUPPORT_ADAPTER,descriptive_one_seed_development
20000,-0.0019178561939634682,-0.0077491435413229205,sgeyesub,INTERACTION_subject_diffusion_minus_deterministic,-0.004855149425022346,-0.0018349923880228158,58,21,P_B_DIRECT_SUPPORT_ADAPTER,descriptive_one_seed_development
20000,0.08989710880635428,-0.07325142059341111,klados,DET_subject_DET_MATCH_minus_DET_POP,0.0013103156445903597,-0.04020139943585688,16,5,P_D_SUPPORT_STAT_CONTROL,descriptive_one_seed_development
20000,0.062237943890326324,0.01081271457373002,klados,H_D_DIFF_MATCH_minus_DET_MATCH,0.03683871797063836,0.03220753635026022,16,12,P_D_SUPPORT_STAT_CONTROL,descriptive_one_seed_development
20000,0.11381035487256626,-0.0175357435211043,klados,H_S1_DIFF_MATCH_minus_DIFF_POP,0.045052612540530765,0.039557818727263216,16,10,P_D_SUPPORT_STAT_CONTROL,descriptive_one_seed_development
20000,-0.05078917697389292,-0.19217787382633017,klados,H_S2_DIFF_MATCH_minus_mean_WRONG,-0.12370967205612339,-0.13595454314383792,16,3,P_D_SUPPORT_STAT_CONTROL,descriptive_one_seed_development
20000,0.07149932561520085,0.014982931417011335,klados,INTERACTION_subject_diffusion_minus_deterministic,0.043742296895940405,0.048695441850485854,16,13,P_D_SUPPORT_STAT_CONTROL,descriptive_one_seed_development
20000,0.02254337591067441,-0.03361686458743622,sgeyesub,DET_subject_DET_MATCH_minus_DET_POP,-0.005537881033096884,-0.007326538289281814,58,29,P_D_SUPPORT_STAT_CONTROL,descriptive_one_seed_development
20000,0.07620939552850975,0.030176668672549364,sgeyesub,H_D_DIFF_MATCH_minus_DET_MATCH,0.053706060818888644,0.0026506040339993597,58,31,P_D_SUPPORT_STAT_CONTROL,descriptive_one_seed_development
20000,0.012550499018432727,-0.04438554768614492,sgeyesub,H_S1_DIFF_MATCH_minus_DIFF_POP,-0.01639739336118962,-0.01754295223772956,58,27,P_D_SUPPORT_STAT_CONTROL,descriptive_one_seed_development
20000,0.0035463325753917,-0.04132677149304217,sgeyesub,H_S2_DIFF_MATCH_minus_mean_WRONG,-0.018625434333297396,-0.02166625910344447,58,21,P_D_SUPPORT_STAT_CONTROL,descriptive_one_seed_development
20000,0.014581272409027426,-0.03633834798554543,sgeyesub,INTERACTION_subject_diffusion_minus_deterministic,-0.01085951232809274,-0.003893082845864662,58,26,P_D_SUPPORT_STAT_CONTROL,descriptive_one_seed_development
