dataset,estimand,exact_cell,metric,route,unit_id,utility_effect
klados,H_D_DIFF_MATCH_minus_DET_MATCH,19ch_native_linked_mastoid_256hz,clean_waveform_RRMSE,P_A_RAW_SUPPORT_TOKENS,sim37,-0.00945643031655985
klados,H_S1_DIFF_MATCH_minus_DIFF_POP,19ch_native_linked_mastoid_256hz,clean_waveform_RRMSE,P_A_RAW_SUPPORT_TOKENS,sim37,0.14523488547109503
klados,H_S2_DIFF_MATCH_minus_mean_WRONG,19ch_native_linked_mastoid_256hz,clean_waveform_RRMSE,P_A_RAW_SUPPORT_TOKENS,sim37,0.024948028295502023
klados,DET_subject_DET_MATCH_minus_DET_POP,19ch_native_linked_mastoid_256hz,clean_waveform_RRMSE,P_A_RAW_SUPPORT_TOKENS,sim37,0.1338334962846522
klados,INTERACTION_subject_diffusion_minus_deterministic,19ch_native_linked_mastoid_256hz,clean_waveform_RRMSE,P_A_RAW_SUPPORT_TOKENS,sim37,0.011401389186442845
klados,H_D_DIFF_MATCH_minus_DET_MATCH,19ch_native_linked_mastoid_256hz,clean_waveform_RRMSE,P_A_RAW_SUPPORT_TOKENS,sim38,-0.015363868471267805
klados,H_S1_DIFF_MATCH_minus_DIFF_POP,19ch_native_linked_mastoid_256hz,clean_waveform_RRMSE,P_A_RAW_SUPPORT_TOKENS,sim38,0.14526024072648147
klados,H_S2_DIFF_MATCH_minus_mean_WRONG,19ch_native_linked_mastoid_256hz,clean_waveform_RRMSE,P_A_RAW_SUPPORT_TOKENS,sim38,0.05775730787548872
klados,DET_subject_DET_MATCH_minus_DET_POP,19ch_native_linked_mastoid_256hz,clean_waveform_RRMSE,P_A_RAW_SUPPORT_TOKENS,sim38,0.18453787093145052
klados,INTERACTION_subject_diffusion_minus_deterministic,19ch_native_linked_mastoid_256hz,clean_waveform_RRMSE,P_A_RAW_SUPPORT_TOKENS,sim38,-0.03927763020496905
klados,H_D_DIFF_MATCH_minus_DET_MATCH,19ch_native_linked_mastoid_256hz,clean_waveform_RRMSE,P_A_RAW_SUPPORT_TOKENS,sim39,0.0031229778513882644
klados,H_S1_DIFF_MATCH_minus_DIFF_POP,19ch_native_linked_mastoid_256hz,clean_waveform_RRMSE,P_A_RAW_SUPPORT_TOKENS,sim39,0.13337013242469864
klados,H_S2_DIFF_MATCH_minus_mean_WRONG,19ch_native_linked_mastoid_256hz,clean_waveform_RRMSE,P_A_RAW_SUPPORT_TOKENS,sim39,0.04640816480595117
