batch_size,fold,median_ms,method,p95_ms,parameters,peak_gpu_memory_bytes,seed
1,0,0.1965455012395978,one_step,0.22472294513136148,133248,24220672,20260920
64,0,0.20503345876932144,one_step,0.24492609081789848,133248,24447488,20260920
1,0,9.303959901444614,SANDiff,9.446795261465013,508384,24223232,20260920
64,0,9.636742528527975,SANDiff,9.807184571400285,508384,24578560,20260920
1,0,0.19993243040516973,one_step,0.23274225532077253,133248,24220672,20260921
64,0,0.2084875595755875,one_step,0.23463949328288436,133248,24447488,20260921
1,0,9.145708521828055,SANDiff,9.29120218497701,508384,24223232,20260921
64,0,9.411952458322048,SANDiff,9.793907147832215,508384,24578560,20260921
1,1,0.19604450790211558,one_step,0.22696146625094116,133248,24220672,20260920
64,1,0.19746297039091587,one_step,0.23291953839361668,133248,24447488,20260920
1,1,9.26789897494018,SANDiff,9.413495671469718,508384,24223232,20260920
64,1,9.706787532195449,SANDiff,10.049035568954423,508384,24578560,20260920
1,1,0.20777400641236454,one_step,0.2384836843702942,133248,24220672,20260921
64,1,0.21710249711759388,one_step,0.24740781518630683,133248,24447488,20260921
1,1,9.955103014362976,SANDiff,10.03406948002521,508384,24223232,20260921
64,1,10.416754492325708,SANDiff,10.479355946881697,508384,24578560,20260921
1,2,0.2096574753522873,one_step,0.23919696104712784,133248,24220672,20260920
64,2,0.21669553825631738,one_step,0.24898616829887033,133248,24447488,20260920
1,2,10.009830526541919,SANDiff,10.072995477821678,508384,24223232,20260920
64,2,10.444485465995967,SANDiff,10.537521226797253,508384,24578560,20260920
1,2,0.19322748994454741,one_step,0.22056977613829076,133248,24220672,20260921
64,2,0.17882650718092918,one_step,0.20892451866529882,133248,24447488,20260921
1,2,7.750093995127827,SANDiff,7.845375838223845,508384,24223232,20260921
64,2,8.586517011281103,SANDiff,8.771343633998185,508384,24578560,20260921
