method,strength,seed,fixed_head_balanced_accuracy,retrained_head_balanced_accuracy,calibration_error,worst_participant_accuracy,between_participant_variance,linear_subject_probe_balanced_accuracy,adaptive_subject_attack_balanced_accuracy,cross_session_verification_balanced_accuracy,cross_session_same_different_auroc
RAW,na,20260920,0.3726851851851852,0.36921296296296297,0.2420842793804628,0.27546296296296297,0.008559992283950617,0.7596450617283951,0.738425925925926,0.6581790123456791,0.634016794870797
LEACE,na,20260920,0.3645833333333333,0.3587962962962963,0.25129490595218945,0.2951388888888889,0.0045371977880658415,0.6859567901234568,0.672067901234568,0.5324074074074073,0.5702070090943977
DANN,medium,20260920,0.3630401234567901,0.36419753086419754,0.4465736541552124,0.2974537037037037,0.004570687585733882,0.7199074074074074,0.6597222222222222,0.5578703703703703,0.6033623794863782
one_step,weak,20260920,0.37152777777777785,0.37345679012345684,0.2697032989681135,0.2939814814814815,0.005361046810699588,0.7604166666666666,0.7183641975308642,0.6095679012345679,0.6132082108318754
one_step,medium,20260920,0.37384259259259256,0.37191358024691357,0.302076148674076,0.3055555555555556,0.004435388803155007,0.7372685185185185,0.6832561728395062,0.5671296296296295,0.5907831503188891
one_step,strong,20260920,0.3699845679012346,0.3699845679012346,0.3297129293075866,0.3171296296296296,0.0029203103566529504,0.6929012345679012,0.6639660493827161,0.5308641975308642,0.5743965034749228
SANDiff,weak,20260920,0.36612654320987653,0.36921296296296297,0.31710193933988057,0.2997685185185185,0.005178862311385458,0.7438271604938271,0.7044753086419752,0.6126543209876543,0.615640474330343
SANDiff,medium,20260920,0.36419753086419754,0.3661265432098766,0.37570345110869335,0.3043981481481482,0.004025473679698216,0.7156635802469135,0.6840277777777777,0.5679012345679012,0.5913166180541282
SANDiff,strong,20260920,0.3607253086419753,0.3638117283950617,0.42048833030563454,0.30671296296296297,0.003393186299725654,0.6956018518518517,0.6585648148148148,0.5308641975308641,0.5705162079609516
SANDiff_single_checkpoint,strong,20260920,0.36728395061728397,0.365354938271605,0.33597053037841373,0.3009259259259259,0.003998681841563788,0.6890432098765432,0.6801697530864198,0.5524691358024691,0.5766829041283953
RAW,na,20260921,0.3445216049382716,0.339891975308642,0.3510330091518017,0.2476851851851852,0.009043584962277092,0.7237654320987654,0.7438271604938271,0.6493055555555556,0.62759414921547
LEACE,na,20260921,0.3464506172839506,0.34066358024691357,0.3463075089233893,0.2604166666666667,0.007669163665980795,0.6520061728395062,0.6446759259259259,0.5470679012345678,0.5856206937568257
DANN,medium,20260921,0.3306327160493827,0.32716049382716045,0.5525787810645537,0.25810185185185186,0.005929033779149519,0.7349537037037037,0.6693672839506174,0.5401234567901234,0.6018523892396139
one_step,weak,20260921,0.34722222222222215,0.341820987654321,0.3675446135601328,0.2673611111111111,0.008016117969821672,0.7241512345679012,0.7214506172839505,0.6222993827160495,0.6129275936663482
one_step,medium,20260921,0.34567901234567905,0.3425925925925926,0.3942514052269635,0.2638888888888889,0.008405939214677638,0.7118055555555557,0.6867283950617283,0.5852623456790124,0.5997846228764286
one_step,strong,20260921,0.33757716049382713,0.33989197530864196,0.42791559404613055,0.2673611111111111,0.006494341563786009,0.6520061728395061,0.6520061728395062,0.558641975308642,0.5920447516397577
SANDiff,weak,20260921,0.35185185185185186,0.33989197530864196,0.3972567992261899,0.2650462962962963,0.008499710648148147,0.7044753086419754,0.6975308641975309,0.6230709876543209,0.6119612136339012
SANDiff,medium,20260921,0.3510802469135803,0.3410493827160494,0.4484744726645726,0.26967592592592593,0.007503054269547321,0.6724537037037037,0.6643518518518517,0.5841049382716049,0.5943149090786585
SANDiff,strong,20260921,0.34490740740740744,0.34336419753086417,0.4921630583703518,0.27199074074074076,0.006614904835390944,0.6577932098765432,0.6639660493827161,0.556712962962963,0.5796719608709365
SANDiff_single_checkpoint,strong,20260921,0.3371913580246914,0.3371913580246913,0.48434062429738267,0.26157407407407407,0.006513095850480107,0.6635802469135803,0.6450617283950617,0.5671296296296297,0.579475233770414
