method,strength,folds,seeds,fixed_head_balanced_accuracy,retrained_head_balanced_accuracy,calibration_error,worst_participant_accuracy,between_participant_variance,linear_subject_probe_balanced_accuracy,adaptive_subject_attack_balanced_accuracy,cross_session_verification_balanced_accuracy,cross_session_same_different_auroc
RAW,na,3,2,0.3586033950617284,0.35455246913580246,0.29655864426613227,0.2615740740740741,0.008801788623113855,0.7417052469135803,0.7411265432098766,0.6537422839506174,0.6308054720431334
LEACE,na,3,2,0.355516975308642,0.349729938271605,0.2988012074377894,0.27777777777777773,0.006103180727023319,0.6689814814814815,0.6583719135802469,0.5397376543209876,0.5779138514256118
DANN,medium,3,2,0.34683641975308643,0.345679012345679,0.4995762176098831,0.2777777777777778,0.0052498606824417,0.7274305555555555,0.6645447530864197,0.5489969135802469,0.602607384362996
one_step,weak,3,2,0.359375,0.3576388888888889,0.31862395626412315,0.28067129629629634,0.006688582390260629,0.742283950617284,0.7199074074074074,0.6159336419753086,0.6130679022491118
one_step,medium,3,2,0.35976080246913583,0.357253086419753,0.34816377695051975,0.28472222222222227,0.006420664008916322,0.7245370370370371,0.6849922839506174,0.576195987654321,0.5952838865976589
one_step,strong,3,2,0.35378086419753085,0.3549382716049383,0.3788142616768586,0.29224537037037035,0.0047073259602194795,0.6724537037037037,0.657986111111111,0.5447530864197531,0.5832206275573403
SANDiff,weak,3,2,0.35898919753086417,0.35455246913580246,0.35717936928303523,0.28240740740740744,0.006839286479766803,0.7241512345679012,0.7010030864197531,0.6178626543209876,0.6138008439821221
SANDiff,medium,3,2,0.3576388888888889,0.35358796296296297,0.41208896188663297,0.28703703703703703,0.005764263974622769,0.6940586419753086,0.6741898148148148,0.5760030864197531,0.5928157635663934
SANDiff,strong,3,2,0.3528163580246913,0.35358796296296297,0.45632569433799314,0.28935185185185186,0.0050040455675582985,0.6766975308641975,0.6612654320987653,0.5437885802469135,0.5750940844159441
SANDiff_single_checkpoint,strong,3,2,0.3522376543209876,0.35127314814814814,0.41015557733789826,0.28125,0.005255888846021947,0.6763117283950617,0.6626157407407406,0.5597993827160493,0.5780790689494046
