method,strength,metric,v32p,v33p,v33p_minus_v32p
RAW,na,fixed_head_balanced_accuracy,0.3202160493827161,0.3586033950617284,0.03838734567901231
RAW,na,retrained_head_balanced_accuracy,0.3317901234567901,0.3545524691358024,0.022762345679012308
RAW,na,adaptive_subject_attack_balanced_accuracy,0.6685956790123456,0.7411265432098766,0.07253086419753096
RAW,na,cross_session_same_different_auroc,0.5931875027286488,0.6308054720431334,0.03761796931448458
LEACE,na,fixed_head_balanced_accuracy,0.3179012345679012,0.355516975308642,0.03761574074074081
LEACE,na,retrained_head_balanced_accuracy,0.3275462962962963,0.349729938271605,0.0221836419753087
LEACE,na,adaptive_subject_attack_balanced_accuracy,0.6651234567901234,0.6583719135802469,-0.006751543209876476
LEACE,na,cross_session_same_different_auroc,0.5752915114616112,0.5779138514256118,0.0026223399640006306
DANN,medium,fixed_head_balanced_accuracy,0.3260030864197531,0.3468364197530864,0.02083333333333326
DANN,medium,retrained_head_balanced_accuracy,0.3279320987654321,0.345679012345679,0.01774691358024688
DANN,medium,adaptive_subject_attack_balanced_accuracy,0.6797839506172839,0.6645447530864197,-0.015239197530864224
DANN,medium,cross_session_same_different_auroc,0.5850829897518726,0.602607384362996,0.01752439461112343
one_step,strong,fixed_head_balanced_accuracy,0.324074074074074,0.3537808641975308,0.029706790123456783
one_step,strong,retrained_head_balanced_accuracy,0.3265817901234568,0.3549382716049383,0.02835648148148151
one_step,strong,adaptive_subject_attack_balanced_accuracy,0.6610725308641975,0.657986111111111,-0.0030864197530864335
one_step,strong,cross_session_same_different_auroc,0.5770156948905439,0.5832206275573403,0.006204932666796337
SANDiff,strong,fixed_head_balanced_accuracy,0.3250385802469135,0.3528163580246913,0.02777777777777779
SANDiff,strong,retrained_head_balanced_accuracy,0.3298611111111111,0.3535879629629629,0.023726851851851805
SANDiff,strong,adaptive_subject_attack_balanced_accuracy,0.6541280864197531,0.6612654320987653,0.0071373456790122525
SANDiff,strong,cross_session_same_different_auroc,0.573475567222011,0.5750940844159441,0.0016185171939331333
