adaptive_subject_attack_recall,cross_session_same_different_auroc,cross_session_verification_recall,fixed_head_balanced_accuracy,fold,linear_subject_probe_recall,method,participant,seed,strength
0.7430555555555556,0.5698716542767093,0.625,0.4895833333333333,0,0.7222222222222222,RAW,1,20260920,na
0.6493055555555556,0.6214209968186639,0.7465277777777778,0.2673611111111111,0,0.5833333333333334,RAW,2,20260920,na
0.5972222222222222,0.5384957448484855,0.5208333333333334,0.46527777777777773,0,0.6180555555555556,RAW,3,20260920,na
0.6979166666666666,0.5440758161043038,0.5416666666666666,0.45138888888888884,0,0.7118055555555556,LEACE,1,20260920,na
0.4930555555555556,0.511327282781856,0.4166666666666667,0.2847222222222222,0,0.4652777777777778,LEACE,2,20260920,na
0.6354166666666666,0.5341865587307337,0.5173611111111112,0.4409722222222222,0,0.6111111111111112,LEACE,3,20260920,na
0.7083333333333334,0.5249262544711095,0.3993055555555556,0.4652777777777778,0,0.6979166666666666,DANN,1,20260920,medium
0.6701388888888888,0.533527618682161,0.4513888888888889,0.2916666666666667,0,0.5659722222222222,DANN,2,20260920,medium
0.3715277777777778,0.5252679681225239,0.53125,0.4375,0,0.5763888888888888,DANN,3,20260920,medium
0.7395833333333334,0.5612433307761131,0.5729166666666666,0.4722222222222222,0,0.7326388888888888,one_step,1,20260920,weak
0.65625,0.5850395342781656,0.5902777777777778,0.2951388888888889,0,0.6076388888888888,one_step,2,20260920,weak
0.625,0.5382604973535392,0.5555555555555556,0.4583333333333333,0,0.6284722222222222,one_step,3,20260920,weak
0.7256944444444444,0.551812333209015,0.5520833333333334,0.4722222222222222,0,0.7256944444444444,one_step,1,20260920,medium
0.5972222222222222,0.5430901469943492,0.4756944444444444,0.2951388888888889,0,0.5972222222222222,one_step,2,20260920,medium
0.5972222222222222,0.5367917439359534,0.5520833333333334,0.4479166666666667,0,0.6215277777777778,one_step,3,20260920,medium
0.7118055555555556,0.5440789562676694,0.5277777777777778,0.45833333333333337,0,0.7291666666666666,one_step,1,20260920,strong
0.4930555555555556,0.5098934159169531,0.3784722222222222,0.3055555555555555,0,0.4826388888888889,one_step,2,20260920,strong
0.6111111111111112,0.534074726504943,0.5277777777777778,0.42361111111111105,0,0.6006944444444444,one_step,3,20260920,strong
0.75,0.5602687327653341,0.6041666666666666,0.4652777777777778,0,0.7465277777777778,SANDiff,1,20260920,weak
0.6006944444444444,0.579231962952441,0.6041666666666666,0.2777777777777778,0,0.5243055555555556,SANDiff,2,20260920,weak
0.6041666666666666,0.5348509668019393,0.5520833333333334,0.45138888888888884,0,0.6180555555555556,SANDiff,3,20260920,weak
0.7326388888888888,0.5477214249964734,0.6006944444444444,0.4652777777777778,0,0.7465277777777778,SANDiff,1,20260920,medium
0.5381944444444444,0.534742272508907,0.5104166666666666,0.2986111111111111,0,0.4791666666666667,SANDiff,2,20260920,medium
0.6111111111111112,0.5308178334181972,0.53125,0.4270833333333333,0,0.6388888888888888,SANDiff,3,20260920,medium
0.7118055555555556,0.5360403796022717,0.5590277777777778,0.4618055555555556,0,0.7430555555555556,SANDiff,1,20260920,strong
0.4826388888888889,0.5095545647858792,0.4305555555555556,0.3055555555555555,0,0.4930555555555556,SANDiff,2,20260920,strong
0.5972222222222222,0.5267988113563215,0.5104166666666666,0.42708333333333337,0,0.6215277777777778,SANDiff,3,20260920,strong
0.7152777777777778,0.5306325351843229,0.4861111111111111,0.4375,0,0.7152777777777778,SANDiff_single_checkpoint,1,20260920,strong
0.4722222222222222,0.5009495116135994,0.4444444444444444,0.29861111111111105,0,0.4756944444444444,SANDiff_single_checkpoint,2,20260920,strong
0.6041666666666666,0.5384378884288337,0.5486111111111112,0.4270833333333333,0,0.625,SANDiff_single_checkpoint,3,20260920,strong
0.6631944444444444,0.5583329147156236,0.5625,0.41666666666666663,0,0.6805555555555556,RAW,1,20260921,na
0.8020833333333334,0.6253141920421241,0.8333333333333334,0.2569444444444445,0,0.7638888888888888,RAW,2,20260921,na
0.6944444444444444,0.552202901990136,0.59375,0.4097222222222222,0,0.6805555555555556,RAW,3,20260921,na
0.6354166666666666,0.5279277350408383,0.4166666666666667,0.4027777777777778,0,0.6979166666666666,LEACE,1,20260921,na
0.5486111111111112,0.5261619724140214,0.5173611111111112,0.24652777777777776,0,0.5729166666666666,LEACE,2,20260921,na
0.6493055555555556,0.5521163716908398,0.6493055555555556,0.4270833333333333,0,0.6736111111111112,LEACE,3,20260921,na
0.5486111111111112,0.5180500234344633,0.2951388888888889,0.40625,0,0.6736111111111112,DANN,1,20260921,medium
0.7395833333333334,0.549313425633529,0.6076388888888888,0.24652777777777782,0,0.8333333333333334,DANN,2,20260921,medium
0.5243055555555556,0.5320937350724585,0.5277777777777778,0.4201388888888889,0,0.6666666666666666,DANN,3,20260921,medium
0.6527777777777778,0.5478720239329028,0.5451388888888888,0.4201388888888889,0,0.6979166666666666,one_step,1,20260921,weak
0.7673611111111112,0.5922721649386992,0.7604166666666666,0.2638888888888889,0,0.7673611111111112,one_step,2,20260921,weak
0.6805555555555556,0.5503522975863401,0.6145833333333334,0.4270833333333333,0,0.6770833333333334,one_step,3,20260921,weak
0.6458333333333334,0.5387433128869064,0.4722222222222222,0.42708333333333337,0,0.6770833333333334,one_step,1,20260921,medium
0.6979166666666666,0.5597293678784911,0.6631944444444444,0.2638888888888889,0,0.7534722222222222,one_step,2,20260921,medium
0.6458333333333334,0.5504461908717228,0.6319444444444444,0.4375,0,0.6458333333333334,one_step,3,20260921,medium
0.6284722222222222,0.5329755330547858,0.4513888888888889,0.3993055555555556,0,0.6666666666666666,one_step,1,20260921,strong
0.6736111111111112,0.5387016234142558,0.5833333333333334,0.2604166666666667,0,0.6527777777777778,one_step,2,20260921,strong
0.6145833333333334,0.5521407121407121,0.6215277777777778,0.4097222222222222,0,0.6388888888888888,one_step,3,20260921,strong
0.6493055555555556,0.5406841546450227,0.5381944444444444,0.4409722222222222,0,0.6909722222222222,SANDiff,1,20260921,weak
0.6631944444444444,0.5928998393853593,0.8055555555555556,0.2604166666666667,0,0.71875,SANDiff,2,20260921,weak
0.65625,0.5522371003222066,0.6111111111111112,0.4409722222222222,0,0.65625,SANDiff,3,20260921,weak
0.5868055555555556,0.5255610005662312,0.4583333333333333,0.44791666666666663,0,0.6944444444444444,SANDiff,1,20260921,medium
0.6458333333333334,0.5557991583698205,0.6840277777777778,0.2638888888888889,0,0.6493055555555556,SANDiff,2,20260921,medium
0.5694444444444444,0.5516327269518759,0.6215277777777778,0.4305555555555555,0,0.6423611111111112,SANDiff,3,20260921,medium
0.65625,0.5171542221782199,0.4201388888888889,0.4409722222222222,0,0.7083333333333334,SANDiff,1,20260921,strong
0.625,0.5290585947756481,0.5381944444444444,0.2673611111111111,0,0.6041666666666666,SANDiff,2,20260921,strong
0.6319444444444444,0.549353243821329,0.5902777777777778,0.4131944444444444,0,0.6527777777777778,SANDiff,3,20260921,strong
0.6319444444444444,0.5139824004986346,0.3888888888888889,0.4097222222222222,0,0.6736111111111112,SANDiff_single_checkpoint,1,20260921,strong
0.5625,0.5350249910703937,0.6458333333333334,0.2569444444444444,0,0.6180555555555556,SANDiff_single_checkpoint,2,20260921,strong
0.6145833333333334,0.5507115626264563,0.6284722222222222,0.4236111111111111,0,0.6527777777777778,SANDiff_single_checkpoint,3,20260921,strong
0.8506944444444444,0.5697874737434032,0.59375,0.3263888888888889,1,0.8854166666666666,RAW,4,20260920,na
0.9236111111111112,0.8536034092288257,0.90625,0.2361111111111111,1,0.9513888888888888,RAW,5,20260920,na
0.7986111111111112,0.7498310757178253,0.78125,0.3055555555555555,1,0.8854166666666666,RAW,6,20260920,na
0.7118055555555556,0.5336149657287401,0.4548611111111111,0.2916666666666667,1,0.8055555555555556,LEACE,4,20260920,na
0.8715277777777778,0.7795709498955913,0.9131944444444444,0.2604166666666667,1,0.90625,LEACE,5,20260920,na
0.7430555555555556,0.6439347774703339,0.6215277777777778,0.3020833333333333,1,0.8020833333333334,LEACE,6,20260920,na
0.8194444444444444,0.5402596721862687,0.5486111111111112,0.2951388888888889,1,0.84375,DANN,4,20260920,medium
0.8263888888888888,0.8346445989327393,0.8819444444444444,0.2708333333333333,1,0.9236111111111112,DANN,5,20260920,medium
0.7743055555555556,0.7068309381324371,0.7048611111111112,0.2777777777777778,1,0.8541666666666666,DANN,6,20260920,medium
0.7604166666666666,0.5544521236200189,0.5451388888888888,0.31597222222222227,1,0.8715277777777778,one_step,4,20260920,weak
0.9166666666666666,0.8422797069471704,0.9131944444444444,0.2534722222222222,1,0.9513888888888888,one_step,5,20260920,weak
0.7118055555555556,0.7126151689654403,0.7222222222222222,0.3020833333333333,1,0.8854166666666666,one_step,6,20260920,weak
0.7951388888888888,0.5418880884424596,0.4756944444444444,0.3229166666666667,1,0.8368055555555556,one_step,4,20260920,medium
0.8645833333333334,0.8208449807622193,0.9236111111111112,0.2673611111111111,1,0.9131944444444444,one_step,5,20260920,medium
0.71875,0.6741785152772699,0.6597222222222222,0.3055555555555556,1,0.8368055555555556,one_step,6,20260920,medium
0.6805555555555556,0.5378648145177964,0.4513888888888889,0.31597222222222227,1,0.7534722222222222,one_step,4,20260920,strong
0.8819444444444444,0.7944669419207063,0.8993055555555556,0.2743055555555555,1,0.8854166666666666,one_step,5,20260920,strong
0.6979166666666666,0.6466519124956931,0.6423611111111112,0.2986111111111111,1,0.7986111111111112,one_step,6,20260920,strong
0.7986111111111112,0.5638997278203015,0.5590277777777778,0.3125,1,0.8784722222222222,SANDiff,4,20260920,weak
0.9201388888888888,0.8414113739157104,0.9097222222222222,0.2743055555555556,1,0.9340277777777778,SANDiff,5,20260920,weak
0.7708333333333334,0.7220285965937621,0.7152777777777778,0.2743055555555555,1,0.8923611111111112,SANDiff,6,20260920,weak
