fold,subject,role,stage_A_train,stage_A_validation,stage_B_full_pool,outer_test
0,1,outer_test_only,no,no,no,yes
0,2,outer_test_only,no,no,no,yes
0,3,outer_test_only,no,no,no,yes
0,4,stage_A_validation__stage_B_refit,no,yes,yes,no
0,5,stage_A_validation__stage_B_refit,no,yes,yes,no
0,6,stage_A_validation__stage_B_refit,no,yes,yes,no
0,7,stage_A_train__stage_B_refit,yes,no,yes,no
0,8,stage_A_train__stage_B_refit,yes,no,yes,no
0,9,stage_A_train__stage_B_refit,yes,no,yes,no
1,1,stage_A_train__stage_B_refit,yes,no,yes,no
1,2,stage_A_train__stage_B_refit,yes,no,yes,no
1,3,stage_A_train__stage_B_refit,yes,no,yes,no
1,4,outer_test_only,no,no,no,yes
1,5,outer_test_only,no,no,no,yes
1,6,outer_test_only,no,no,no,yes
1,7,stage_A_validation__stage_B_refit,no,yes,yes,no
1,8,stage_A_validation__stage_B_refit,no,yes,yes,no
1,9,stage_A_validation__stage_B_refit,no,yes,yes,no
2,1,stage_A_validation__stage_B_refit,no,yes,yes,no
2,2,stage_A_validation__stage_B_refit,no,yes,yes,no
2,3,stage_A_validation__stage_B_refit,no,yes,yes,no
2,4,stage_A_train__stage_B_refit,yes,no,yes,no
2,5,stage_A_train__stage_B_refit,yes,no,yes,no
2,6,stage_A_train__stage_B_refit,yes,no,yes,no
2,7,outer_test_only,no,no,no,yes
2,8,outer_test_only,no,no,no,yes
2,9,outer_test_only,no,no,no,yes
