eegnet_epoch,final_refit_subjects,fold,full_sampler_balance,full_sampler_epoch,model,seed,selection_train_subjects,selection_validation_subjects,single_timestep_epoch,single_timestep_objective
58,4;5;6;7;8;9,0,0.11509186882698832,20,one_step,20260920,7;8;9,4;5;6,41,1.3793412446975708
58,4;5;6;7;8;9,0,0.09850356792293274,20,SANDiff,20260920,7;8;9,4;5;6,9,1.364973545074463
58,4;5;6;7;8;9,0,0.10284586234952212,40,DANN,20260920,7;8;9,4;5;6,na,na
73,4;5;6;7;8;9,0,0.07207619365113338,80,one_step,20260921,7;8;9,4;5;6,9,1.5237960815429688
73,4;5;6;7;8;9,0,0.08307264377326372,50,SANDiff,20260921,7;8;9,4;5;6,18,1.5045274496078491
73,4;5;6;7;8;9,0,0.10121062306617118,50,DANN,20260921,7;8;9,4;5;6,na,na
44,1;2;3;7;8;9,1,0.22769641468905324,80,one_step,20260920,1;2;3,7;8;9,1,1.0059545040130615
44,1;2;3;7;8;9,1,0.23098612144338918,80,SANDiff,20260920,1;2;3,7;8;9,4,1.0371756553649902
44,1;2;3;7;8;9,1,0.23543335196749393,40,DANN,20260920,1;2;3,7;8;9,na,na
68,1;2;3;7;8;9,1,0.19954196146819556,30,one_step,20260921,1;2;3,7;8;9,41,1.198112964630127
68,1;2;3;7;8;9,1,0.1874363437762864,10,SANDiff,20260921,1;2;3,7;8;9,13,1.187587857246399
68,1;2;3;7;8;9,1,0.1915279634506185,25,DANN,20260921,1;2;3,7;8;9,na,na
11,1;2;3;4;5;6,2,0.11702575078051136,10,one_step,20260920,4;5;6,1;2;3,1,0.8057619333267212
11,1;2;3;4;5;6,2,0.11989552128116873,20,SANDiff,20260920,4;5;6,1;2;3,7,0.8457790017127991
11,1;2;3;4;5;6,2,0.11401402923124163,50,DANN,20260920,4;5;6,1;2;3,na,na
48,1;2;3;4;5;6,2,0.11663744073942617,30,one_step,20260921,4;5;6,1;2;3,1,1.2233542203903198
48,1;2;3;4;5;6,2,0.1418650668767292,70,SANDiff,20260921,4;5;6,1;2;3,16,1.2498797178268433
48,1;2;3;4;5;6,2,0.14581336834609765,30,DANN,20260921,4;5;6,1;2;3,na,na
