fold,model,path,seed,sha256,training_subjects
0,EEGNet,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_0_seed_20260920/eegnet_full_pool.pt,20260920,a88a80787af433b827cea70ea518995adc8ab4a534ed10a0c896ec6599339daa,4;5;6;7;8;9
0,DANN,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_0_seed_20260920/dann_full_pool.pt,20260920,a92c4ce2459bdccd84a23f606b1630a13b58e7d47fd2762aba3e8cc4638854f0,4;5;6;7;8;9
0,one_step,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_0_seed_20260920/stage_b/one_step_epoch_20.pt,20260920,94a8a16beaeb13b87dd6dde2dd2bf86fce0af4acc20364be86aa1fd677d69a18,4;5;6;7;8;9
0,SANDiff_full,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_0_seed_20260920/stage_b/SANDiff_epoch_20.pt,20260920,6ebeef72d05adadf728d14f905266ee55b34f2f5e80679a465197cfafba5f648,4;5;6;7;8;9
0,SANDiff_single,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_0_seed_20260920/stage_b/SANDiff_epoch_9.pt,20260920,04b97fa9da737fd96326e7105af817ae56a7c864de632acf2762f60aa8edcec0,4;5;6;7;8;9
0,EEGNet,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_0_seed_20260921/eegnet_full_pool.pt,20260921,ddc6f4a71b1b4a8412932e06e5824d478300e7ad3bf1793632c04a40b9b629c3,4;5;6;7;8;9
0,DANN,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_0_seed_20260921/dann_full_pool.pt,20260921,867d1a36846438645ed1268d1feaf32c450dde3117c443ce763c8c2fb50f252f,4;5;6;7;8;9
0,one_step,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_0_seed_20260921/stage_b/one_step_epoch_80.pt,20260921,0183c5e158603947aad0da7d43007b3e09b875503cc971431d25d7de7f87aea0,4;5;6;7;8;9
0,SANDiff_full,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_0_seed_20260921/stage_b/SANDiff_epoch_50.pt,20260921,4aa4e6775c0ced78da1007205a2f4ce3e3eaac526aa6ac38b4f3ff532c6b27eb,4;5;6;7;8;9
0,SANDiff_single,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_0_seed_20260921/stage_b/SANDiff_epoch_18.pt,20260921,ab8fdcf00b92600d6ae2f5ae1b19c9c520b6ea1c5b620059891265cea26b5eee,4;5;6;7;8;9
1,EEGNet,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_1_seed_20260920/eegnet_full_pool.pt,20260920,5cd1a25c8adb2d3a48e4ba05119a18416bc4151fdc3a75d14e8155168ebc3d3d,1;2;3;7;8;9
1,DANN,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_1_seed_20260920/dann_full_pool.pt,20260920,2404d667d1fc51096b58535985d0b2688eecc89d9a8b9800a1f88508e4fb661b,1;2;3;7;8;9
1,one_step,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_1_seed_20260920/stage_b/one_step_epoch_80.pt,20260920,88a604b48700c4b050c103bc777f0d764755b4842404ff4e360b5ec03c53ac51,1;2;3;7;8;9
1,SANDiff_full,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_1_seed_20260920/stage_b/SANDiff_epoch_80.pt,20260920,56e25304b53a9fb9b1328bd19d4cc53c4e3d3ffb1b8d70f3bd12e93ea90070a4,1;2;3;7;8;9
1,SANDiff_single,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_1_seed_20260920/stage_b/SANDiff_epoch_4.pt,20260920,814ce21eac871059bce79ef894c5eaf02ef35d0c8118d615691ec41558c96219,1;2;3;7;8;9
1,EEGNet,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_1_seed_20260921/eegnet_full_pool.pt,20260921,d7feabca014442cd5b8b45ff15ec76d720d171379d036237e0da3562e42f5c3d,1;2;3;7;8;9
1,DANN,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_1_seed_20260921/dann_full_pool.pt,20260921,57e8bbce74271129e594c7321529db16c8f5fcc59c22a030ad7dadfb83a551ea,1;2;3;7;8;9
