fold,lambda_label,lambda_mean,state_bytes_float32,top1_accuracy,top3_accuracy,same_different_auroc,within_distance,between_distance,participants
0,0.00,0.0,9752,0.06666666666666667,0.20000000000000007,0.5,0.0,0.0,15
0,0.25,0.25,9752,0.4,0.8,0.8768253968253968,2.443663950262887,4.479395039266991,15
0,0.50,0.5,9752,0.4666666666666667,0.8,0.8695238095238095,4.868687293501078,8.851594994943833,15
0,0.75,0.75,9752,0.4666666666666667,0.8,0.8676190476190476,7.196585889259624,13.221174377166015,15
0,EB,0.9628089563112039,9752,0.4666666666666667,0.7333333333333333,0.8666666666666667,9.184727577215927,17.138423140697874,15
0,1.00,1.0,9752,0.4666666666666667,0.8,0.8679365079365079,9.580499157981091,17.713848901846102,15
1,0.00,0.0,9752,0.06666666666666667,0.20000000000000007,0.5,0.0,0.0,15
1,0.25,0.25,9752,0.4666666666666667,0.7333333333333333,0.8606349206349206,2.8539706184511746,4.91316965656251,15
1,0.50,0.5,9752,0.4666666666666667,0.7333333333333333,0.8622222222222222,5.339936763848453,9.502846402052928,15
1,0.75,0.75,9752,0.4666666666666667,0.7333333333333333,0.8606349206349206,7.935065502028888,14.147925932296113,15
1,EB,0.944101895614983,9752,0.4666666666666667,0.7333333333333333,0.8561904761904762,9.93108120740555,17.88253694797889,15
1,1.00,1.0,9752,0.4666666666666667,0.7333333333333333,0.8577777777777779,10.571468852973855,18.85793108677404,15
2,0.00,0.0,9752,0.06666666666666667,0.20000000000000007,0.5,0.0,0.0,15
2,0.25,0.25,9752,0.4,0.6666666666666666,0.8577777777777778,2.676030938683587,4.6380850466527415,15
2,0.50,0.5,9752,0.4,0.6666666666666666,0.8492063492063492,5.131916263918773,8.9367129011838,15
2,0.75,0.75,9752,0.4,0.7333333333333333,0.8482539682539683,7.539640104007604,13.246515155733812,15
2,EB,0.9395616438474466,9752,0.4666666666666667,0.7333333333333333,0.8492063492063492,9.392605965724734,16.749991141858633,15
2,1.00,1.0,9752,0.4,0.7333333333333333,0.8473015873015873,10.073701098839967,17.743177033099457,15
3,0.00,0.0,9752,0.06666666666666667,0.20000000000000007,0.5,0.0,0.0,15
3,0.25,0.25,9752,0.4,0.7333333333333333,0.847936507936508,2.585712050534719,4.442847668355179,15
3,0.50,0.5,9752,0.4,0.7333333333333333,0.8546031746031746,5.098128779345718,8.876977807733155,15
3,0.75,0.75,9752,0.4,0.7333333333333333,0.8558730158730158,7.663738542416602,13.3429017438392,15
3,EB,0.9633673676185466,9752,0.4666666666666667,0.7333333333333333,0.8501587301587302,9.779242065462922,17.30895842774663,15
3,1.00,1.0,9752,0.4,0.7333333333333333,0.8568253968253968,10.181298051785658,17.907990446743955,15
4,0.00,0.0,9752,0.06666666666666667,0.20000000000000007,0.5,0.0,0.0,15
4,0.25,0.25,9752,0.4,0.8,0.8590476190476192,2.4950229629037257,4.487966251380123,15
4,0.50,0.5,9752,0.4666666666666667,0.8,0.8644444444444445,4.910461075011996,8.943449373604729,15
4,0.75,0.75,9752,0.4666666666666667,0.8,0.8669841269841271,7.352682548250679,13.438598561455827,15
4,EB,0.9668398800490096,9752,0.4666666666666667,0.8,0.8669841269841271,9.45016770255437,17.493267187852833,15
4,1.00,1.0,9752,0.4666666666666667,0.8,0.867936507936508,9.796648476231674,18.01961826034367,15
