fold,verifier,panel,participant,condition,identity_margin,auroc,rank1,tar_at_far5
0,A-R,physiological,1,1,0.07890861481428146,0.74125,0.65,0.3
0,A-R,physiological,1,2,0.09374440461397171,0.69875,0.55,0.0
0,A-R,physiological,6,1,-0.05920303612947464,0.2975,0.15,0.0
0,A-R,physiological,6,2,0.08161596208810806,0.67625,0.45,0.0
0,A-R,physiological,11,1,0.1333029419183731,0.8601108033240997,0.7894736842105263,0.47368421052631576
0,A-R,physiological,11,2,0.15201260149478912,0.8822714681440442,0.8421052631578947,0.0
0,A-R,artifact_acquisition_only,1,1,0.00023651719675399363,0.70625,0.6,0.15
0,A-R,artifact_acquisition_only,1,2,0.00024275780015159398,0.7075,0.5,0.2
0,A-R,artifact_acquisition_only,6,1,0.00019929409609176219,0.7175,0.7,0.3
0,A-R,artifact_acquisition_only,6,2,0.0002591133234091103,0.8724999999999999,0.95,0.55
0,A-R,artifact_acquisition_only,11,1,0.0005276579759083688,0.9986149584487535,1.0,1.0
0,A-R,artifact_acquisition_only,11,2,0.0006124282954260707,0.9930747922437674,1.0,0.9473684210526315
0,A-R,rereference,1,1,0.07839959114789963,0.76625,0.85,0.45
0,A-R,rereference,1,2,0.06188874691724777,0.63875,0.3,0.1
0,A-R,rereference,6,1,-0.03325750306248665,0.39125,0.2,0.0
0,A-R,rereference,6,2,0.09573622792959213,0.73,0.55,0.25
0,A-R,rereference,11,1,0.1344274878501892,0.8310249307479224,0.7368421052631579,0.7368421052631579
0,A-R,rereference,11,2,0.15550990402698517,0.8767313019390581,0.7894736842105263,0.7368421052631579
0,A-R,dropout10,1,1,0.07392586767673492,0.7125,0.65,0.3
0,A-R,dropout10,1,2,0.08935697376728058,0.73125,0.7,0.2
0,A-R,dropout10,6,1,-0.04404046759009361,0.38875000000000004,0.25,0.0
0,A-R,dropout10,6,2,0.034757472574710846,0.5825,0.35,0.05
0,A-R,dropout10,11,1,0.13829423487186432,0.8518005540166205,0.7894736842105263,0.631578947368421
0,A-R,dropout10,11,2,0.1829778403043747,0.9307479224376731,0.7894736842105263,0.7368421052631579
0,A-R,dropout20,1,1,0.046156566590070724,0.6287499999999999,0.4,0.0
0,A-R,dropout20,1,2,0.061132121831178665,0.67,0.55,0.15
0,A-R,dropout20,6,1,-0.051115673035383224,0.365,0.2,0.0
0,A-R,dropout20,6,2,-0.00707958173006773,0.48124999999999996,0.35,0.0
0,A-R,dropout20,11,1,0.15184278786182404,0.8628808864265929,0.8421052631578947,0.7894736842105263
0,A-R,dropout20,11,2,0.21885307133197784,0.943213296398892,0.8947368421052632,0.8421052631578947
0,A-R,gain_normalized,1,1,0.13832931220531464,0.85625,0.95,0.75
0,A-R,gain_normalized,1,2,0.05098186805844307,0.69375,0.75,0.3
0,A-R,gain_normalized,6,1,-0.07777340710163116,0.26875,0.1,0.0
0,A-R,gain_normalized,6,2,-0.009854483418166637,0.39125,0.3,0.0
0,A-R,gain_normalized,11,1,-0.0007509369752369821,0.5457063711911356,0.10526315789473684,0.0
0,A-R,gain_normalized,11,2,-0.005259173456579447,0.48614958448753465,0.21052631578947367,0.10526315789473684
0,A-R,statistics_only,1,1,0.4282709062099457,1.0,1.0,1.0
0,A-R,statistics_only,1,2,0.47156423330307007,1.0,1.0,1.0
0,A-R,statistics_only,6,1,-0.6040310859680176,0.0,0.0,0.0
0,A-R,statistics_only,6,2,-0.6741369366645813,0.0,0.0,0.0
0,A-R,statistics_only,11,1,0.16940252482891083,0.9155124653739612,0.7368421052631579,0.7368421052631579
0,A-R,statistics_only,11,2,0.18766257166862488,0.8767313019390581,0.7894736842105263,0.5789473684210527
0,A-R,wrong_condition_same_subject,1,1,0.032416440546512604,0.60125,0.4,0.1
0,A-R,wrong_condition_same_subject,1,2,0.11819585412740707,0.81,0.85,0.25
0,A-R,wrong_condition_same_subject,6,1,-0.032565888017416,0.37,0.15,0.0
0,A-R,wrong_condition_same_subject,6,2,-0.028913447633385658,0.405,0.3,0.0
0,A-R,wrong_condition_same_subject,11,1,0.16743052005767822,0.9182825484764543,0.9473684210526315,0.6842105263157895
0,A-R,wrong_condition_same_subject,11,2,0.13642998039722443,0.8088642659279779,0.7894736842105263,0.5789473684210527
0,B-R,physiological,1,1,0.07002303004264832,0.89,0.75,0.55
0,B-R,physiological,1,2,0.11426498740911484,0.97875,1.0,0.0
0,B-R,physiological,6,1,0.04242750257253647,0.745,0.7,0.5
0,B-R,physiological,6,2,0.0547739639878273,0.835,0.7,0.1
0,B-R,physiological,11,1,0.03441854566335678,0.7022160664819944,0.47368421052631576,0.3684210526315789
0,B-R,physiological,11,2,0.09788999706506729,0.9542936288088643,0.9473684210526315,0.0
0,B-R,artifact_acquisition_only,1,1,0.06003444269299507,0.99,1.0,0.95
0,B-R,artifact_acquisition_only,1,2,0.060970913618803024,0.995,1.0,0.95
0,B-R,artifact_acquisition_only,6,1,0.03202313557267189,0.8474999999999999,0.75,0.25
0,B-R,artifact_acquisition_only,6,2,0.04950520396232605,0.9450000000000001,0.9,0.6
0,B-R,artifact_acquisition_only,11,1,0.05337880924344063,0.9515235457063711,0.9473684210526315,0.8421052631578947
0,B-R,artifact_acquisition_only,11,2,0.060784026980400085,0.9736842105263158,1.0,0.9473684210526315
0,B-R,rereference,1,1,0.005162063054740429,0.5562499999999999,0.35,0.05
0,B-R,rereference,1,2,0.026651974767446518,0.72375,0.55,0.3
0,B-R,rereference,6,1,0.028001835569739342,0.665,0.7,0.35
0,B-R,rereference,6,2,0.018813807517290115,0.6062500000000001,0.4,0.3
0,B-R,rereference,11,1,0.005078950431197882,0.5457063711911356,0.3157894736842105,0.05263157894736842
0,B-R,rereference,11,2,0.02652515284717083,0.6994459833795014,0.47368421052631576,0.21052631578947367
0,B-R,dropout10,1,1,0.001823976868763566,0.5325,0.3,0.0
0,B-R,dropout10,1,2,0.027394656091928482,0.7925,0.8,0.55
0,B-R,dropout10,6,1,0.02898191288113594,0.75,0.6,0.35
0,B-R,dropout10,6,2,0.020524894818663597,0.7187499999999999,0.6,0.3
0,B-R,dropout10,11,1,0.0028970658313483,0.5152354570637119,0.21052631578947367,0.0
0,B-R,dropout10,11,2,0.014801965095102787,0.610803324099723,0.3684210526315789,0.10526315789473684
0,B-R,dropout20,1,1,-0.0023219671566039324,0.4475,0.3,0.0
0,B-R,dropout20,1,2,0.027699926868081093,0.795,0.65,0.5
0,B-R,dropout20,6,1,0.020445143803954124,0.70125,0.6,0.25
0,B-R,dropout20,6,2,0.01093888096511364,0.6362500000000001,0.55,0.2
