aligned_marker_count,common_eeg_channels,duration_alignment_seconds,duration_seconds,marker_time_median_error_seconds,marker_time_p95_error_seconds,participant,prepared_path,processed_eeg_channels,processed_imu_channels,processed_marker_count,processed_rate_hz,sealed_reads,session,source_eeg_channels,source_eog_channels,source_marker_count,source_rate_hz,status,task
300,46,0.0,893.1,0.008000000000009777,0.012000000000000455,sub-18,/projects/EEG-foundation-model/derived/denoiseNet/counterfactual_operator_headroom_v19/prepared/sub-18/ses-02_ERP.npz,46,27,300,100.0,0,ses-02,46,4,300,500.0,eligible,ERP
60,46,0.0,562.35,0.008000000000023988,0.012000000000000455,sub-18,/projects/EEG-foundation-model/derived/denoiseNet/counterfactual_operator_headroom_v19/prepared/sub-18/ses-02_SSVEP.npz,46,27,60,100.0,0,ses-02,46,4,60,500.0,eligible,SSVEP
300,46,0.0,705.38,0.008000000000009777,0.012000000000000455,sub-18,/projects/EEG-foundation-model/derived/denoiseNet/counterfactual_operator_headroom_v19/prepared/sub-18/ses-03_ERP.npz,46,27,300,100.0,0,ses-03,46,4,300,500.0,eligible,ERP
60,46,0.0,541.84,0.008000000000038199,0.012000000000000455,sub-18,/projects/EEG-foundation-model/derived/denoiseNet/counterfactual_operator_headroom_v19/prepared/sub-18/ses-03_SSVEP.npz,46,27,60,100.0,0,ses-03,46,4,60,500.0,eligible,SSVEP
300,46,0.0,691.57,0.008000000000038199,0.012000000000003296,sub-18,/projects/EEG-foundation-model/derived/denoiseNet/counterfactual_operator_headroom_v19/prepared/sub-18/ses-04_ERP.npz,46,27,300,100.0,0,ses-04,46,4,300,500.0,eligible,ERP
60,46,0.0,538.83,0.00799999999998846,0.012000000000000455,sub-18,/projects/EEG-foundation-model/derived/denoiseNet/counterfactual_operator_headroom_v19/prepared/sub-18/ses-04_SSVEP.npz,46,27,60,100.0,0,ses-04,46,4,60,500.0,eligible,SSVEP
