recording,subject,session,name,validity_fraction,eligible,exclusion_reason,clock_slope,clock_residual_ms,n_veog,n_blink_candidates,forward_match_rate,forward_p,reverse_observed,reverse_null_mean,reverse_elevation,reverse_ci_low,reverse_ci_high,reverse_p,reverse_positive,pupil_collapse_frac
S01/Sess01/MI011,S01,Sess01,MI011,0.3263271355429803,False,validity 0.326 < 0.4,0.9999640320110341,5.492729255553602,102,175,0.0,1.0,0.8628457725584948,0.6558541153031083,0.20699165725538649,0.184779946637383,0.22844246097363208,0.004975124378109453,True,0.08571428571428572
S01/Sess01/P3004L011,S01,Sess01,P3004L011,0.4116163652885541,True,,0.9999790389592681,4.864309849897617,266,161,0.21739130434782608,0.004975124378109453,0.7757053590433126,0.5782187593947731,0.19748659964853954,0.17815369783974155,0.21628386104360542,0.004975124378109453,True,0.12422360248447205
S01/Sess01/P3005L011,S01,Sess01,P3005L011,0.4172311545116999,True,,0.9999760006073698,4.636773453561478,283,209,0.18660287081339713,0.004975124378109453,0.7707954247522002,0.5732860773541717,0.1975093473980285,0.17399286914923867,0.21976124429451405,0.004975124378109453,True,0.09090909090909091
S02/Sess01/ME021,S02,Sess01,ME021,0.26624867923539736,False,validity 0.266 < 0.4,0.9999738583501395,5.001432270979814,151,246,0.044715447154471545,0.7263681592039801,0.8074408468244084,0.7350833055502081,0.07235754127420035,0.03153536402222871,0.11183487330290232,0.03482587064676617,True,0.0
S02/Sess01/MI021,S02,Sess01,MI021,0.024147862412537514,False,validity 0.024 < 0.4,0.9999683282747643,5.277713488947386,128,10,0.0,1.0,0.9788151481064866,0.9823642582458828,-0.0035491101393961832,-0.022296766682328273,0.010324155702373664,0.6517412935323383,False,0.0
S02/Sess01/P3004L021,S02,Sess01,P3004L021,0.2561586136978856,False,validity 0.256 < 0.4,0.9999707129757209,5.118324634923078,231,418,0.019138755980861243,1.0,0.8739516816240238,0.7442349193591915,0.1297167622648323,0.10250513633539084,0.15448092995622179,0.004975124378109453,True,0.0
S02/Sess01/P3005L021,S02,Sess01,P3005L021,0.0448323270966585,False,validity 0.045 < 0.4,0.9999775398073333,4.7890081711039425,237,72,0.013888888888888888,0.9253731343283582,0.9827406945310875,0.9590222335960817,0.023718460935005736,0.01123925527894419,0.0340168597705226,0.014925373134328358,True,0.0
S02/Sess01/SSVEP021,S02,Sess01,SSVEP021,0.39306458932082894,False,validity 0.393 < 0.4,0.9999682789193833,5.019443789373342,166,479,0.04801670146137787,0.6865671641791045,0.640659184831051,0.6038448114948733,0.03681437333617765,-0.019048282985568314,0.09192234675810448,0.25870646766169153,False,0.0
S02/Sess02/ME022,S02,Sess02,ME022,0.7566605760027844,True,,0.9999785264811601,5.167599739199619,179,225,0.1111111111111111,0.014925373134328358,0.5811108034945245,0.2380996771627946,0.3430111263317299,0.2767711815489071,0.40459673602780466,0.004975124378109453,True,0.017777777777777778
S02/Sess02/MI022,S02,Sess02,MI022,0.8958391829285414,True,,0.9999828206277583,4.449455046636854,181,160,0.2875,0.004975124378109453,0.46146244599116865,0.10824437005547036,0.3532180759356983,0.2859360153666392,0.41843437437832515,0.004975124378109453,True,0.03125
S02/Sess02/P3004L022,S02,Sess02,P3004L022,0.8176327356670777,True,,0.9999737119529967,4.945967460056114,273,276,0.2644927536231884,0.004975124378109453,0.43390369950211133,0.17698667935076223,0.2569170201513491,0.20783908211283245,0.3090850981028927,0.004975124378109453,True,0.014492753623188406
S02/Sess02/P3005L022,S02,Sess02,P3005L022,0.9152790333075677,True,,0.9999758144272967,4.691756891075519,312,200,0.35,0.004975124378109453,0.31677904181498745,0.0850113606326459,0.23176768118234153,0.18824689785197093,0.27922449856612996,0.004975124378109453,True,0.075
S02/Sess02/SSVEP022,S02,Sess02,SSVEP022,0.7866005500097443,True,,0.9999707931267839,5.0060320066180495,228,159,0.15723270440251572,0.004975124378109453,0.39224887035106015,0.22193093932954894,0.17031793102151122,0.10357750373533621,0.23605501179848304,0.009950248756218905,True,0.0440251572327044
S02/Sess03/ME023,S02,Sess03,ME023,0.8049123904881101,True,,0.9999849662684624,4.391723754490254,165,49,0.4489795918367347,0.004975124378109453,0.4119713189480632,0.20312797367153002,0.2088433452765332,0.12755356485884572,0.292537568796338,0.009950248756218905,True,0.0
S02/Sess03/MI023,S02,Sess03,MI023,0.7352358928540145,True,,0.9999632252619688,5.406703727888776,123,49,0.2653061224489796,0.004975124378109453,0.4027557971744018,0.2706771789146882,0.13207861825971362,0.030777769237934387,0.2264106931615559,0.04477611940298507,True,0.0
