fold,metric,panel,participant,condition,identity_margin,auroc,rank1,tar_at_far5
1,cosine,physiological,2,1,0.008792996406555176,0.5175,0.3,0.0
1,cosine,physiological,2,2,0.11327531188726425,0.865,0.75,0.15
1,cosine,physiological,7,1,-0.03864783048629761,0.35872576177285315,0.21052631578947367,0.0
1,cosine,physiological,7,2,-0.10571683198213577,0.2631578947368421,0.05263157894736842,0.10526315789473684
1,cosine,physiological,12,1,0.16229018568992615,0.9556786703601108,0.9473684210526315,0.8947368421052632
1,cosine,physiological,12,2,0.1605874001979828,0.8878116343490304,0.8421052631578947,0.8421052631578947
1,cosine,phase_locked_erp,2,1,0.04743121936917305,0.5,0.0,0.0
1,cosine,phase_locked_erp,2,2,0.43068400025367737,1.0,1.0,1.0
1,cosine,phase_locked_erp,7,1,-0.6093456149101257,0.0,0.0,0.0
1,cosine,phase_locked_erp,7,2,-0.37217527627944946,0.0,0.0,0.0
1,cosine,phase_locked_erp,12,1,0.8724162578582764,1.0,1.0,1.0
1,cosine,phase_locked_erp,12,2,0.649298369884491,1.0,1.0,1.0
1,cosine,induced_residual,2,1,-0.00017613476666156203,0.45999999999999996,0.2,0.0
1,cosine,induced_residual,2,2,1.4379317690327298e-05,0.5125,0.15,0.0
1,cosine,induced_residual,7,1,-0.00037561464705504477,0.43905817174515227,0.42105263157894735,0.3157894736842105
1,cosine,induced_residual,7,2,-0.0038303090259432793,0.40443213296398894,0.3157894736842105,0.05263157894736842
1,cosine,induced_residual,12,1,-0.0007523053791373968,0.4889196675900277,0.15789473684210525,0.0
1,cosine,induced_residual,12,2,0.0006068813381716609,0.5083102493074791,0.42105263157894735,0.3157894736842105
1,cosine,artifact_acquisition_only,2,1,0.01701389066874981,0.76625,0.7,0.05
1,cosine,artifact_acquisition_only,2,2,0.010828336700797081,0.68625,0.55,0.15
1,cosine,artifact_acquisition_only,7,1,0.05343272164463997,0.9709141274238227,1.0,0.7368421052631579
1,cosine,artifact_acquisition_only,7,2,0.05859755724668503,0.984764542936288,1.0,0.8947368421052632
1,cosine,artifact_acquisition_only,12,1,0.06028049811720848,0.9390581717451523,1.0,0.7894736842105263
1,cosine,artifact_acquisition_only,12,2,0.05987277626991272,0.9626038781163435,0.9473684210526315,0.7894736842105263
1,cosine,amplitude_only,2,1,0.0018274188041687012,0.49,0.1,0.0
1,cosine,amplitude_only,2,2,0.06481270492076874,0.66875,0.55,0.0
1,cosine,amplitude_only,7,1,-0.06321296095848083,0.3670360110803324,0.3684210526315789,0.0
1,cosine,amplitude_only,7,2,0.0075351158156991005,0.502770083102493,0.15789473684210525,0.05263157894736842
1,cosine,amplitude_only,12,1,0.2705501317977905,0.9944598337950139,0.9473684210526315,0.9473684210526315
1,cosine,amplitude_only,12,2,0.14075300097465515,0.8005540166204986,0.7368421052631579,0.631578947368421
1,cosine,topography_only,2,1,0.0018274259055033326,0.49,0.1,0.0
1,cosine,topography_only,2,2,0.06481270492076874,0.66875,0.55,0.0
1,cosine,topography_only,7,1,-0.06321296840906143,0.3670360110803324,0.3684210526315789,0.0
1,cosine,topography_only,7,2,0.007535112556070089,0.502770083102493,0.15789473684210525,0.05263157894736842
1,cosine,topography_only,12,1,0.2705501317977905,0.9944598337950139,0.9473684210526315,0.9473684210526315
1,cosine,topography_only,12,2,0.14075301587581635,0.8005540166204986,0.7368421052631579,0.631578947368421
1,cosine,latency_morphology_only,2,1,0.008792994543910027,0.5175,0.3,0.0
1,cosine,latency_morphology_only,2,2,0.11327531188726425,0.865,0.75,0.15
1,cosine,latency_morphology_only,7,1,-0.03864782303571701,0.35872576177285315,0.21052631578947367,0.0
1,cosine,latency_morphology_only,7,2,-0.10571683198213577,0.2631578947368421,0.05263157894736842,0.10526315789473684
1,cosine,latency_morphology_only,12,1,0.16229021549224854,0.9556786703601108,0.9473684210526315,0.8947368421052632
1,cosine,latency_morphology_only,12,2,0.1605874001979828,0.8878116343490304,0.8421052631578947,0.8421052631578947
1,cosine,band_0.5_4,2,1,0.012518847361207008,0.5662499999999999,0.5,0.0
1,cosine,band_0.5_4,2,2,0.15315952897071838,0.90125,0.95,0.5
1,cosine,band_0.5_4,7,1,-0.056780945509672165,0.353185595567867,0.21052631578947367,0.15789473684210525
1,cosine,band_0.5_4,7,2,-0.13493472337722778,0.2119113573407202,0.0,0.0
1,cosine,band_0.5_4,12,1,0.06186212971806526,0.6980609418282548,0.47368421052631576,0.15789473684210525
1,cosine,band_0.5_4,12,2,0.14916439354419708,0.8808864265927978,0.8421052631578947,0.5789473684210527
1,cosine,band_4_8,2,1,0.022122936323285103,0.61375,0.45,0.05
1,cosine,band_4_8,2,2,0.33310315012931824,1.0,1.0,1.0
1,cosine,band_4_8,7,1,0.01638031378388405,0.577562326869806,0.3684210526315789,0.10526315789473684
1,cosine,band_4_8,7,2,-0.050595998764038086,0.3365650969529086,0.10526315789473684,0.0
1,cosine,band_4_8,12,1,0.038585271686315536,0.6966759002770083,0.5789473684210527,0.2631578947368421
1,cosine,band_4_8,12,2,0.08569658547639847,0.7285318559556787,0.631578947368421,0.0
1,cosine,band_8_13,2,1,0.12081054598093033,0.85125,0.7,0.4
1,cosine,band_8_13,2,2,0.1163037046790123,0.8462500000000001,0.9,0.35
1,cosine,band_8_13,7,1,0.06715133041143417,0.7119113573407201,0.5789473684210527,0.3157894736842105
1,cosine,band_8_13,7,2,0.04575176164507866,0.6883656509695291,0.5263157894736842,0.21052631578947367
1,cosine,band_8_13,12,1,0.1858299970626831,0.9501385041551247,0.8947368421052632,0.8947368421052632
1,cosine,band_8_13,12,2,0.12474637478590012,0.9127423822714682,0.9473684210526315,0.631578947368421
1,cosine,band_13_30,2,1,-0.003071779850870371,0.4625,0.3,0.0
1,cosine,band_13_30,2,2,0.00972194503992796,0.6125,0.45,0.15
1,cosine,band_13_30,7,1,0.030283156782388687,0.7700831024930749,0.631578947368421,0.2631578947368421
1,cosine,band_13_30,7,2,0.012279581278562546,0.5844875346260388,0.5263157894736842,0.15789473684210525
1,cosine,band_13_30,12,1,0.006390221882611513,0.5650969529085871,0.5263157894736842,0.21052631578947367
1,cosine,band_13_30,12,2,0.03449742868542671,0.7867036011080333,0.6842105263157895,0.42105263157894735
1,cosine,band_30_45,2,1,-0.0023746583610773087,0.45875,0.3,0.05
1,cosine,band_30_45,2,2,0.002509868936613202,0.52125,0.25,0.0
1,cosine,band_30_45,7,1,0.004577186889946461,0.5581717451523546,0.3684210526315789,0.15789473684210525
1,cosine,band_30_45,7,2,0.01424083299934864,0.6703601108033241,0.5263157894736842,0.15789473684210525
