clean_rrmse,fold,lambda_a,lambda_y,low_eog_observation_retention,method,panel,remaining_ratio,seed
1.11009544306944,1,1,0.5,,CALIB_ENERGY_DET_MATCH,paired,,20260830
1.1422412550236913,1,1,0.5,,CALIB_ENERGY_DET_WRONG,paired,,20260830
1.11751790786487,1,1,0.5,,POP_ENERGY_DET,paired,,20260830
1.1058292256529967,1,1,0.5,,CALIB_ENERGY_SDEDIT_MATCH,paired,,20260830
1.1381875396327814,1,1,0.5,,CALIB_ENERGY_SDEDIT_WRONG,paired,,20260830
1.1200877304800088,1,1,0.5,,POP_ENERGY_SDEDIT,paired,,20260830
,1,1,0.5,0.8339274493628182,CALIB_ENERGY_DET_MATCH,natural,0.9472140474244952,20260830
,1,1,0.5,0.8539144528015944,CALIB_ENERGY_DET_WRONG,natural,0.9633029609297713,20260830
,1,1,0.5,0.8428406912814049,POP_ENERGY_DET,natural,1.089910446666181,20260830
,1,1,0.5,0.8359081833429324,CALIB_ENERGY_SDEDIT_MATCH,natural,0.9689462517077724,20260830
,1,1,0.5,0.8514376712046214,CALIB_ENERGY_SDEDIT_WRONG,natural,0.9577137647817532,20260830
,1,1,0.5,0.846869463455126,POP_ENERGY_SDEDIT,natural,1.061317354440689,20260830
1.1104526253814886,1,1,2,,CALIB_ENERGY_DET_MATCH,paired,,20260830
1.1434019394218922,1,1,2,,CALIB_ENERGY_DET_WRONG,paired,,20260830
1.1183904108887266,1,1,2,,POP_ENERGY_DET,paired,,20260830
1.1072332215214071,1,1,2,,CALIB_ENERGY_SDEDIT_MATCH,paired,,20260830
1.1401907619692793,1,1,2,,CALIB_ENERGY_SDEDIT_WRONG,paired,,20260830
1.1216297308577243,1,1,2,,POP_ENERGY_SDEDIT,paired,,20260830
,1,1,2,0.8845845581284569,CALIB_ENERGY_DET_MATCH,natural,0.9427438077206413,20260830
,1,1,2,0.8975358196100084,CALIB_ENERGY_DET_WRONG,natural,0.9583004837234815,20260830
,1,1,2,0.887060468630807,POP_ENERGY_DET,natural,1.09085521971186,20260830
,1,1,2,0.8856030149763683,CALIB_ENERGY_SDEDIT_MATCH,natural,0.9637187076732516,20260830
,1,1,2,0.8957290484637875,CALIB_ENERGY_SDEDIT_WRONG,natural,0.9541273976986607,20260830
,1,1,2,0.8901705813720279,POP_ENERGY_SDEDIT,natural,1.0623008695741494,20260830
1.1205548363698956,1,1,8,,CALIB_ENERGY_DET_MATCH,paired,,20260830
1.152111183753732,1,1,8,,CALIB_ENERGY_DET_WRONG,paired,,20260830
1.1284358462689852,1,1,8,,POP_ENERGY_DET,paired,,20260830
1.1183344270042046,1,1,8,,CALIB_ENERGY_SDEDIT_MATCH,paired,,20260830
1.149818248852777,1,1,8,,CALIB_ENERGY_SDEDIT_WRONG,paired,,20260830
1.1315925402074452,1,1,8,,POP_ENERGY_SDEDIT,paired,,20260830
,1,1,8,0.9368985614758761,CALIB_ENERGY_DET_MATCH,natural,0.9715583370998502,20260830
,1,1,8,0.9430221112415893,CALIB_ENERGY_DET_WRONG,natural,0.9788940033564965,20260830
,1,1,8,0.9334537610290378,POP_ENERGY_DET,natural,1.1182040832936764,20260830
,1,1,8,0.9368901910784189,CALIB_ENERGY_SDEDIT_MATCH,natural,0.9898797341932853,20260830
,1,1,8,0.9419289325123827,CALIB_ENERGY_SDEDIT_WRONG,natural,0.976746634269754,20260830
,1,1,8,0.9355588935795822,POP_ENERGY_SDEDIT,natural,1.0883740012844403,20260830
