budget_seconds,heldout_study,fold_id,recording_key,predicted_lambda,oracle_lambda,relative_improvement,lambda_absolute_error
60.0,study01,study01_layout_01_heldout_00,study01/study01_p01,0.5190910509474854,0.6,0.22596514593183537,0.08090894905251456
60.0,study01,study01_layout_01_heldout_00,study01/study01_p02,0.6682825282579806,0.78,0.23221260059152016,0.1117174717420194
60.0,study01,study01_layout_01_heldout_00,study01/study01_p03,0.7466606884523606,0.99,0.5544080048487907,0.24333931154763944
60.0,study01,study01_layout_01_heldout_01,study01/study01_p04,0.6484950231709979,0.54,0.2863153855789347,0.1084950231709979
60.0,study01,study01_layout_01_heldout_01,study01/study01_p05,0.8768885618050309,0.04,-0.5115596025753343,0.8368885618050309
60.0,study02,study02_layout_02_heldout_00,study02/study02_p02,0.7438623183880726,0.59,0.1969798336453196,0.15386231838807263
60.0,study02,study02_layout_02_heldout_00,study02/study02_p03,0.6284270968588465,0.25,-0.04709804817739062,0.37842709685884646
60.0,study02,study02_layout_02_heldout_00,study02/study02_p06,0.5925205496982883,0.41000000000000003,0.11795508541131086,0.18252054969828824
60.0,study02,study02_layout_02_heldout_01,study02/study02_p07,0.8463286908480884,0.0,-0.7205639144338369,0.8463286908480884
60.0,study02,study02_layout_02_heldout_01,study02/study02_p08,0.6210781515932396,1.0,0.39845290810903783,0.37892184840676035
60.0,study02,study02_layout_02_heldout_02,study02/study02_p09,0.725359612196053,0.9400000000000001,0.5517077708691728,0.214640387803947
60.0,study02,study02_layout_02_heldout_02,study02/study02_p10,0.5389343036935715,1.0,0.24799424911574394,0.46106569630642846
60.0,study02,study02_layout_02_heldout_03,study02/study02_p11,0.9473086719726443,0.5700000000000001,0.05612873689592839,0.3773086719726443
60.0,study02,study02_layout_02_heldout_03,study02/study02_p12,0.3909965496404624,0.31,0.06804503012061972,0.08099654964046238
60.0,study02,study02_layout_02_heldout_04,study02/study02_p13,0.9289299969828727,0.39,-0.07528552608715525,0.5389299969828727
60.0,study02,study02_layout_02_heldout_04,study02/study02_p14,0.49530291827080114,0.9500000000000001,0.2725209933695692,0.4546970817291989
60.0,study02,study02_layout_02_heldout_05,study02/study02_p15,0.5224119393037664,0.38,0.07788606243955215,0.1424119393037664
60.0,study02,study02_layout_02_heldout_05,study02/study02_p16,0.6021559962657022,0.39,0.05041513907183347,0.21215599626570214
60.0,study02,study02_layout_02_heldout_06,study02/study02_p17,0.7572743691373969,0.37,-0.015866046811308772,0.3872743691373969
60.0,study02,study02_layout_02_heldout_06,study02/study02_p18,0.5237120017086043,0.47000000000000003,0.18050033774141483,0.053712001708604296
60.0,study03,study03_layout_03_heldout_00,study03/study03_p03,0.5071794227890404,0.27,0.016819642689641794,0.23717942278904036
60.0,study03,study03_layout_03_heldout_00,study03/study03_p19,0.7229876178394425,0.98,0.4547162718396189,0.25701238216055744
60.0,study03,study03_layout_03_heldout_01,study03/study03_p20,0.5925053541179354,0.73,0.2680739309809767,0.13749464588206461
60.0,study03,study03_layout_03_heldout_01,study03/study03_p21,0.6514775661904963,1.0,0.2580205558085484,0.34852243380950365
60.0,study03,study03_layout_03_heldout_02,study03/study03_p22,0.48971828481440877,0.6,0.23782795549724867,0.11028171518559121
60.0,study03,study03_layout_03_heldout_02,study03/study03_p23,0.6358715642412646,0.87,0.22310000415900666,0.23412843575873543
60.0,study03,study03_layout_03_heldout_03,study03/study03_p24,0.687536918605082,0.88,0.27539305357033755,0.19246308139491797
60.0,study03,study03_layout_03_heldout_03,study03/study03_p25,0.6414548764436141,0.67,0.29404850040310493,0.028545123556385943
60.0,study03,study03_layout_03_heldout_04,study03/study03_p26,0.6133704879575356,0.4,0.11703950393277121,0.21337048795753555
60.0,study03,study03_layout_03_heldout_04,study03/study03_p27,0.7631837426548965,0.96,0.17768462760112932,0.19681625734510344
60.0,study04,study04_layout_04_heldout_00,study04/study04_p03,0.4417169300835527,0.32,0.0958647268378974,0.12171693008355267
60.0,study04,study04_layout_04_heldout_00,study04/study04_p08,0.5165010580988635,1.0,0.2781428329547872,0.4834989419011365
60.0,study04,study04_layout_04_heldout_00,study04/study04_p24,0.6497831923594598,0.8200000000000001,0.33177942512153163,0.17021680764054026
60.0,study04,study04_layout_04_heldout_01,study04/study04_p28,0.6546632969521656,0.59,0.18169325432847916,0.06466329695216566
60.0,study04,study04_layout_04_heldout_01,study04/study04_p29,0.5256253781281874,0.65,0.1405738938150764,0.12437462187181259
60.0,study04,study04_layout_04_heldout_02,study04/study04_p30,0.5098196573783301,0.51,0.19431349620273766,0.00018034262166988224
60.0,study04,study04_layout_04_heldout_02,study04/study04_p31,0.4961865907287208,0.47000000000000003,0.1704177837884831,0.02618659072872076
60.0,study04,study04_layout_04_heldout_03,study04/study04_p32,0.5747505472539302,0.26,-0.009147616932655995,0.31475054725393015
60.0,study04,study04_layout_04_heldout_03,study04/study04_p33,0.5246912019430443,1.0,0.17222081289965652,0.4753087980569557
60.0,study04,study04_layout_04_heldout_04,study04/study04_p34,0.6559058826036173,0.48,0.1303481362851367,0.17590588260361728
60.0,study04,study04_layout_04_heldout_04,study04/study04_p35,0.6848134090978065,0.65,0.23259014343322057,0.0348134090978065
60.0,study04,study04_layout_04_heldout_05,study04/study04_p36,0.6145437935616402,0.56,0.16427409656868897,0.054543793561640186
60.0,study04,study04_layout_04_heldout_05,study04/study04_p37,0.7464677781301232,0.58,0.2344800263303539,0.16646777813012326
