metric,unit,clusters,units,mean,median,ci_low,ci_high,positive_count,replicates,scope
U_D,participant_stem,4,9,0.009298693802621629,0.006541728973388672,-0.003788999550872378,0.026804134249687195,7,20000,development_descriptive
U_P,participant_stem,4,9,0.01591096818447113,0.0034241080284118652,-0.03341121785342693,0.0752645917236805,7,20000,development_descriptive
U_W,participant_stem,4,9,0.024539598160319857,0.005578234791755676,-0.031184986233711243,0.1086239255964756,6,20000,development_descriptive
U_S,participant_stem,4,9,-0.004028252429432339,0.0003590881824493408,-0.041261627856228084,0.015633629126982254,6,20000,development_descriptive
