method,units,rrmse_mean,correlation_mean,delta_snr_mean,fallback_units
DET-EB-DEPLOY120,9,0.5246847768624624,0.8562655315879878,1.4160403800714347,0
DET-EB-FIXED120,9,0.5246847768624624,0.8562655315879878,1.4160403800714347,0
DET-MATCH120,9,0.5119602051046159,0.8637350323935414,1.5920291033883889,0
DET-POP,9,0.5371933082739512,0.8528331844164176,1.3831434005664454,0
DIFF-EB-DEPLOY120,9,0.5153860830598407,0.8617595958148053,1.7062233828215136,0
DIFF-EB-FIXED120,9,0.5153860830598407,0.8617595958148053,1.7062233828215136,0
DIFF-EB-SHUFFLED120,9,0.5113578306304084,0.8632431635084159,1.8624272694190342,0
DIFF-EB-WRONG120-0,9,0.5387309706873364,0.8525225425316596,1.570617047448953,0
DIFF-EB-WRONG120-1,3,0.6044043103853861,0.818009463408722,-0.29132600873708725,0
DIFF-MATCH120,9,0.5007253537575403,0.8705534167776594,1.9116651949783166,0
DIFF-POP,9,0.5312970512443118,0.8553597362227792,1.6533552976842556,0
RAW,9,0.7083979745705923,0.8268563758028779,0.0,0
