budget_seconds,fold_id,study,recording_key,arm,composite_proxy,fixed_lambda,reliability_lambda,full_lambda,normalized_frobenius,frequency_magnitude,frequency_phase,common_eog_response
60.0,study01_layout_01_heldout_00,study01,study01/study01_p01,POP,1.3129620458613802,0.51,0.18915899941811135,0.0,0.7180011910139011,0.4135754149876983,0.6592577339416826,0.8334608574795136
60.0,study01_layout_01_heldout_00,study01,study01/study01_p01,RAW_MATCH,1.185818805725145,0.51,0.18915899941811135,0.0,0.7245214333213126,0.41934154600249585,0.788613938784428,0.6876158658442063
60.0,study01_layout_01_heldout_00,study01,study01/study01_p01,FIXED_LAMBDA,1.0183633459540289,0.51,0.18915899941811135,0.0,0.6237120782401518,0.34502254902999324,0.5786986246546737,0.6154709344585683
60.0,study01_layout_01_heldout_00,study01,study01/study01_p01,RELIABILITY_ONLY,1.1756108664384242,0.51,0.18915899941811135,0.0,0.6764548504310228,0.3876060057340629,0.6117824447240985,0.7268266162319514
60.0,study01_layout_01_heldout_00,study01,study01/study01_p01,FULL_FEATURE,1.3129620458613802,0.51,0.18915899941811135,0.0,0.7180011910139011,0.4135754149876983,0.6592577339416826,0.8334608574795136
60.0,study01_layout_01_heldout_00,study01,study01/study01_p01,EB_SHUFFLED,1.3129620458613802,0.51,0.18915899941811135,0.0,0.7180011910139011,0.4135754149876983,0.6592577339416826,0.8334608574795136
60.0,study01_layout_01_heldout_00,study01,study01/study01_p01,EB_WRONG_0,1.3129620458613802,0.51,0.18915899941811135,0.0,0.7180011910139009,0.4135754149876983,0.6592577339416827,0.8334608574795136
60.0,study01_layout_01_heldout_00,study01,study01/study01_p01,EB_WRONG_1,1.3129620458613802,0.51,0.18915899941811135,0.0,0.7180011910139009,0.4135754149876983,0.6592577339416827,0.8334608574795136
60.0,study01_layout_01_heldout_00,study01,study01/study01_p02,POP,1.3815881611305194,0.51,0.9695543270213285,0.0,0.7998416860110453,0.5339441078028986,0.726043841741965,0.7750396691534245
60.0,study01_layout_01_heldout_00,study01,study01/study01_p02,RAW_MATCH,1.0928540537297908,0.51,0.9695543270213285,0.0,0.6856537330255942,0.3657016875834049,0.739614150940541,0.6531909510523319
