epoch,step,train_loss,validation_loss,best
8,261,0.04691432827505572,0.059240334754467903,False
17,522,0.023049058778018786,0.05353034460700853,False
25,754,0.01102785820719497,0.05466882834273778,False
34,1015,0.006162511939504023,0.05576233478604854,False
43,1276,0.004321917120752664,0.05233397769431273,False
51,1508,0.0031551906180664383,0.05351829664146856,False
60,1769,0.0031285387190893806,0.05390592244513026,False
68,2001,0.002506548338087982,0.052320586301191026,False
77,2262,0.003302314543518527,0.05455315299332142,False
86,2523,0.001662761848098759,0.05191107060104497,False
94,2755,0.0015545348749207012,0.05155172780825851,False
103,3016,0.0022378538630838537,0.05269984545862853,True
112,3277,0.0012108016606612966,0.052097330407033696,True
120,3509,0.0009183657038475162,0.050584738278824294,True
129,3770,0.0014632732872369475,0.05064522717775923,False
137,4002,0.001079397627297018,0.0505838721139489,True
146,4263,0.0010624650347945761,0.049547218972265945,True
155,4524,0.0011422772939991333,0.05072169363749831,False
163,4756,0.000960751241956163,0.05012752597781826,False
172,5017,0.0009983438408355519,0.05135787976033679,False
181,5278,0.0007409642607069992,0.05061018642749679,False
189,5510,0.0017753554114686518,0.055943049274189645,False
198,5771,0.0009156284564784888,0.05043756892060519,False
206,6000,0.0006886483192479668,0.05073959911277008,False
