participant,protocol,late_steps,w_max,center,artifact_rrmse,weight_min,weight_median,weight_max,fraction_steps_gt_0_10,fraction_steps_gt_0_25,fraction_steps_gt_0_50,fraction_steps_gt_0_90,evaluator_only
1,same_01,0,0.0,zero,0.3311431905035254,0,0,0,0,0,0,0,1
1,same_01,0,0.0,support,0.3311431905035254,0,0,0,0,0,0,0,1
1,same_01,0,0.0,wrong,0.3311431905035254,0,0,0,0,0,0,0,1
1,same_01,0,0.0,oracle,0.3311431905035254,0,0,0,0,0,0,0,1
1,same_01,1,0.05,zero,0.33113030933953447,4.1306015191366896e-05,4.1306015191366896e-05,4.1306015191366896e-05,0.0,0.0,0.0,0.0,1
1,same_01,1,0.05,support,0.3311280762413373,4.1306015191366896e-05,4.1306015191366896e-05,4.1306015191366896e-05,0.0,0.0,0.0,0.0,1
1,same_01,1,0.05,wrong,0.33113186161511055,4.1306015191366896e-05,4.1306015191366896e-05,4.1306015191366896e-05,0.0,0.0,0.0,0.0,1
1,same_01,1,0.05,oracle,0.33112785837809855,4.1306015191366896e-05,4.1306015191366896e-05,4.1306015191366896e-05,0.0,0.0,0.0,0.0,1
1,same_01,1,0.1,zero,0.33113030933953447,4.1306015191366896e-05,4.1306015191366896e-05,4.1306015191366896e-05,0.0,0.0,0.0,0.0,1
1,same_01,1,0.1,support,0.3311280762413373,4.1306015191366896e-05,4.1306015191366896e-05,4.1306015191366896e-05,0.0,0.0,0.0,0.0,1
1,same_01,1,0.1,wrong,0.33113186161511055,4.1306015191366896e-05,4.1306015191366896e-05,4.1306015191366896e-05,0.0,0.0,0.0,0.0,1
1,same_01,1,0.1,oracle,0.33112785837809855,4.1306015191366896e-05,4.1306015191366896e-05,4.1306015191366896e-05,0.0,0.0,0.0,0.0,1
1,same_01,1,0.25,zero,0.33113030933953447,4.1306015191366896e-05,4.1306015191366896e-05,4.1306015191366896e-05,0.0,0.0,0.0,0.0,1
1,same_01,1,0.25,support,0.3311280762413373,4.1306015191366896e-05,4.1306015191366896e-05,4.1306015191366896e-05,0.0,0.0,0.0,0.0,1
1,same_01,1,0.25,wrong,0.33113186161511055,4.1306015191366896e-05,4.1306015191366896e-05,4.1306015191366896e-05,0.0,0.0,0.0,0.0,1
1,same_01,1,0.25,oracle,0.33112785837809855,4.1306015191366896e-05,4.1306015191366896e-05,4.1306015191366896e-05,0.0,0.0,0.0,0.0,1
1,same_01,3,0.05,zero,0.326768169874616,4.1306015191366896e-05,0.006148516666144133,0.020261229947209358,0.0,0.0,0.0,0.0,1
1,same_01,3,0.05,support,0.325788629520302,4.1306015191366896e-05,0.006148516666144133,0.020261229947209358,0.0,0.0,0.0,0.0,1
1,same_01,3,0.05,wrong,0.32725188073044525,4.1306015191366896e-05,0.006148516666144133,0.020261229947209358,0.0,0.0,0.0,0.0,1
1,same_01,3,0.05,oracle,0.3262124824512854,4.1306015191366896e-05,0.006148516666144133,0.020261229947209358,0.0,0.0,0.0,0.0,1
1,same_01,3,0.1,zero,0.326768169874616,4.1306015191366896e-05,0.006148516666144133,0.020261229947209358,0.0,0.0,0.0,0.0,1
1,same_01,3,0.1,support,0.325788629520302,4.1306015191366896e-05,0.006148516666144133,0.020261229947209358,0.0,0.0,0.0,0.0,1
1,same_01,3,0.1,wrong,0.32725188073044525,4.1306015191366896e-05,0.006148516666144133,0.020261229947209358,0.0,0.0,0.0,0.0,1
1,same_01,3,0.1,oracle,0.3262124824512854,4.1306015191366896e-05,0.006148516666144133,0.020261229947209358,0.0,0.0,0.0,0.0,1
1,same_01,3,0.25,zero,0.326768169874616,4.1306015191366896e-05,0.006148516666144133,0.020261229947209358,0.0,0.0,0.0,0.0,1
1,same_01,3,0.25,support,0.325788629520302,4.1306015191366896e-05,0.006148516666144133,0.020261229947209358,0.0,0.0,0.0,0.0,1
1,same_01,3,0.25,wrong,0.32725188073044525,4.1306015191366896e-05,0.006148516666144133,0.020261229947209358,0.0,0.0,0.0,0.0,1
1,same_01,3,0.25,oracle,0.3262124824512854,4.1306015191366896e-05,0.006148516666144133,0.020261229947209358,0.0,0.0,0.0,0.0,1
1,same_01,5,0.05,zero,0.3174038359822435,4.1306015191366896e-05,0.020261229947209358,0.05000000074505806,0.0,0.0,0.0,0.0,1
1,same_01,5,0.05,support,0.315228117515586,4.1306015191366896e-05,0.020261229947209358,0.05000000074505806,0.0,0.0,0.0,0.0,1
1,same_01,5,0.05,wrong,0.31862956179634216,4.1306015191366896e-05,0.020261229947209358,0.05000000074505806,0.0,0.0,0.0,0.0,1
1,same_01,5,0.05,oracle,0.3160696415081533,4.1306015191366896e-05,0.020261229947209358,0.05000000074505806,0.0,0.0,0.0,0.0,1
1,same_01,5,0.1,zero,0.31539870443152535,4.1306015191366896e-05,0.020261229947209358,0.07239992171525955,0.0,0.0,0.0,0.0,1
1,same_01,5,0.1,support,0.3130163426829158,4.1306015191366896e-05,0.020261229947209358,0.07239992171525955,0.0,0.0,0.0,0.0,1
1,same_01,5,0.1,wrong,0.3167920215420306,4.1306015191366896e-05,0.020261229947209358,0.07239992171525955,0.0,0.0,0.0,0.0,1
1,same_01,5,0.1,oracle,0.3139028009684748,4.1306015191366896e-05,0.020261229947209358,0.07239992171525955,0.0,0.0,0.0,0.0,1
1,same_01,5,0.25,zero,0.31539870443152535,4.1306015191366896e-05,0.020261229947209358,0.07239992171525955,0.0,0.0,0.0,0.0,1
1,same_01,5,0.25,support,0.3130163426829158,4.1306015191366896e-05,0.020261229947209358,0.07239992171525955,0.0,0.0,0.0,0.0,1
1,same_01,5,0.25,wrong,0.3167920215420306,4.1306015191366896e-05,0.020261229947209358,0.07239992171525955,0.0,0.0,0.0,0.0,1
1,same_01,5,0.25,oracle,0.3139028009684748,4.1306015191366896e-05,0.020261229947209358,0.07239992171525955,0.0,0.0,0.0,0.0,1
1,same_03,0,0.0,zero,0.7210172166184422,0,0,0,0,0,0,0,1
1,same_03,0,0.0,support,0.7210172166184422,0,0,0,0,0,0,0,1
1,same_03,0,0.0,wrong,0.7210172166184422,0,0,0,0,0,0,0,1
1,same_03,0,0.0,oracle,0.7210172166184422,0,0,0,0,0,0,0,1
1,same_03,1,0.05,zero,0.7210316284485264,4.1306015191366896e-05,4.1306015191366896e-05,4.1306015191366896e-05,0.0,0.0,0.0,0.0,1
1,same_03,1,0.05,support,0.7209925445142653,4.1306015191366896e-05,4.1306015191366896e-05,4.1306015191366896e-05,0.0,0.0,0.0,0.0,1
1,same_03,1,0.05,wrong,0.7210386267857689,4.1306015191366896e-05,4.1306015191366896e-05,4.1306015191366896e-05,0.0,0.0,0.0,0.0,1
