fold,heldout_outcomes_opened,late_steps,outer_training_artifact_rrmse,validation_rows,w_max
0,0,5,0.11891676786662886,32,0.25
1,0,5,0.1072419549845352,32,0.25
2,0,5,0.12215612773596396,32,0.25
3,0,5,0.1363996509580998,32,0.25
4,0,5,0.13871666732819737,32,0.25
5,0,5,0.13213652387009503,32,0.25
6,0,5,0.1262726486728366,32,0.25
7,0,5,0.12614438474284148,32,0.25
8,0,5,0.16468999320070185,32,0.1
