deterministic_checkpoint_scopes,fallback_rate,median_correlation,median_e_parallel,median_e_perp,median_psd_distortion,median_rrmse,method_id,operator_source,source_records
,0.0,0.8546605797059283,1.2882429833215014,0.2885846304886528,0.8946577145226016,0.8360691432384889,M1_observation_warm_start_sdedit,population_projector,8
,0.0,0.7788940275027267,1.9419411230498245,0.03588935524900826,0.40663249359262404,1.2398832245298919,M2_final_hard_q_consistency,population_projector,8
,0.0,0.8091881462195247,5.665474823161986,0.06605206224593502,8.254066903402995,3.3402570320153733,M4_per_step_quadratic_proximal_q_consistency,population_projector,8
,0.0,0.9300462244542076,0.9975819633700775,0.026525931441050345,0.4325505705710805,0.6203157432586726,deterministic_Qy,population_projector,8
,0.0,0.9482156895620155,0.8358753629483102,0.01326296567300867,0.2252071797927247,0.5236674118077405,deterministic_soft_proximal,population_projector,8
population_projector,0.0,0.9893370320532713,0.41988744516638954,0.007298076129676643,0.11852354834437058,0.24415196886101417,task_matched_multichannel_deterministic_UNet,population_projector,8
,0.25,0.8546605629666253,1.2882430340581312,0.28858460949359677,0.8946578292591448,0.836069193418254,M1_observation_warm_start_sdedit,matching_p0,8
,0.25,0.7572229744717032,1.9081015875980307,0.20433030845099154,0.3947353175922449,1.2417214220055781,M2_final_hard_q_consistency,matching_p0,8
,0.25,0.7852285973665376,5.570327517162021,0.4459552046694054,9.175276551955765,3.320807277157492,M4_per_step_quadratic_proximal_q_consistency,matching_p0,8
,0.25,0.9224923264898897,0.9978051502101637,0.13917409206655718,0.4265721521758256,0.6237495991043235,deterministic_Qy,matching_p0,8
,0.25,0.9450857504420322,0.8403219712748289,0.06958704612897504,0.2351779441130136,0.5359181911929596,deterministic_soft_proximal,matching_p0,8
matching_p0|population_projector,0.25,0.9893021701518037,0.42182559380153006,0.008191383187001106,0.1182442190681366,0.24477926735792982,task_matched_multichannel_deterministic_UNet,matching_p0,8
,0.0,0.8546606617436929,1.2882431409269404,0.2885845958221668,0.8946578244179316,0.8360692414341533,M1_observation_warm_start_sdedit,query_derived_oracle_projector,8
,0.0,0.7737121946081832,1.9386185765653048,1.71393318256224e-07,0.4132596769866844,1.237414214476516,M2_final_hard_q_consistency,query_derived_oracle_projector,8
,0.0,0.8039617103260475,5.6889390636456945,0.012158696006890127,8.348411328016025,3.3535270839273483,M4_per_step_quadratic_proximal_q_consistency,query_derived_oracle_projector,8
,0.0,0.928467359297074,1.0000000000000002,5.6605424338389476e-08,0.4361911826322292,0.6212796382374934,deterministic_Qy,query_derived_oracle_projector,8
,0.0,0.9499363329783013,0.83650159140475,5.660542433788888e-08,0.22819042792025662,0.5239680918487175,deterministic_soft_proximal,query_derived_oracle_projector,8
query_derived_oracle_projector,0.0,0.9903743554995267,0.4034095627368467,0.008283660038333165,0.12606979604323512,0.23601095951262613,task_matched_multichannel_deterministic_UNet,query_derived_oracle_projector,8
