heldout_subject,protocol,match_pop_utility,match_wrong_utility,sessions
1,same_session,-0.07155540464591248,0.10295194031358398,5
1,cross_session,-0.12589232951628967,0.027432001822554786,2
2,same_session,-0.06544687348084734,0.10863375845250042,5
2,cross_session,0.005951629541671999,0.12734355514958148,2
3,same_session,0.1266275137838501,0.2867653088661978,5
3,cross_session,0.06452832982437216,0.19538063462140942,2
4,same_session,-0.05156560317182175,0.11227168264838032,5
4,cross_session,-0.11513242721732384,0.026482174810891435,2
5,same_session,0.13842149323823538,0.2675842265467337,5
5,cross_session,0.17538632992004075,0.29519679067973087,2
6,same_session,0.12345628660121419,0.3107355628248992,5
6,cross_session,0.11020809882900107,0.2560163771219227,2
7,same_session,-0.17243303357184853,-0.012147320646323734,5
7,cross_session,-0.051834023078774105,0.09651229139165346,2
8,same_session,0.09799644842696195,0.203654254585437,5
8,cross_session,0.09537645328277405,0.15652892681429872,2
9,same_session,0.10385459479129162,0.25997333902113773,5
9,cross_session,-0.11608159562463366,0.04605489354279632,2
