fold_id,method_id,status,successful_optimizer_updates,optimizer_step_attempts,skipped_optimizer_steps,parameter_count,training_walltime_seconds,peak_memory_mb,checkpoint,resumed,minibatch_sequence_updates,minibatch_sequence_verified
study01_fold01,task_matched_multichannel_deterministic_UNet,success_fixed_6000_update_endpoint,6000,6000,0,5551034,540.8943272999968,242.6796875,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/development/study01_fold01/task_matched_multichannel_deterministic_UNet/final.pt,False,6000,True
study01_fold01,operator_conditioned_conditional_diffusion_DDIM100,success_fixed_6000_update_endpoint,6000,6000,0,5569594,550.0621513250007,331.51123046875,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/development/study01_fold01/operator_conditioned_conditional_diffusion_DDIM100/final.pt,False,6000,True
study01_fold02,task_matched_multichannel_deterministic_UNet,success_fixed_6000_update_endpoint,6000,6000,0,5551034,525.6878441270092,242.6796875,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/development/study01_fold02/task_matched_multichannel_deterministic_UNet/final.pt,False,6000,True
study01_fold02,operator_conditioned_conditional_diffusion_DDIM100,success_fixed_6000_update_endpoint,6000,6000,0,5569594,527.8970326239942,330.7529296875,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/development/study01_fold02/operator_conditioned_conditional_diffusion_DDIM100/final.pt,False,6000,True
study01_fold03,task_matched_multichannel_deterministic_UNet,success_fixed_6000_update_endpoint,6000,6000,0,5551034,422.3842903971672,242.677734375,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/development/study01_fold03/task_matched_multichannel_deterministic_UNet/final.pt,False,6000,True
study01_fold03,operator_conditioned_conditional_diffusion_DDIM100,success_fixed_6000_update_endpoint,6000,6000,0,5569594,423.23747989255935,331.50927734375,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/development/study01_fold03/operator_conditioned_conditional_diffusion_DDIM100/final.pt,False,6000,True
study01_fold04,task_matched_multichannel_deterministic_UNet,success_fixed_6000_update_endpoint,6000,6000,0,5551034,433.5696539366618,242.677734375,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/development/study01_fold04/task_matched_multichannel_deterministic_UNet/final.pt,False,6000,True
study01_fold04,operator_conditioned_conditional_diffusion_DDIM100,success_fixed_6000_update_endpoint,6000,6000,0,5569594,428.1842043232173,330.7509765625,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/development/study01_fold04/operator_conditioned_conditional_diffusion_DDIM100/final.pt,False,6000,True
study01_fold05,task_matched_multichannel_deterministic_UNet,success_fixed_6000_update_endpoint,6000,6000,0,5551034,418.748002409935,242.677734375,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/development/study01_fold05/task_matched_multichannel_deterministic_UNet/final.pt,False,6000,True
study01_fold05,operator_conditioned_conditional_diffusion_DDIM100,success_fixed_6000_update_endpoint,6000,6000,0,5569594,419.47439359873533,330.7509765625,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/development/study01_fold05/operator_conditioned_conditional_diffusion_DDIM100/final.pt,False,6000,True
study03_fold01,task_matched_multichannel_deterministic_UNet,success_fixed_6000_update_endpoint,6000,6000,0,5790272,425.93139897473156,260.75244140625,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/development/study03_fold01/task_matched_multichannel_deterministic_UNet/final.pt,False,6000,True
study03_fold01,operator_conditioned_conditional_diffusion_DDIM100,success_fixed_6000_update_endpoint,6000,6000,0,5810752,424.87032891158015,359.4560546875,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/development/study03_fold01/operator_conditioned_conditional_diffusion_DDIM100/final.pt,False,6000,True
study03_fold02,task_matched_multichannel_deterministic_UNet,success_fixed_6000_update_endpoint,6000,6000,0,5790272,535.887481789,260.31494140625,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/development/study03_fold02/task_matched_multichannel_deterministic_UNet/final.pt,False,6000,True
study03_fold02,operator_conditioned_conditional_diffusion_DDIM100,success_fixed_6000_update_endpoint,6000,6000,0,5810752,537.102173927,360.689453125,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/development/study03_fold02/operator_conditioned_conditional_diffusion_DDIM100/final.pt,False,6000,True
study03_fold03,task_matched_multichannel_deterministic_UNet,success_fixed_6000_update_endpoint,6000,6000,0,5790272,503.5563097950071,260.31494140625,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/development/study03_fold03/task_matched_multichannel_deterministic_UNet/final.pt,False,6000,True
study03_fold03,operator_conditioned_conditional_diffusion_DDIM100,success_fixed_6000_update_endpoint,6000,6000,0,5810752,507.60078834416345,360.689453125,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/development/study03_fold03/operator_conditioned_conditional_diffusion_DDIM100/final.pt,False,6000,True
study03_fold04,task_matched_multichannel_deterministic_UNet,success_fixed_6000_update_endpoint,6000,6000,0,5790272,403.3952322030091,260.31494140625,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/development/study03_fold04/task_matched_multichannel_deterministic_UNet/final.pt,False,6000,True
study03_fold04,operator_conditioned_conditional_diffusion_DDIM100,success_fixed_6000_update_endpoint,6000,6000,0,5810752,398.19583058101125,360.689453125,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/development/study03_fold04/operator_conditioned_conditional_diffusion_DDIM100/final.pt,False,6000,True
study03_fold05,task_matched_multichannel_deterministic_UNet,success_fixed_6000_update_endpoint,6000,6000,0,5790272,518.6516663680086,260.31494140625,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/development/study03_fold05/task_matched_multichannel_deterministic_UNet/final.pt,False,6000,True
study03_fold05,operator_conditioned_conditional_diffusion_DDIM100,success_fixed_6000_update_endpoint,6000,6000,0,5810752,506.24686273001134,360.689453125,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/development/study03_fold05/operator_conditioned_conditional_diffusion_DDIM100/final.pt,False,6000,True
