kind,restoration_validation_mse,step,training_loss
population,0.1636838475242257,500,0.15058115124702454
population,0.16588383754715325,1000,0.10875645279884338
population,0.16265768548473716,1500,0.10602457076311111
population,0.16763096041977404,2000,0.07535961270332336
population,0.17081805868074298,2500,0.09825828671455383
population,0.17007726337760687,3000,0.13066676259040833
population,0.1727562315762043,3500,0.0968598946928978
population,0.17342678755521773,4000,0.08074137568473816
population,0.17605332704260945,4500,0.06941977143287659
population,0.1782690916210413,5000,0.07133861631155014
population,0.17350304760038854,5500,0.06667105108499527
