K,participant,excluded_donor,utility,remaining_donors
1,1,2,0.02291899493762425,7
1,1,3,0.015466123819351196,7
1,1,4,0.03018694051674434,7
1,1,5,0.03356962970324925,7
1,1,6,0.025673866271972656,7
1,1,7,0.02769005298614502,7
1,1,8,0.024833687714168003,7
1,1,9,0.027503337178911482,7
1,2,1,0.015482769125983873,7
1,2,3,0.004587362919534995,7
1,2,4,0.015893565047354976,7
1,2,5,0.01690579666977841,7
1,2,6,0.01010076985472729,7
1,2,7,0.011945786220686816,7
1,2,8,0.008828537095160762,7
1,2,9,0.00888627128941676,7
1,3,1,0.006004170292899703,7
1,3,2,0.0038044977755773424,7
1,3,4,0.00747846563657123,7
1,3,5,0.006259008532478675,7
1,3,6,0.004807808569499409,7
1,3,7,0.0036559473900567734,7
1,3,8,0.00327548810413904,7
1,3,9,0.0010657381443750105,7
1,4,1,0.019018735204424177,7
1,4,2,0.012442565390041896,7
1,4,3,0.011114640604882011,7
1,4,5,0.017550436513764516,7
1,4,6,0.014587100772630599,7
1,4,7,0.015562052528063459,7
1,4,8,0.014232562411399117,7
1,4,9,0.01679342346532004,7
1,5,1,0.019596416325796166,7
1,5,2,0.015405598850477256,7
1,5,3,0.016039474379448606,7
1,5,4,0.022715567832901313,7
1,5,6,0.017905139497348194,7
1,5,7,0.021460079721042042,7
1,5,8,0.020426173295293486,7
1,5,9,0.0215282376323427,7
1,6,1,-0.025673676104772638,7
1,6,2,-0.027347290799731274,7
1,6,3,-0.030667087861469797,7
1,6,4,-0.022172702210290076,7
1,6,5,-0.017317410026277798,7
1,6,7,-0.02565336369332811,7
1,6,8,-0.026277103594371236,7
1,6,9,-0.026507305247443047,7
1,7,1,0.0015979749815804936,7
1,7,2,-0.0018705299922397842,7
1,7,3,-0.001595204784756578,7
1,7,4,0.005119516735985192,7
1,7,5,0.0047560916060493475,7
1,7,6,0.0013724267482757885,7
1,7,8,-0.00010616722561061578,7
1,7,9,-0.0007860291571843822,7
1,8,1,0.01776263969285149,7
1,8,2,0.010811049313772312,7
1,8,3,0.013308837300255203,7
1,8,4,0.017248451709747332,7
1,8,5,0.015818167300451387,7
1,8,6,0.013157442921683915,7
1,8,7,0.014926683335077209,7
1,8,9,0.014778269188744697,7
1,9,1,0.021584471066792826,7
1,9,2,0.019173508598690967,7
1,9,3,0.017367113204229474,7
1,9,4,0.022639677638099327,7
1,9,5,0.024460772673289007,7
1,9,6,0.019795891784486343,7
1,9,7,0.022555813902900353,7
1,9,8,0.019925015313284753,7
8,1,2,0.022020978587014333,7
8,1,3,0.01561699594770159,7
8,1,4,0.028600658689226423,7
8,1,5,0.03254193493298122,7
8,1,6,0.026011535099574497,7
8,1,7,0.02476594703538077,7
8,1,8,0.02465849050453731,7
8,1,9,0.026544896619660512,7
8,2,1,0.010413804224559255,7
8,2,3,0.002488652865091978,7
8,2,4,0.008966687179747095,7
8,2,5,0.013325919707616183,7
8,2,6,0.007649804864610961,7
8,2,7,0.003705954267865154,7
8,2,8,0.0038567611149379344,7
8,2,9,0.003426864033653641,7
8,3,1,0.004485956260136188,7
8,3,2,0.003074724759374338,7
8,3,4,0.004220046457790188,7
8,3,5,0.004257874119849426,7
8,3,6,0.004251368698619655,7
8,3,7,-0.0003242031449363398,7
8,3,8,0.0008778423070907514,7
8,3,9,-0.0019031755980991288,7
8,4,1,0.008754382530848188,7
8,4,2,0.004220941946620038,7
8,4,3,0.0029874224038351177,7
8,4,5,0.010553675748053057,7
8,4,6,0.008469118248848693,7
8,4,7,0.004745833220936009,7
8,4,8,0.005420604632014325,7
8,4,9,0.007373933990796412,7
8,5,1,0.017594152972811767,7
8,5,2,0.013330082098643012,7
8,5,3,0.014203598101933819,7
8,5,4,0.0196030310222081,7
8,5,6,0.016823568514415212,7
8,5,7,0.017298898526600444,7
8,5,8,0.01841920472326735,7
8,5,9,0.01940368612607322,7
8,6,1,-0.011784437156858943,7
8,6,2,-0.015162985239710167,7
8,6,3,-0.01795794637430287,7
8,6,4,-0.01031185544672471,7
8,6,5,-0.0036657998959223853,7
8,6,7,-0.015093707612582654,7
8,6,8,-0.013951359050614533,7
8,6,9,-0.014791181399708753,7
8,7,1,0.002059415692374841,7
8,7,2,0.0016958827064151067,7
8,7,3,0.0028556329863412278,7
8,7,4,0.006721438396544702,7
8,7,5,0.007858253660656178,7
8,7,6,0.007197253760837392,7
8,7,8,0.004313092856180122,7
8,7,9,0.003435925358817712,7
8,8,1,0.017233200726054942,7
8,8,2,0.012353413516566849,7
8,8,3,0.014729449791567642,7
8,8,4,0.016706870780104664,7
8,8,5,0.015247006856259824,7
8,8,6,0.014394285068625477,7
8,8,7,0.014898520495210352,7
8,8,9,0.015322021430446966,7
8,9,1,0.005198048693793145,7
8,9,2,0.0009236215125946587,7
8,9,3,0.0013222091254733725,7
8,9,4,0.003083150301660794,7
8,9,5,0.006168390313784268,7
8,9,6,0.0032140236525308335,7
8,9,7,0.0017374803622563495,7
8,9,8,0.0023477056196757567,7
