K,participant,U_P,U_W_donor_mean,U_W_donor_median,DET_minus_DIFF,K8_minus_K1,donors
1,1,0.021568015217781067,0.025980329141020775,0.021722421050071716,-0.0325988233089447,0.11167886853218079,8
1,2,0.006609439849853516,0.011578857277830486,0.015467911958694514,-0.07556266585985816,0.11921053131421405,8
1,3,0.0028671622276306152,0.004543890555699648,0.006208052237828554,-0.04896022876103723,0.08038888374964398,8
1,4,0.005806863307952881,0.015162689611315727,0.01577948033809662,-0.06547343730926514,0.09892783562342328,8
1,5,0.015122423569361332,0.01938458594183122,0.014997623860835974,-0.062493244806925474,0.07057410478591924,8
1,6,-0.013628621896108029,-0.025201992442210497,-0.019788210590680422,-0.05875343084335327,0.06796554724375403,8
1,7,-0.001924733320871952,0.0010610098640124327,0.004056170582771357,-0.08918487032254535,0.1321253975232442,8
1,8,0.006361216306686401,0.014726442595322943,0.013844206929206876,-0.05035253365834552,0.09156643847624457,8
1,9,0.020449141661326165,0.02093778302272163,0.02221906185150152,-0.09908303618431086,0.09789720177650446,8
8,1,0.021853089332580566,0.025095179677009583,0.023040249943733215,0.07908004522323608,0.11167886853218079,8
8,2,0.0023022194703420373,0.006729306032260275,0.01356146732966107,0.043647865454355894,0.11921053131421405,8
8,3,-0.005870819091796875,0.002367554232478135,-0.006591265400250762,0.03142865498860675,0.08038888374964398,8
8,4,-0.0006686846415201453,0.00656573909024398,0.007745027542114258,0.03345439831415814,0.09892783562342328,8
8,5,0.010533720254898071,0.017084527760744116,0.01455054183801019,0.00808085997899377,0.07057410478591924,8
8,6,-0.0035866896311442797,-0.012839909022053127,-0.0021203806002935144,0.00921211640040076,0.06796554724375403,8
8,7,-0.0003315905729929236,0.00451711192727091,0.009015331665674864,0.04294052720069885,0.1321253975232442,8
8,8,0.006607602039972904,0.01511059608310459,0.015375422934691102,0.04121390481789905,0.09156643847624457,8
8,9,0.003547916809717777,0.0029993286977211472,0.004986633857091249,-0.0011858344078063965,0.09789720177650446,8
