evaluator_contains_C_query,guard_seconds,inference_contains_C_query,participant,qgen_seconds,qnatural_seconds,session,status,support_seconds,task
True,30.0,False,sub-02,120.0,388.45,ses-02,eligible,120.0,ERP
True,30.0,False,sub-02,120.0,233.95,ses-02,eligible,120.0,SSVEP
True,30.0,False,sub-02,120.0,384.32,ses-03,eligible,120.0,ERP
True,30.0,False,sub-02,120.0,233.04,ses-03,eligible,120.0,SSVEP
True,30.0,False,sub-02,120.0,390.57,ses-04,eligible,120.0,ERP
True,30.0,False,sub-02,120.0,245.0,ses-04,eligible,120.0,SSVEP
