evaluator_contains_C_query,guard_seconds,inference_contains_C_query,participant,qgen_seconds,qnatural_seconds,session,status,support_seconds,task
True,30.0,False,sub-21,120.0,532.55,ses-02,eligible,120.0,ERP
True,30.0,False,sub-21,120.0,249.98,ses-02,eligible,120.0,SSVEP
True,30.0,False,sub-21,120.0,435.27,ses-03,eligible,120.0,ERP
True,30.0,False,sub-21,120.0,245.84,ses-03,eligible,120.0,SSVEP
True,30.0,False,sub-21,120.0,710.58,ses-04,eligible,120.0,ERP
True,30.0,False,sub-21,120.0,242.08,ses-04,eligible,120.0,SSVEP
