evaluator_contains_C_query,guard_seconds,inference_contains_C_query,participant,qgen_seconds,qnatural_seconds,session,status,support_seconds,task
True,30.0,False,sub-24,120.0,381.97,ses-02,eligible,120.0,ERP
,,,sub-24,,,ses-02,blocked_missing_prepared,,SSVEP
True,30.0,False,sub-24,120.0,375.81,ses-03,eligible,120.0,ERP
,,,sub-24,,,ses-03,blocked_missing_prepared,,SSVEP
True,30.0,False,sub-24,120.0,385.0,ses-04,eligible,120.0,ERP
,,,sub-24,,,ses-04,blocked_missing_prepared,,SSVEP
