development_epsilon_mse_diagnostic_only,epoch,step,train_epsilon_mse
0.177681466235834,49,250,0.21030249297618867
0.11073884499423645,99,500,0.14595702439546585
0.07956132358487915,149,750,0.10593820959329606
0.06070752814412117,199,1000,0.07197052165865898
0.049276655759004986,249,1250,0.06793743744492531
0.040905896574258804,299,1500,0.065729820728302
0.035978048053734446,349,1750,0.04354531541466713
0.03435000503326163,399,2000,0.039310337603092195
0.02931794184533989,449,2250,0.045650281384587287
0.0263668663580628,499,2500,0.03558541424572468
0.024498518063303304,549,2750,0.03128182291984558
0.021751357023330295,599,3000,0.03754246868193149
0.019931484123363215,649,3250,0.029456306621432303
0.01996505742563921,699,3500,0.023867572657763958
0.01875380432123647,749,3750,0.026484845206141472
0.018152698271853084,799,4000,0.022283225506544112
0.01830401430454324,849,4250,0.020862220041453838
0.01544353163198513,899,4500,0.020814088732004167
0.014422377516679904,949,4750,0.014731552824378014
0.014450425939524876,999,5000,0.01889738515019417
0.015890999916283524,1049,5250,0.01795677226036787
0.0140168335124412,1099,5500,0.020928822085261346
0.013867181616232675,1149,5750,0.016528098098933696
0.0126333482673063,1199,6000,0.01683769319206476
