kind,restoration_validation_mse,step,training_loss
deterministic,0.2170150232501328,500,0.09110338985919952
deterministic,0.21205521607771516,1000,0.09283920377492905
deterministic,0.22049629306420684,1500,0.08733301609754562
deterministic,0.23126466684043406,2000,0.05887781083583832
deterministic,0.2234300673007965,2500,0.0706619992852211
deterministic,0.22139249369502068,3000,0.07656101882457733
deterministic,0.22634971267543733,3500,0.08434375375509262
deterministic,0.22463553044945,4000,0.08292513340711594
deterministic,0.22902602194808425,4500,0.14290739595890045
deterministic,0.23481842349283397,5000,0.10866786539554596
