source\target,A01,A02,A03,A04,A05,A06,A07,A08,A09
A01,0.5071,0.2624,0.3213,0.2773,0.2525,0.2901,0.2943,0.2603,0.2404
A02,0.2695,0.4241,0.2518,0.2624,0.2645,0.2433,0.2064,0.2695,0.2809
A03,0.2922,0.2596,0.5972,0.2546,0.2511,0.2858,0.2532,0.2617,0.3631
A04,0.2539,0.2681,0.2553,0.2652,0.2794,0.2482,0.2617,0.2355,0.2312
A05,0.3156,0.2716,0.3177,0.2468,0.2830,0.2816,0.3142,0.2546,0.2879
A06,0.2695,0.2404,0.3362,0.2454,0.2369,0.2922,0.2844,0.2830,0.2702
A07,0.3695,0.2440,0.3418,0.2766,0.2695,0.2844,0.4255,0.2794,0.2950
A08,0.2553,0.2879,0.3035,0.2475,0.2610,0.2617,0.2660,0.3943,0.2851
A09,0.2780,0.2660,0.2539,0.2511,0.2553,0.2482,0.2461,0.2234,0.3447
