source\target,A01,A02,A03,A04,A05,A06,A07,A08,A09
A01,1.0000,0.9964,0.9806,0.9963,0.9972,0.9956,0.9973,0.9935,0.9870
A02,0.9964,1.0000,0.9869,0.9972,0.9955,0.9979,0.9948,0.9965,0.9841
A03,0.9806,0.9869,1.0000,0.9835,0.9825,0.9844,0.9731,0.9897,0.9531
A04,0.9963,0.9972,0.9835,1.0000,0.9978,0.9958,0.9959,0.9941,0.9832
A05,0.9972,0.9955,0.9825,0.9978,1.0000,0.9955,0.9955,0.9914,0.9820
A06,0.9956,0.9979,0.9844,0.9958,0.9955,1.0000,0.9933,0.9950,0.9867
A07,0.9973,0.9948,0.9731,0.9959,0.9955,0.9933,1.0000,0.9913,0.9909
A08,0.9935,0.9965,0.9897,0.9941,0.9914,0.9950,0.9913,1.0000,0.9817
A09,0.9870,0.9841,0.9531,0.9832,0.9820,0.9867,0.9909,0.9817,1.0000
