source\target,A01,A02,A03,A04,A05,A06,A07,A08,A09
A01,0.7935,0.7805,0.7307,0.7815,0.7859,0.7816,0.8018,0.7692,0.8091
A02,0.8002,0.7922,0.7330,0.7892,0.7915,0.7936,0.8108,0.7791,0.8241
A03,0.8775,0.8683,0.8398,0.8660,0.8703,0.8693,0.8794,0.8658,0.8786
A04,0.8387,0.8284,0.7743,0.8292,0.8313,0.8295,0.8481,0.8176,0.8584
A05,0.8359,0.8221,0.7697,0.8240,0.8310,0.8237,0.8432,0.8070,0.8494
A06,0.8309,0.8218,0.7694,0.8192,0.8223,0.8258,0.8387,0.8111,0.8536
A07,0.7947,0.7831,0.7237,0.7827,0.7855,0.7834,0.8070,0.7693,0.8182
A08,0.8465,0.8410,0.8036,0.8357,0.8350,0.8403,0.8519,0.8386,0.8604
A09,0.7965,0.7892,0.7296,0.7863,0.7878,0.7914,0.8075,0.7762,0.8241
