source\target,A01,A02,A03,A04,A05,A06,A07,A08,A09
A01,0.4411,0.2695,0.3532,0.2887,0.2312,0.2851,0.2645,0.2617,0.2730
A02,0.2830,0.3028,0.2496,0.2525,0.2262,0.2475,0.2369,0.2801,0.2688
A03,0.3007,0.2461,0.4702,0.2433,0.2511,0.2787,0.2830,0.3128,0.3312
A04,0.2638,0.2390,0.2660,0.2652,0.2652,0.2468,0.2695,0.2199,0.2816
A05,0.2908,0.2801,0.2915,0.2489,0.2730,0.2518,0.2525,0.2426,0.2475
A06,0.2546,0.2582,0.2716,0.2617,0.2695,0.2929,0.2759,0.2518,0.2461
A07,0.3858,0.2560,0.2752,0.2752,0.2376,0.2667,0.3206,0.2695,0.2745
A08,0.2702,0.2553,0.3262,0.2511,0.2411,0.2475,0.2922,0.3830,0.3206
A09,0.2887,0.2560,0.2539,0.2482,0.2390,0.2397,0.2681,0.2482,0.3433
