erp_amplitude_uv,erp_nontarget_epochs,erp_peak_latency_seconds,erp_split_half_reliability,erp_status,erp_target_epochs,erp_topography_norm,event_blocks,failure_reason,motion_coherence,participant,sealed_signal_opened,session,ssvep_epochs,ssvep_phase_consistency,ssvep_snr_db,ssvep_status,status,support_block_end,support_block_start,task
2.8251242637634277,240,0.0703125,0.5242951481687702,success,60,24.891101837158203,30,,0.007361894939094782,sub-02,False,ses-02,,,,,success,19.1,0.0,ERP
,,,,,,,1,,0.005763629917055368,sub-02,False,ses-02,60,0.49344583679403753,5.440216414440727,success,success,530.95,0.0,SSVEP
-3.0322649478912354,240,0.234375,0.3088373404590891,success,60,31.14406394958496,30,,0.06108454242348671,sub-02,False,ses-03,,,,,success,19.11,0.0,ERP
,,,,,,,1,,0.06964369863271713,sub-02,False,ses-03,60,0.5578541592425519,4.4324769776942485,success,success,530.03,0.0,SSVEP
5.5463762283325195,240,0.546875,0.10642891121847277,success,60,55.095672607421875,30,,0.2662490904331207,sub-02,False,ses-04,,,,,success,19.11,0.0,ERP
,,,,,,,1,,0.22874386608600616,sub-02,False,ses-04,60,0.5317492297542539,3.3371029720008094,success,success,542.0,0.0,SSVEP
4.357992172241211,240,0.5078125,0.4038025752151314,success,60,41.762840270996094,30,,0.005832953844219446,sub-03,False,ses-02,,,,,success,19.1,0.0,ERP
,,,,,,,1,,0.004409382119774818,sub-03,False,ses-02,60,0.14259204339413567,1.5991918129053342,success,success,537.9,0.0,SSVEP
2.8942999839782715,240,0.2734375,0.36482531537396096,success,60,22.85015869140625,30,,0.12722399830818176,sub-03,False,ses-03,,,,,success,19.12,0.0,ERP
,,,,,,,1,,0.13786758482456207,sub-03,False,ses-03,60,0.14760549361565325,1.5957968901398811,success,success,540.5,0.0,SSVEP
-4.69718599319458,240,0.09375,0.30934135055412176,success,60,34.575443267822266,30,,0.17003804445266724,sub-03,False,ses-04,,,,,success,19.1,0.0,ERP
,,,,,,,1,,0.16197970509529114,sub-03,False,ses-04,60,0.06701875724319624,0.5227203170400551,success,success,533.82,0.0,SSVEP
-2.4166862964630127,240,0.375,0.6734037088489995,success,60,27.174034118652344,30,,0.01414673775434494,sub-05,False,ses-02,,,,,success,20.22,0.0,ERP
,,,,,,,2,,0.00722670229151845,sub-05,False,ses-02,60,0.3963533949337293,5.235077913538058,success,success,129.22,0.0,SSVEP
-2.941965103149414,240,0.4140625,0.4513133622294556,success,60,36.405887603759766,30,,0.15817423164844513,sub-05,False,ses-03,,,,,success,20.21,0.0,ERP
,,,,,,,2,,0.15179793536663055,sub-05,False,ses-03,60,0.4237331464613993,4.840168614138092,success,success,129.63,0.0,SSVEP
-3.9545228481292725,240,0.296875,0.6393276649372578,success,60,36.25274658203125,30,,0.21784330904483795,sub-05,False,ses-04,,,,,success,20.19,0.0,ERP
,,,,,,,1,,0.16588039696216583,sub-05,False,ses-04,60,0.3417351216082492,4.519596659518023,success,success,539.25,0.0,SSVEP
-4.902613639831543,240,0.21875,0.7390339397785759,success,60,56.11201095581055,30,,0.002973878523334861,sub-06,False,ses-02,,,,,success,20.23,0.0,ERP
,,,,,,,1,,0.003576014656573534,sub-06,False,ses-02,60,0.21325264018403098,2.6679570354156366,success,success,534.85,0.0,SSVEP
-6.431145668029785,240,0.3515625,0.5132858220695545,success,60,59.5955696105957,30,,0.07232622802257538,sub-06,False,ses-03,,,,,success,20.19,0.0,ERP
,,,,,,,1,,0.15106193721294403,sub-06,False,ses-03,60,0.28628906798191545,2.3581735426237045,success,success,542.07,0.0,SSVEP
3.1910552978515625,240,0.03125,0.6153860173190538,success,60,27.78217887878418,30,,0.225236713886261,sub-06,False,ses-04,,,,,success,18.24,0.0,ERP
,,,,,,,1,,0.2741885483264923,sub-06,False,ses-04,60,0.42616019488734563,2.066137803127797,success,success,536.48,0.0,SSVEP
-3.059706687927246,240,0.3359375,0.5428855499533899,success,60,39.269344329833984,30,,0.005701055750250816,sub-07,False,ses-02,,,,,success,18.29,0.0,ERP
,,,,,,,1,,0.007476405706256628,sub-07,False,ses-02,60,0.3539573783248231,4.550295875658242,success,success,534.28,0.0,SSVEP
-4.53732442855835,240,0.359375,0.4853678799412057,success,60,38.52369689941406,30,,0.05047183111310005,sub-07,False,ses-03,,,,,success,18.26,0.0,ERP
,,,,,,,1,,0.037487711757421494,sub-07,False,ses-03,60,0.35561648139692265,4.653733690389445,success,success,534.31,0.0,SSVEP
-2.275010824203491,236,0.34375,0.21661411359760724,success,64,29.27505874633789,30,,0.11218517273664474,sub-07,False,ses-04,,,,,success,18.28,0.0,ERP
,,,,,,,1,,0.08537604659795761,sub-07,False,ses-04,60,0.18082169744441337,4.008342055414563,success,success,529.47,0.0,SSVEP
-1.6765908002853394,240,0.359375,0.5247832364713471,success,60,14.979042053222656,30,,0.017272550612688065,sub-09,False,ses-02,,,,,success,17.74,0.0,ERP
,,,,,,,1,,0.01049792394042015,sub-09,False,ses-02,60,0.41287844593405193,3.199131170986325,success,success,534.88,0.0,SSVEP
-3.570723533630371,240,0.3359375,0.1586349155670519,success,60,26.58999252319336,30,,0.08031266927719116,sub-09,False,ses-03,,,,,success,17.71,0.0,ERP
,,,,,,,1,,0.057479433715343475,sub-09,False,ses-03,60,0.33673273362704265,1.7705449006758787,success,success,536.38,0.0,SSVEP
-2.1314427852630615,240,0.71875,-0.03684854371889583,success,60,16.597803115844727,30,,0.15917053818702698,sub-09,False,ses-04,,,,,success,17.7,0.0,ERP
,,,,,,,1,,0.152052104473114,sub-09,False,ses-04,60,0.36784856648494135,1.4323920788266293,success,success,533.47,0.0,SSVEP
3.1379282474517822,160,0.171875,0.1272028286440794,success,40,28.239574432373047,20,,0.006339164916425943,sub-11,False,ses-02,,,,,success,19.65,0.0,ERP
,,,,,,,1,,0.005055565852671862,sub-11,False,ses-02,60,0.24248486435957958,2.791680881384316,success,success,572.41,0.0,SSVEP
-2.740318775177002,160,0.703125,0.34207020702956087,success,40,22.305418014526367,20,,0.09603992849588394,sub-11,False,ses-03,,,,,success,19.62,0.0,ERP
,,,,,,,1,,0.08297756314277649,sub-11,False,ses-03,60,0.07032551516457937,1.5018942311976302,success,success,558.99,0.0,SSVEP
-4.816529750823975,160,0.5234375,0.17052849791521174,success,40,56.61307144165039,20,,0.09841937571763992,sub-11,False,ses-04,,,,,success,19.45,0.0,ERP
,,,,,,,3,,0.1987050473690033,sub-11,False,ses-04,60,0.11667790427350234,2.2356247281110457,success,success,133.37,0.0,SSVEP
-4.013409614562988,240,0.3671875,0.24629222260515876,success,60,39.0129280090332,30,,0.0039507062174379826,sub-12,False,ses-02,,,,,success,18.73,0.0,ERP
,,,,,,,1,,0.007087040226906538,sub-12,False,ses-02,60,0.26930258146927155,2.716501119673824,success,success,544.37,0.0,SSVEP
-3.063020706176758,240,0.3828125,0.27329559686102867,success,60,38.91518783569336,30,,0.13579827547073364,sub-12,False,ses-03,,,,,success,18.73,0.0,ERP
,,,,,,,,ValueError: processed record has no IMU channels,,sub-12,False,ses-03,,,,,failed_evaluator,,,SSVEP
-4.692490100860596,240,0.3671875,-0.16219739508823391,success,60,41.494232177734375,30,,0.1984570324420929,sub-12,False,ses-04,,,,,success,18.72,0.0,ERP
,,,,,,,1,,0.22988705337047577,sub-12,False,ses-04,60,0.2674017601077503,2.159470490394961,success,success,535.53,0.0,SSVEP
-2.41113543510437,240,0.1953125,0.6064608006769652,success,60,20.56976318359375,30,,0.004636451601982117,sub-14,False,ses-02,,,,,success,20.21,0.0,ERP
,,,,,,,1,,0.008057272993028164,sub-14,False,ses-02,60,0.18646388924639792,3.6639687058297996,success,success,538.16,0.0,SSVEP
2.700589656829834,240,0.7734375,0.21601683776282224,success,60,37.25519943237305,30,,0.13988159596920013,sub-14,False,ses-03,,,,,success,20.19,0.0,ERP
,,,,,,,1,,0.10735486447811127,sub-14,False,ses-03,60,0.13837360398629414,2.554390772502965,success,success,532.84,0.0,SSVEP
-5.479214668273926,240,0.2578125,0.06068343667832839,success,60,44.88557052612305,30,,0.22680024802684784,sub-14,False,ses-04,,,,,success,20.18,0.0,ERP
,,,,,,,1,,0.234645813703537,sub-14,False,ses-04,60,0.10208372726793156,0.9072826809392249,success,success,532.27,0.0,SSVEP
-1.948914885520935,240,0.1171875,0.5021808752987169,success,60,21.89293670654297,30,,0.005424079950898886,sub-15,False,ses-02,,,,,success,19.09,0.0,ERP
,,,,,,,2,,0.006224805489182472,sub-15,False,ses-02,60,0.2970131467726576,3.5483876363942146,success,success,128.57,0.0,SSVEP
2.340522527694702,240,0.25,-0.05722303855963332,success,60,20.27422332763672,30,,0.06430194526910782,sub-15,False,ses-03,,,,,success,18.88,0.0,ERP
,,,,,,,1,,0.08296725898981094,sub-15,False,ses-03,60,0.37653557721891545,3.3056817324304024,success,success,531.1,0.0,SSVEP
-4.465207576751709,240,0.6328125,-0.5641894316338203,success,60,46.82168960571289,30,,0.145362988114357,sub-15,False,ses-04,,,,,success,19.1,0.0,ERP
,,,,,,,2,,0.08123455941677094,sub-15,False,ses-04,60,0.30874253294936677,2.1513905602727292,success,success,102.91,0.0,SSVEP
-2.1464827060699463,242,0.1875,0.5127153168042874,success,58,22.885679244995117,30,,0.006682748906314373,sub-17,False,ses-02,,,,,success,17.83,0.0,ERP
,,,,,,,1,,0.005934178363531828,sub-17,False,ses-02,60,0.2903566012483666,1.324783933344094,success,success,540.92,0.0,SSVEP
3.2510221004486084,240,0.3203125,0.3393235032559185,success,60,42.705291748046875,30,,0.08217435330152512,sub-17,False,ses-03,,,,,success,17.75,0.0,ERP
,,,,,,,1,,0.12475410103797913,sub-17,False,ses-03,60,0.1100416269652422,0.42649554052010613,success,success,532.34,0.0,SSVEP
3.783052921295166,240,0.5625,-0.1336163170087096,success,60,48.932987213134766,30,,0.18117929995059967,sub-17,False,ses-04,,,,,success,17.77,0.0,ERP
,,,,,,,1,,0.22920580208301544,sub-17,False,ses-04,60,0.10555206734151883,-0.6159904055928747,success,success,533.94,0.0,SSVEP
-3.210916519165039,240,0.2578125,0.43630646655996264,success,60,30.67408561706543,30,,0.0019410478416830301,sub-18,False,ses-02,,,,,success,20.23,0.0,ERP
,,,,,,,2,,0.005940736271440983,sub-18,False,ses-02,60,0.07367546409979986,0.6335944280829027,success,success,128.26,0.0,SSVEP
