participant,protocol,query_session,query_start,status,support_end,support_session,support_start,task,wrong_donor_1,wrong_donor_2,wrong_donor_3
sub-02,S0_STATIC_XSESSION,ses-03,,eligible,19.1,ses-02,0.0,ERP,sub-07,sub-09,sub-11
sub-02,S0_STATIC_XSESSION,ses-04,,eligible,19.1,ses-02,0.0,ERP,sub-07,sub-09,sub-11
sub-02,S0_STATIC_XSESSION,ses-03,,eligible,530.95,ses-02,0.0,SSVEP,sub-11,sub-12,sub-14
sub-02,S0_STATIC_XSESSION,ses-04,,eligible,530.95,ses-02,0.0,SSVEP,sub-11,sub-12,sub-14
sub-02,S1_MOTION_WITHIN_SESSION,ses-03,27.65,eligible,19.11,ses-03,0.0,ERP,sub-19,sub-21,sub-23
sub-02,S2_MOTION_XSPEED,ses-04,,eligible,19.11,ses-03,0.0,ERP,sub-09,sub-11,sub-12
sub-02,S1_MOTION_WITHIN_SESSION,ses-03,533.046875,blocked_no_later_block,530.03,ses-03,0.0,SSVEP,sub-15,sub-17,sub-18
sub-02,S2_MOTION_XSPEED,ses-04,,eligible,530.03,ses-03,0.0,SSVEP,sub-11,sub-14,sub-15
sub-02,S1_MOTION_WITHIN_SESSION,ses-04,27.64,eligible,19.11,ses-04,0.0,ERP,sub-19,sub-21,sub-23
sub-02,S1_MOTION_WITHIN_SESSION,ses-04,545.0,blocked_no_later_block,542.0,ses-04,0.0,SSVEP,sub-09,sub-11,sub-12
sub-03,S0_STATIC_XSESSION,ses-03,,eligible,19.1,ses-02,0.0,ERP,sub-09,sub-11,sub-12
sub-03,S0_STATIC_XSESSION,ses-04,,eligible,19.1,ses-02,0.0,ERP,sub-09,sub-11,sub-12
sub-03,S0_STATIC_XSESSION,ses-03,,eligible,537.9,ses-02,0.0,SSVEP,sub-12,sub-14,sub-15
sub-03,S0_STATIC_XSESSION,ses-04,,eligible,537.9,ses-02,0.0,SSVEP,sub-12,sub-14,sub-15
sub-03,S1_MOTION_WITHIN_SESSION,ses-03,27.65,eligible,19.12,ses-03,0.0,ERP,sub-21,sub-23,sub-24
sub-03,S2_MOTION_XSPEED,ses-04,,eligible,19.12,ses-03,0.0,ERP,sub-11,sub-12,sub-14
sub-03,S1_MOTION_WITHIN_SESSION,ses-03,543.515625,blocked_no_later_block,540.5,ses-03,0.0,SSVEP,sub-17,sub-18,sub-19
sub-03,S2_MOTION_XSPEED,ses-04,,eligible,540.5,ses-03,0.0,SSVEP,sub-14,sub-15,sub-17
sub-03,S1_MOTION_WITHIN_SESSION,ses-04,27.63,eligible,19.1,ses-04,0.0,ERP,sub-21,sub-23,sub-24
sub-03,S1_MOTION_WITHIN_SESSION,ses-04,536.8203125,blocked_no_later_block,533.82,ses-04,0.0,SSVEP,sub-11,sub-12,sub-14
sub-05,S0_STATIC_XSESSION,ses-03,,eligible,20.22,ses-02,0.0,ERP,sub-12,sub-14,sub-15
sub-05,S0_STATIC_XSESSION,ses-04,,eligible,20.22,ses-02,0.0,ERP,sub-12,sub-14,sub-15
sub-05,S0_STATIC_XSESSION,ses-03,,eligible,129.22,ses-02,0.0,SSVEP,sub-15,sub-17,sub-18
sub-05,S0_STATIC_XSESSION,ses-04,,eligible,129.22,ses-02,0.0,SSVEP,sub-15,sub-17,sub-18
sub-05,S1_MOTION_WITHIN_SESSION,ses-03,28.64,eligible,20.21,ses-03,0.0,ERP,sub-24,sub-02,sub-03
sub-05,S2_MOTION_XSPEED,ses-04,,eligible,20.21,ses-03,0.0,ERP,sub-14,sub-15,sub-17
sub-05,S1_MOTION_WITHIN_SESSION,ses-03,173.28,eligible,129.63,ses-03,0.0,SSVEP,sub-19,sub-21,sub-23
sub-05,S2_MOTION_XSPEED,ses-04,,eligible,129.63,ses-03,0.0,SSVEP,sub-17,sub-18,sub-19
sub-05,S1_MOTION_WITHIN_SESSION,ses-04,28.61,eligible,20.19,ses-04,0.0,ERP,sub-24,sub-02,sub-03
sub-05,S1_MOTION_WITHIN_SESSION,ses-04,542.25,blocked_no_later_block,539.25,ses-04,0.0,SSVEP,sub-14,sub-15,sub-17
sub-06,S0_STATIC_XSESSION,ses-03,,eligible,20.23,ses-02,0.0,ERP,sub-14,sub-15,sub-17
sub-06,S0_STATIC_XSESSION,ses-04,,eligible,20.23,ses-02,0.0,ERP,sub-14,sub-15,sub-17
sub-06,S0_STATIC_XSESSION,ses-03,,eligible,534.85,ses-02,0.0,SSVEP,sub-17,sub-18,sub-19
sub-06,S0_STATIC_XSESSION,ses-04,,eligible,534.85,ses-02,0.0,SSVEP,sub-17,sub-18,sub-19
sub-06,S1_MOTION_WITHIN_SESSION,ses-03,28.64,eligible,20.19,ses-03,0.0,ERP,sub-02,sub-03,sub-05
sub-06,S2_MOTION_XSPEED,ses-04,,eligible,20.19,ses-03,0.0,ERP,sub-15,sub-17,sub-18
sub-06,S1_MOTION_WITHIN_SESSION,ses-03,545.0703125,blocked_no_later_block,542.07,ses-03,0.0,SSVEP,sub-21,sub-23,sub-02
sub-06,S2_MOTION_XSPEED,ses-04,,eligible,542.07,ses-03,0.0,SSVEP,sub-18,sub-19,sub-21
sub-06,S1_MOTION_WITHIN_SESSION,ses-04,26.44,eligible,18.24,ses-04,0.0,ERP,sub-02,sub-03,sub-05
sub-06,S1_MOTION_WITHIN_SESSION,ses-04,539.484375,blocked_no_later_block,536.48,ses-04,0.0,SSVEP,sub-15,sub-17,sub-18
sub-07,S0_STATIC_XSESSION,ses-03,,eligible,18.29,ses-02,0.0,ERP,sub-15,sub-17,sub-18
sub-07,S0_STATIC_XSESSION,ses-04,,eligible,18.29,ses-02,0.0,ERP,sub-15,sub-17,sub-18
sub-07,S0_STATIC_XSESSION,ses-03,,eligible,534.28,ses-02,0.0,SSVEP,sub-18,sub-19,sub-21
sub-07,S0_STATIC_XSESSION,ses-04,,eligible,534.28,ses-02,0.0,SSVEP,sub-18,sub-19,sub-21
sub-07,S1_MOTION_WITHIN_SESSION,ses-03,26.44,eligible,18.26,ses-03,0.0,ERP,sub-03,sub-05,sub-06
sub-07,S2_MOTION_XSPEED,ses-04,,eligible,18.26,ses-03,0.0,ERP,sub-17,sub-18,sub-19
sub-07,S1_MOTION_WITHIN_SESSION,ses-03,537.3125,blocked_no_later_block,534.31,ses-03,0.0,SSVEP,sub-23,sub-02,sub-03
sub-07,S2_MOTION_XSPEED,ses-04,,eligible,534.31,ses-03,0.0,SSVEP,sub-19,sub-21,sub-23
sub-07,S1_MOTION_WITHIN_SESSION,ses-04,26.46,eligible,18.28,ses-04,0.0,ERP,sub-03,sub-05,sub-06
sub-07,S1_MOTION_WITHIN_SESSION,ses-04,532.4765625,blocked_no_later_block,529.47,ses-04,0.0,SSVEP,sub-17,sub-18,sub-19
sub-09,S0_STATIC_XSESSION,ses-03,,eligible,17.74,ses-02,0.0,ERP,sub-18,sub-19,sub-23
sub-09,S0_STATIC_XSESSION,ses-04,,eligible,17.74,ses-02,0.0,ERP,sub-18,sub-19,sub-23
sub-09,S0_STATIC_XSESSION,ses-03,,eligible,534.88,ses-02,0.0,SSVEP,sub-21,sub-23,sub-02
sub-09,S0_STATIC_XSESSION,ses-04,,eligible,534.88,ses-02,0.0,SSVEP,sub-21,sub-23,sub-02
sub-09,S1_MOTION_WITHIN_SESSION,ses-03,25.45,eligible,17.71,ses-03,0.0,ERP,sub-06,sub-07,sub-11
sub-09,S2_MOTION_XSPEED,ses-04,,eligible,17.71,ses-03,0.0,ERP,sub-19,sub-21,sub-23
sub-09,S1_MOTION_WITHIN_SESSION,ses-03,539.3828125,blocked_no_later_block,536.38,ses-03,0.0,SSVEP,sub-03,sub-05,sub-06
sub-09,S2_MOTION_XSPEED,ses-04,,eligible,536.38,ses-03,0.0,SSVEP,sub-23,sub-02,sub-03
sub-09,S1_MOTION_WITHIN_SESSION,ses-04,25.44,eligible,17.7,ses-04,0.0,ERP,sub-06,sub-07,sub-11
sub-09,S1_MOTION_WITHIN_SESSION,ses-04,536.4765625,blocked_no_later_block,533.47,ses-04,0.0,SSVEP,sub-19,sub-21,sub-23
sub-11,S0_STATIC_XSESSION,ses-03,,eligible,19.65,ses-02,0.0,ERP,sub-06,sub-07,sub-09
sub-11,S0_STATIC_XSESSION,ses-04,,eligible,19.65,ses-02,0.0,ERP,sub-06,sub-07,sub-09
sub-11,S0_STATIC_XSESSION,ses-03,,eligible,572.41,ses-02,0.0,SSVEP,sub-09,sub-12,sub-14
sub-11,S0_STATIC_XSESSION,ses-04,,eligible,572.41,ses-02,0.0,SSVEP,sub-09,sub-12,sub-14
sub-11,S1_MOTION_WITHIN_SESSION,ses-03,27.83,eligible,19.62,ses-03,0.0,ERP,sub-19,sub-21,sub-23
sub-11,S2_MOTION_XSPEED,ses-04,,eligible,19.62,ses-03,0.0,ERP,sub-07,sub-09,sub-12
