job_id,job,profile,requested_partition,requested_resources,dependency,state,exit_code,node,actual_alloc_tres,evidence,scientific_admissibility
"918736","audit_runtime","cpu","CPU","cpu=2;mem=8G;gres=null;time=00:30:00;account=c2s;qos=normal","none","completed","0","unavailable","unavailable","reports/slurm/submissions/918736.json;reports/environments/eeg2025/jobs/918736/status.json","administrative_evidence_only_not_scientific"
"918737","audit_runtime","L40S","L40S","cpu=8;mem=64G;gres=gpu:1;time=02:00:00;account=c2s;qos=normal","afterok:918736","completed","0","unavailable","unavailable","reports/slurm/submissions/918737.json;reports/environments/icml/jobs/918737/status.json","administrative_evidence_only_not_scientific"
"918740","review_attachments","cpu","CPU","cpu=2;mem=8G;gres=null;time=00:30:00;account=c2s;qos=normal","afterok:918737","extraction_complete_pending_full_read","0","unavailable","unavailable","reports/slurm/submissions/918740.json;reports/attachment_jobs/918740/status.json","administrative_evidence_only_not_scientific"
"918742","extract_pdf","cpu","CPU","cpu=2;mem=8G;gres=null;time=00:30:00;account=c2s;qos=normal","afterok:918740","extraction_complete_pending_full_read","0","unavailable","unavailable","reports/slurm/submissions/918742.json;reports/attachment_jobs/918742/status.json","administrative_evidence_only_not_scientific"
"918768","validate_control_plane","cpu","CPU","cpu=2;mem=8G;gres=null;time=00:30:00;account=c2s;qos=normal","none","completed","0","nodecpu11","cpu=2,mem=8G,node=1,billing=2","reports/slurm/submissions/918768.json;reports/control_plane_validation/jobs/918768/status.json;reports/control_plane_validation/jobs/918768/slurm_allocation.json","administrative_evidence_only_not_scientific"
"918769","validate_control_plane","cpu","CPU","cpu=2;mem=8G;gres=null;time=00:30:00;account=c2s;qos=normal","none","completed","0","nodecpu11","cpu=2,mem=8G,node=1,billing=2","reports/slurm/submissions/918769.json;reports/control_plane_validation/jobs/918769/status.json;reports/control_plane_validation/jobs/918769/slurm_allocation.json","administrative_evidence_only_not_scientific"
"918770","audit_runtime","cpu","CPU","cpu=2;mem=8G;gres=null;time=00:30:00;account=c2s;qos=normal","none","completed","0","nodecpu11","cpu=2,mem=8G,node=1,billing=2","reports/slurm/submissions/918770.json;reports/environments/eeg2025/jobs/918770/status.json;reports/environments/eeg2025/jobs/918770/slurm_allocation.json","administrative_evidence_only_not_scientific"
"918771","audit_runtime","L40S","L40S","cpu=8;mem=64G;gres=gpu:1;time=02:00:00;account=c2s;qos=normal","afterok:918770","completed","0","node39","cpu=8,mem=64G,node=1,billing=28,gres/gpu=1","reports/slurm/submissions/918771.json;reports/environments/icml/jobs/918771/status.json;reports/environments/icml/jobs/918771/slurm_allocation.json","administrative_evidence_only_not_scientific"
"918772","validate_control_plane","cpu","CPU","cpu=2;mem=8G;gres=null;time=00:30:00;account=c2s;qos=normal","none","completed","0","nodecpu11","cpu=2,mem=8G,node=1,billing=2","reports/slurm/submissions/918772.json;reports/control_plane_validation/jobs/918772/status.json;reports/control_plane_validation/jobs/918772/slurm_allocation.json","administrative_evidence_only_not_scientific"
"918773","validate_control_plane","cpu","CPU","cpu=2;mem=8G;gres=null;time=00:30:00;account=c2s;qos=normal","none","completed","0","nodecpu11","cpu=2,mem=8G,node=1,billing=2","reports/slurm/submissions/918773.json;reports/control_plane_validation/jobs/918773/status.json;reports/control_plane_validation/jobs/918773/slurm_allocation.json","administrative_evidence_only_not_scientific"
"918774","audit_runtime","cpu","CPU","cpu=2;mem=8G;gres=null;time=00:30:00;account=c2s;qos=normal","none","completed","0","nodecpu11","cpu=2,mem=8G,node=1,billing=2","reports/slurm/submissions/918774.json;reports/environments/eeg2025/jobs/918774/status.json;reports/environments/eeg2025/jobs/918774/slurm_allocation.json","administrative_evidence_only_not_scientific"
"918775","audit_runtime","L40S","L40S","cpu=8;mem=64G;gres=gpu:1;time=02:00:00;account=c2s;qos=normal","afterok:918774","completed","0","node39","cpu=8,mem=64G,node=1,billing=28,gres/gpu=1","reports/slurm/submissions/918775.json;reports/environments/icml/jobs/918775/status.json;reports/environments/icml/jobs/918775/slurm_allocation.json","administrative_evidence_only_not_scientific"
"918776","validate_control_plane","cpu","CPU","cpu=2;mem=8G;gres=null;time=00:30:00;account=c2s;qos=normal","none","completed","0","nodecpu11","cpu=2,mem=8G,node=1,billing=2","reports/slurm/submissions/918776.json;reports/control_plane_validation/jobs/918776/status.json;reports/control_plane_validation/jobs/918776/slurm_allocation.json","administrative_evidence_only_not_scientific"
"918777","review_attachments","cpu","CPU","cpu=2;mem=8G;gres=null;time=00:30:00;account=c2s;qos=normal","afterok:918775","failed","3","nodecpu11","cpu=2,mem=8G,node=1,billing=2","reports/slurm/submissions/918777.json;reports/attachment_jobs/918777/status.json;reports/attachment_jobs/918777/slurm_allocation.json","failure_or_cancellation_evidence_only_not_scientific"
"918787","validate_control_plane","cpu","CPU","cpu=2;mem=8G;gres=null;time=00:30:00;account=c2s;qos=normal","none","completed","0","nodecpu11","cpu=2,mem=8G,node=1,billing=2","reports/slurm/submissions/918787.json;reports/control_plane_validation/jobs/918787/status.json;reports/control_plane_validation/jobs/918787/slurm_allocation.json","administrative_evidence_only_not_scientific"
"918788","audit_runtime","cpu","CPU","cpu=2;mem=8G;gres=null;time=00:30:00;account=c2s;qos=normal","none","completed","0","nodecpu11","cpu=2,mem=8G,node=1,billing=2","reports/slurm/submissions/918788.json;reports/environments/eeg2025/jobs/918788/status.json;reports/environments/eeg2025/jobs/918788/slurm_allocation.json","administrative_evidence_only_not_scientific"
"918789","audit_runtime","L40S","L40S","cpu=8;mem=64G;gres=gpu:1;time=02:00:00;account=c2s;qos=normal","afterok:918788","completed","0","node39","cpu=8,mem=64G,node=1,billing=28,gres/gpu=1","reports/slurm/submissions/918789.json;reports/environments/icml/jobs/918789/status.json;reports/environments/icml/jobs/918789/slurm_allocation.json","administrative_evidence_only_not_scientific"
"918790","validate_control_plane","cpu","CPU","cpu=2;mem=8G;gres=null;time=00:30:00;account=c2s;qos=normal","none","completed","0","nodecpu11","cpu=2,mem=8G,node=1,billing=2","reports/slurm/submissions/918790.json;reports/control_plane_validation/jobs/918790/status.json;reports/control_plane_validation/jobs/918790/slurm_allocation.json","administrative_evidence_only_not_scientific"
"918791","review_attachments","cpu","CPU","cpu=2;mem=8G;gres=null;time=00:30:00;account=c2s;qos=normal","afterok:918789","failed","3","nodecpu11","cpu=2,mem=8G,node=1,billing=2","reports/slurm/submissions/918791.json;reports/attachment_jobs/918791/status.json;reports/attachment_jobs/918791/slurm_allocation.json","failure_or_cancellation_evidence_only_not_scientific"
"918792","validate_control_plane","cpu","CPU","cpu=2;mem=8G;gres=null;time=00:30:00;account=c2s;qos=normal","none","completed","0","nodecpu11","cpu=2,mem=8G,node=1,billing=2","reports/slurm/submissions/918792.json;reports/control_plane_validation/jobs/918792/status.json;reports/control_plane_validation/jobs/918792/slurm_allocation.json","administrative_evidence_only_not_scientific"
