effective_operator_source,latency_seconds,method_id,network_calls_total,operator_source,partition,peak_memory_mb,seed,source_record,status
population_projector,15.724044206086546,M1_observation_warm_start_sdedit,200,population_projector,development,1533.525390625,20260801,sim44,success
population_projector,16.65412100078538,M1_observation_warm_start_sdedit,200,population_projector,development,1541.650390625,20260802,sim44,success
population_projector,17.57781828334555,M1_observation_warm_start_sdedit,200,population_projector,development,1541.650390625,20260803,sim44,success
population_projector,15.881396138109267,M1_observation_warm_start_sdedit,200,population_projector,development,1541.650390625,20260804,sim44,success
population_projector,15.416788935661316,M1_observation_warm_start_sdedit,200,population_projector,development,1541.650390625,20260805,sim44,success
population_projector,15.349504249636084,M2_final_hard_q_consistency,200,population_projector,development,1541.650390625,20260801,sim44,success
population_projector,15.324170307256281,M2_final_hard_q_consistency,200,population_projector,development,1541.650390625,20260802,sim44,success
population_projector,15.348199735861272,M2_final_hard_q_consistency,200,population_projector,development,1541.650390625,20260803,sim44,success
population_projector,15.3232600861229,M2_final_hard_q_consistency,200,population_projector,development,1541.650390625,20260804,sim44,success
population_projector,16.965774757321924,M2_final_hard_q_consistency,200,population_projector,development,1541.650390625,20260805,sim44,success
population_projector,16.971071884036064,M4_per_step_quadratic_proximal_q_consistency,200,population_projector,development,1541.650390625,20260801,sim44,success
population_projector,15.433219654951245,M4_per_step_quadratic_proximal_q_consistency,200,population_projector,development,1541.650390625,20260802,sim44,success
population_projector,15.396974572911859,M4_per_step_quadratic_proximal_q_consistency,200,population_projector,development,1541.650390625,20260803,sim44,success
population_projector,15.401409822050482,M4_per_step_quadratic_proximal_q_consistency,200,population_projector,development,1541.650390625,20260804,sim44,success
population_projector,15.416784298606217,M4_per_step_quadratic_proximal_q_consistency,200,population_projector,development,1541.650390625,20260805,sim44,success
matching_p0,15.146271107252687,M1_observation_warm_start_sdedit,200,matching_p0,development,1541.650390625,20260801,sim44,success
matching_p0,15.116665048990399,M1_observation_warm_start_sdedit,200,matching_p0,development,1541.650390625,20260802,sim44,success
matching_p0,15.829436353873461,M1_observation_warm_start_sdedit,200,matching_p0,development,1541.650390625,20260803,sim44,success
matching_p0,15.708869932685047,M1_observation_warm_start_sdedit,200,matching_p0,development,1541.650390625,20260804,sim44,success
matching_p0,15.122427735943347,M1_observation_warm_start_sdedit,200,matching_p0,development,1541.650390625,20260805,sim44,success
matching_p0,15.12913352996111,M2_final_hard_q_consistency,200,matching_p0,development,1541.650390625,20260801,sim44,success
matching_p0,15.09293809067458,M2_final_hard_q_consistency,200,matching_p0,development,1541.650390625,20260802,sim44,success
matching_p0,15.121938858181238,M2_final_hard_q_consistency,200,matching_p0,development,1541.650390625,20260803,sim44,success
matching_p0,15.082968255039304,M2_final_hard_q_consistency,200,matching_p0,development,1541.650390625,20260804,sim44,success
matching_p0,16.422657924704254,M2_final_hard_q_consistency,200,matching_p0,development,1541.650390625,20260805,sim44,success
matching_p0,17.200741462875158,M4_per_step_quadratic_proximal_q_consistency,200,matching_p0,development,1541.650390625,20260801,sim44,success
