mask_id,physiomotion_development_owner,family,target_channels,target_start,target_end,physiomotion_waveform_used
0,1,head_motion,20,50,150,0
1,1,head_motion,20,50,150,0
2,1,head_motion,20,50,150,0
3,1,swallowing,20,50,150,0
4,1,swallowing,20,50,150,0
5,2,head_motion,20,50,150,0
6,2,tongue,18,64,136,0
7,2,tongue,20,59,141,0
8,2,tongue,15,51,149,0
9,5,head_motion,12,50,150,0
10,6,facial_emg,20,50,150,0
11,6,head_motion,12,63,137,0
12,6,head_motion,12,70,130,0
13,8,tongue,15,67,133,0
14,9,tongue,17,64,136,0
15,10,swallowing,20,60,140,0
16,14,head_motion,20,50,150,0
17,14,chewing,20,50,150,0
18,16,chewing,20,50,150,0
19,16,head_motion,12,52,148,0
20,18,head_motion,20,50,150,0
21,18,chewing,20,50,150,0
22,20,head_motion,12,70,130,0
23,20,head_motion,12,67,133,0
24,21,head_motion,20,50,150,0
25,21,chewing,20,50,150,0
26,22,head_motion,20,50,150,0
27,23,head_motion,20,50,150,0
28,26,head_motion,20,50,150,0
29,26,swallowing,20,50,150,0
30,27,head_motion,10,50,150,0
31,27,chewing,20,50,150,0
32,27,tongue,7,60,140,0
33,27,head_motion,20,50,150,0
34,29,head_motion,20,50,150,0
35,29,head_motion,17,50,150,0
36,29,head_motion,17,50,150,0
37,30,head_motion,20,50,150,0
38,30,head_motion,20,50,150,0
39,30,head_motion,2,50,150,0
