participant,role,acquisition,loader_access
1,R,Day-1,allowed
1,T,Day-7,allowed
1,G,Day-80,allowed
1,F,Day-200,forbidden
2,R,Day-1,allowed
2,T,Day-7,allowed
2,G,Day-80,allowed
2,F,Day-200,forbidden
3,R,Day-1,allowed
3,T,Day-7,allowed
3,G,Day-80,allowed
3,F,Day-200,forbidden
4,R,Day-1,allowed
4,T,Day-7,allowed
4,G,Day-80,allowed
4,F,Day-200,forbidden
5,R,Day-1,allowed
5,T,Day-7,allowed
5,G,Day-80,allowed
5,F,Day-200,forbidden
6,R,Day-1,allowed
6,T,Day-7,allowed
6,G,Day-80,allowed
6,F,Day-200,forbidden
7,R,Day-1,allowed
7,T,Day-7,allowed
7,G,Day-80,allowed
7,F,Day-200,forbidden
8,R,Day-1,allowed
8,T,Day-7,allowed
8,G,Day-80,allowed
8,F,Day-200,forbidden
9,R,Day-1,allowed
9,T,Day-7,allowed
9,G,Day-80,allowed
9,F,Day-200,forbidden
10,R,Day-1,allowed
10,T,Day-7,allowed
10,G,Day-80,allowed
10,F,Day-200,forbidden
11,R,Day-1,allowed
11,T,Day-7,allowed
11,G,Day-80,allowed
11,F,Day-200,forbidden
12,R,Day-1,allowed
12,T,Day-7,allowed
12,G,Day-80,allowed
12,F,Day-200,forbidden
13,R,Day-1,allowed
13,T,Day-7,allowed
13,G,Day-80,allowed
13,F,Day-200,forbidden
14,R,Day-1,allowed
14,T,Day-7,allowed
14,G,Day-80,allowed
14,F,Day-200,forbidden
15,R,Day-1,allowed
15,T,Day-7,allowed
15,G,Day-80,allowed
15,F,Day-200,forbidden
