participant,session,task,role,resolved_path,sealed
sub-23,ses-02,ERP,processed_header,/projects/EEG-foundation-model/mobile_bci/sub-23/ses-02/eeg/sub-23_ses-02_task-ERP_eeg.vhdr,0
sub-23,ses-02,ERP,processed_binary,/projects/EEG-foundation-model/mobile_bci/sub-23/ses-02/eeg/sub-23_ses-02_task-ERP_eeg.eeg,0
sub-23,ses-02,ERP,processed_marker,/projects/EEG-foundation-model/mobile_bci/sub-23/ses-02/eeg/sub-23_ses-02_task-ERP_eeg.vmrk,0
sub-23,ses-02,ERP,processed_channels,/projects/EEG-foundation-model/mobile_bci/sub-23/ses-02/eeg/sub-23_ses-02_task-ERP_channels.tsv,0
sub-23,ses-02,ERP,source_header,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-23/ses-02/eeg/sub-23_ses-02_task-ERP_eeg.vhdr,0
sub-23,ses-02,ERP,source_binary,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-23/ses-02/eeg/sub-23_ses-02_task-ERP_eeg.eeg,0
sub-23,ses-02,ERP,source_marker,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-23/ses-02/eeg/sub-23_ses-02_task-ERP_eeg.vmrk,0
sub-23,ses-02,ERP,source_channels,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-23/ses-02/eeg/sub-23_ses-02_task-ERP_channels.tsv,0
sub-23,ses-02,SSVEP,processed_header,/projects/EEG-foundation-model/mobile_bci/sub-23/ses-02/eeg/sub-23_ses-02_task-SSVEP_eeg.vhdr,0
sub-23,ses-02,SSVEP,processed_binary,/projects/EEG-foundation-model/mobile_bci/sub-23/ses-02/eeg/sub-23_ses-02_task-SSVEP_eeg.eeg,0
sub-23,ses-02,SSVEP,processed_marker,/projects/EEG-foundation-model/mobile_bci/sub-23/ses-02/eeg/sub-23_ses-02_task-SSVEP_eeg.vmrk,0
sub-23,ses-02,SSVEP,processed_channels,/projects/EEG-foundation-model/mobile_bci/sub-23/ses-02/eeg/sub-23_ses-02_task-SSVEP_channels.tsv,0
sub-23,ses-02,SSVEP,source_header,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-23/ses-02/eeg/sub-23_ses-02_task-SSVEP_eeg.vhdr,0
sub-23,ses-02,SSVEP,source_binary,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-23/ses-02/eeg/sub-23_ses-02_task-SSVEP_eeg.eeg,0
sub-23,ses-02,SSVEP,source_marker,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-23/ses-02/eeg/sub-23_ses-02_task-SSVEP_eeg.vmrk,0
sub-23,ses-02,SSVEP,source_channels,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-23/ses-02/eeg/sub-23_ses-02_task-SSVEP_channels.tsv,0
sub-23,ses-03,ERP,processed_header,/projects/EEG-foundation-model/mobile_bci/sub-23/ses-03/eeg/sub-23_ses-03_task-ERP_eeg.vhdr,0
sub-23,ses-03,ERP,processed_binary,/projects/EEG-foundation-model/mobile_bci/sub-23/ses-03/eeg/sub-23_ses-03_task-ERP_eeg.eeg,0
sub-23,ses-03,ERP,processed_marker,/projects/EEG-foundation-model/mobile_bci/sub-23/ses-03/eeg/sub-23_ses-03_task-ERP_eeg.vmrk,0
sub-23,ses-03,ERP,processed_channels,/projects/EEG-foundation-model/mobile_bci/sub-23/ses-03/eeg/sub-23_ses-03_task-ERP_channels.tsv,0
sub-23,ses-03,ERP,source_header,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-23/ses-03/eeg/sub-23_ses-03_task-ERP_eeg.vhdr,0
sub-23,ses-03,ERP,source_binary,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-23/ses-03/eeg/sub-23_ses-03_task-ERP_eeg.eeg,0
sub-23,ses-03,ERP,source_marker,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-23/ses-03/eeg/sub-23_ses-03_task-ERP_eeg.vmrk,0
sub-23,ses-03,ERP,source_channels,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-23/ses-03/eeg/sub-23_ses-03_task-ERP_channels.tsv,0
sub-23,ses-03,SSVEP,processed_header,/projects/EEG-foundation-model/mobile_bci/sub-23/ses-03/eeg/sub-23_ses-03_task-SSVEP_eeg.vhdr,0
sub-23,ses-03,SSVEP,processed_binary,/projects/EEG-foundation-model/mobile_bci/sub-23/ses-03/eeg/sub-23_ses-03_task-SSVEP_eeg.eeg,0
sub-23,ses-03,SSVEP,processed_marker,/projects/EEG-foundation-model/mobile_bci/sub-23/ses-03/eeg/sub-23_ses-03_task-SSVEP_eeg.vmrk,0
sub-23,ses-03,SSVEP,processed_channels,/projects/EEG-foundation-model/mobile_bci/sub-23/ses-03/eeg/sub-23_ses-03_task-SSVEP_channels.tsv,0
sub-23,ses-03,SSVEP,source_header,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-23/ses-03/eeg/sub-23_ses-03_task-SSVEP_eeg.vhdr,0
sub-23,ses-03,SSVEP,source_binary,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-23/ses-03/eeg/sub-23_ses-03_task-SSVEP_eeg.eeg,0
sub-23,ses-03,SSVEP,source_marker,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-23/ses-03/eeg/sub-23_ses-03_task-SSVEP_eeg.vmrk,0
sub-23,ses-03,SSVEP,source_channels,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-23/ses-03/eeg/sub-23_ses-03_task-SSVEP_channels.tsv,0
sub-23,ses-04,ERP,processed_header,/projects/EEG-foundation-model/mobile_bci/sub-23/ses-04/eeg/sub-23_ses-04_task-ERP_eeg.vhdr,0
sub-23,ses-04,ERP,processed_binary,/projects/EEG-foundation-model/mobile_bci/sub-23/ses-04/eeg/sub-23_ses-04_task-ERP_eeg.eeg,0
sub-23,ses-04,ERP,processed_marker,/projects/EEG-foundation-model/mobile_bci/sub-23/ses-04/eeg/sub-23_ses-04_task-ERP_eeg.vmrk,0
sub-23,ses-04,ERP,processed_channels,/projects/EEG-foundation-model/mobile_bci/sub-23/ses-04/eeg/sub-23_ses-04_task-ERP_channels.tsv,0
sub-23,ses-04,ERP,source_header,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-23/ses-04/eeg/sub-23_ses-04_task-ERP_eeg.vhdr,0
sub-23,ses-04,ERP,source_binary,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-23/ses-04/eeg/sub-23_ses-04_task-ERP_eeg.eeg,0
sub-23,ses-04,ERP,source_marker,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-23/ses-04/eeg/sub-23_ses-04_task-ERP_eeg.vmrk,0
sub-23,ses-04,ERP,source_channels,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-23/ses-04/eeg/sub-23_ses-04_task-ERP_channels.tsv,0
sub-23,ses-04,SSVEP,processed_header,/projects/EEG-foundation-model/mobile_bci/sub-23/ses-04/eeg/sub-23_ses-04_task-SSVEP_eeg.vhdr,0
sub-23,ses-04,SSVEP,processed_binary,/projects/EEG-foundation-model/mobile_bci/sub-23/ses-04/eeg/sub-23_ses-04_task-SSVEP_eeg.eeg,0
sub-23,ses-04,SSVEP,processed_marker,/projects/EEG-foundation-model/mobile_bci/sub-23/ses-04/eeg/sub-23_ses-04_task-SSVEP_eeg.vmrk,0
sub-23,ses-04,SSVEP,processed_channels,/projects/EEG-foundation-model/mobile_bci/sub-23/ses-04/eeg/sub-23_ses-04_task-SSVEP_channels.tsv,0
